gene_callers_id	source	accession	function	e_value
3	COG_FUNCTION	COG3971	2-keto-4-pentenoate hydratase	2.1e-23
3	COG_CATEGORY	Q	Q	0
4	COG_FUNCTION	COG1073	Fermentation-respiration switch protein FrsA, has esterase activity, DUF1100 family	1.4e-141
4	COG_CATEGORY	T	T	0
5	COG_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	3.4e-278
5	COG_CATEGORY	C	C	0
6	COG_FUNCTION	COG0346!!!COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme!!!Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	1.8e-163
6	COG_CATEGORY	Q	Q	0
7	COG_FUNCTION	COG1018	Ferredoxin-NADP reductase	1.3e-36
7	COG_CATEGORY	C	C	0
8	COG_FUNCTION	COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	1e-175
8	COG_CATEGORY	C	C	0
10	COG_FUNCTION	COG3350	Uncharacterized conserved protein, YHS domain	6.3e-214
10	COG_CATEGORY	S	S	0
14	COG_FUNCTION	COG1719!!!COG3829	Predicted hydrocarbon binding protein, contains 4VR domain!!!Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains	3.7e-279
14	COG_CATEGORY	R!!!T!!!K	R!!!T!!!K	0
15	COG_FUNCTION	COG4447	Uncharacterized protein related to plant photosystem II stability/assembly factor	8.2e-58
15	COG_CATEGORY	R	R	0
16	COG_FUNCTION	COG1033!!!COG1033	Predicted exporter protein, RND superfamily!!!Predicted exporter protein, RND superfamily	0
16	COG_CATEGORY	R	R	0
17	COG_FUNCTION	COG3103	Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family	3.5e-09
17	COG_CATEGORY	R	R	0
19	COG_FUNCTION	COG0247	Fe-S oxidoreductase	5.1e-203
19	COG_CATEGORY	C	C	0
20	COG_FUNCTION	COG0277	FAD/FMN-containing dehydrogenase	9.2e-156
20	COG_CATEGORY	C	C	0
21	COG_FUNCTION	COG0277	FAD/FMN-containing dehydrogenase	4e-250
21	COG_CATEGORY	C	C	0
22	COG_FUNCTION	COG3193	Uncharacterized conserved protein GlcG, DUF336 family	6.6e-57
22	COG_CATEGORY	S	S	0
23	COG_FUNCTION	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component	2.1e-214
23	COG_CATEGORY	Q	Q	0
24	COG_FUNCTION	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	1.2e-98
24	COG_CATEGORY	Q	Q	0
25	COG_FUNCTION	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	1.6e-174
25	COG_CATEGORY	Q	Q	0
26	COG_FUNCTION	COG2186	DNA-binding transcriptional regulator, FadR family	1.8e-81
26	COG_CATEGORY	K	K	0
