gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG5302	Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid	2.8e-23
0	COG_CATEGORY	X	X	0
4	COG_FUNCTION	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	8.1e-36
4	COG_CATEGORY	V	V	0
5	COG_FUNCTION	COG3549	Plasmid maintenance system killer protein	4.5e-30
5	COG_CATEGORY	V	V	0
6	COG_FUNCTION	COG2318	Uncharacterized damage-inducible protein DinB (forms a four-helix bundle)	1.7e-59
6	COG_CATEGORY	S	S	0
11	COG_FUNCTION	COG3637	Opacity protein and related surface antigens	8.6e-44
11	COG_CATEGORY	M	M	0
12	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	1.9e-83
12	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	5.9e-60
14	COG_CATEGORY	M	M	0
18	COG_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis	5.2e-97
18	COG_CATEGORY	M	M	0
19	COG_FUNCTION	COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	2.6e-08
19	COG_CATEGORY	I	I	0
20	COG_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase	9.1e-80
20	COG_CATEGORY	M	M	0
21	COG_FUNCTION	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component	1.2e-127
21	COG_CATEGORY	M!!!G	M!!!G	0
22	COG_FUNCTION	COG1682	ABC-type polysaccharide/polyol phosphate export permease	8.2e-56
22	COG_CATEGORY	M!!!G	M!!!G	0
23	COG_FUNCTION	COG0438!!!COG0438	Glycosyltransferase involved in cell wall bisynthesis!!!Glycosyltransferase involved in cell wall bisynthesis	1.8e-86
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1.5e-71
24	COG_CATEGORY	M	M	0
25	COG_FUNCTION	COG1089	GDP-D-mannose dehydratase	4.9e-162
25	COG_CATEGORY	M	M	0
26	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	7e-90
26	COG_CATEGORY	M	M	0
27	COG_FUNCTION	COG0677	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	9.4e-200
27	COG_CATEGORY	M	M	0
