gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG3547	Transposase	1.6e-135
0	COG_CATEGORY	X	X	0
1	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	6.1e-29
1	COG_CATEGORY	X!!!U!!!R	X!!!U!!!R	0
2	COG_FUNCTION	COG3157	Type VI protein secretion system component Hcp (secreted cytotoxin)	2.8e-89
2	COG_CATEGORY	U	U	0
3	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	5e-93
3	COG_CATEGORY	X!!!U!!!R	X!!!U!!!R	0
8	COG_FUNCTION	COG1607	Acyl-CoA hydrolase	8.5e-61
8	COG_CATEGORY	I	I	0
9	COG_FUNCTION	COG1793	ATP-dependent DNA ligase	1.1e-95
9	COG_CATEGORY	L	L	0
10	COG_FUNCTION	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	1.6e-76
10	COG_CATEGORY	P	P	0
11	COG_FUNCTION	COG3707	Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains	7.1e-52
11	COG_CATEGORY	K!!!T	K!!!T	0
12	COG_FUNCTION	COG0243!!!COG1251	Anaerobic selenocysteine-containing dehydrogenase!!!NAD(P)H-nitrite reductase, large subunit	2.9e-286
12	COG_CATEGORY	C	C	0
14	COG_FUNCTION	COG2080	Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	4.1e-60
14	COG_CATEGORY	C	C	0
15	COG_FUNCTION	COG1529!!!COG1529	CO or xanthine dehydrogenase, Mo-binding subunit!!!CO or xanthine dehydrogenase, Mo-binding subunit	3.8e-212
15	COG_CATEGORY	C	C	0
17	COG_FUNCTION	COG0810	Periplasmic protein TonB, links inner and outer membranes	5.5e-26
17	COG_CATEGORY	M	M	0
18	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	7.7e-34
18	COG_CATEGORY	U	U	0
19	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	2.3e-17
19	COG_CATEGORY	U	U	0
20	COG_FUNCTION	COG0811	Biopolymer transport protein ExbB/TolQ	1.4e-49
20	COG_CATEGORY	U	U	0
21	COG_FUNCTION	COG2199!!!COG4191	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	5.7e-182
21	COG_CATEGORY	T	T	0
22	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	2e-95
22	COG_CATEGORY	E!!!G!!!R	E!!!G!!!R	0
23	COG_FUNCTION	COG0730	Uncharacterized membrane protein YfcA	8.8e-92
23	COG_CATEGORY	S	S	0
25	COG_FUNCTION	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	3.9e-46
25	COG_CATEGORY	V!!!I	V!!!I	0
26	COG_FUNCTION	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	1.2e-188
26	COG_CATEGORY	J	J	0
