gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	6.4e-30
1	COG_CATEGORY	X	X	0
5	COG_FUNCTION	COG4584	Transposase	4.6e-62
5	COG_CATEGORY	X	X	0
6	COG_FUNCTION	COG1484	DNA replication protein DnaC	5.4e-52
6	COG_CATEGORY	L	L	0
7	COG_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	4.4e-61
7	COG_CATEGORY	I	I	0
10	COG_FUNCTION	COG3667	Uncharacterized protein involved in copper resistance	6.7e-120
10	COG_CATEGORY	P	P	0
12	COG_FUNCTION	COG0531	Amino acid transporter	3.2e-29
12	COG_CATEGORY	E	E	0
13	COG_FUNCTION	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	3.2e-244
13	COG_CATEGORY	C	C	0
15	COG_FUNCTION	COG1708	Predicted nucleotidyltransferase	2e-17
15	COG_CATEGORY	R	R	0
17	COG_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	1.5e-61
17	COG_CATEGORY	I	I	0
18	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	7.3e-98
18	COG_CATEGORY	G	G	0
22	COG_FUNCTION	COG4970	Tfp pilus assembly protein FimT	2.3e-20
22	COG_CATEGORY	N!!!W	N!!!W	0
23	COG_FUNCTION	COG4968	Tfp pilus assembly protein PilE	2.3e-22
23	COG_CATEGORY	N!!!W	N!!!W	0
24	COG_FUNCTION	COG3419	Tfp pilus assembly protein, tip-associated adhesin PilY1	3.7e-64
24	COG_CATEGORY	N!!!W	N!!!W	0
25	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	1.4e-10
25	COG_CATEGORY	J	J	0
27	COG_FUNCTION	COG1521	Pantothenate kinase type III	4.2e-43
27	COG_CATEGORY	H	H	0
28	COG_FUNCTION	COG0340!!!COG1654	Biotin-(acetyl-CoA carboxylase) ligase!!!Biotin operon repressor	2.2e-87
28	COG_CATEGORY	K!!!H	K!!!H	0
29	COG_FUNCTION	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	3.6e-45
29	COG_CATEGORY	K!!!T	K!!!T	0
30	COG_FUNCTION	COG5606	Predicted DNA-binding protein, XRE-type HTH domain	5.8e-07
30	COG_CATEGORY	R	R	0
32	COG_FUNCTION	COG3550	Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module	4.4e-46
32	COG_CATEGORY	T	T	0
33	COG_FUNCTION	COG1408	Predicted phosphohydrolase, MPP superfamily	1.3e-32
33	COG_CATEGORY	R	R	0
36	COG_FUNCTION	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	2.7e-73
36	COG_CATEGORY	E!!!R	E!!!R	0
37	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	5.8e-148
37	COG_CATEGORY	I	I	0
38	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	8.3e-129
38	COG_CATEGORY	I!!!Q	I!!!Q	0
39	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	3.7e-49
39	COG_CATEGORY	K	K	0
40	COG_FUNCTION	COG4990	Uncharacterized protein YvpB	3e-13
40	COG_CATEGORY	S	S	0
42	COG_FUNCTION	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	7.7e-76
42	COG_CATEGORY	E!!!R	E!!!R	0
43	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	5.2e-149
43	COG_CATEGORY	I	I	0
44	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	1.5e-130
44	COG_CATEGORY	I!!!Q	I!!!Q	0
45	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	2.8e-49
45	COG_CATEGORY	K	K	0
46	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	5.9e-13
46	COG_CATEGORY	X	X	0
49	COG_FUNCTION	COG3335!!!COG3415	Transposase!!!Transposase	1.5e-29
49	COG_CATEGORY	X	X	0
50	COG_FUNCTION	COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	1.4e-08
50	COG_CATEGORY	R	R	0
52	COG_FUNCTION	COG2801!!!COG2963	Transposase InsO and inactivated derivatives!!!Transposase and inactivated derivatives	1.8e-28
52	COG_CATEGORY	X	X	0
53	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	7.2e-121
53	COG_CATEGORY	X	X	0
54	COG_FUNCTION	COG3598	RecA-family ATPase	1.6e-118
54	COG_CATEGORY	L	L	0
55	COG_FUNCTION	COG5527	Protein involved in initiation of plasmid replication	7.1e-133
55	COG_CATEGORY	X	X	0
56	COG_FUNCTION	COG5314	Conjugal transfer/entry exclusion protein	1.2e-91
56	COG_CATEGORY	X	X	0
