gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG3806!!!COG3806	Anti-sigma factor ChrR, cupin superfamily!!!Anti-sigma factor ChrR, cupin superfamily	1.8e-82
0	COG_CATEGORY	T	T	0
1	COG_FUNCTION	COG1335	Nicotinamidase-related amidase	4.1e-88
1	COG_CATEGORY	H!!!R	H!!!R	0
3	COG_FUNCTION	COG1294	Cytochrome bd-type quinol oxidase, subunit 2	2.4e-182
3	COG_CATEGORY	C	C	0
4	COG_FUNCTION	COG1271	Cytochrome bd-type quinol oxidase, subunit 1	1.6e-248
4	COG_CATEGORY	C	C	0
5	COG_FUNCTION	COG0659	Sulfate permease or related transporter, MFS superfamily	2.1e-189
5	COG_CATEGORY	P	P	0
6	COG_FUNCTION	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	5.4e-155
6	COG_CATEGORY	I	I	0
7	COG_FUNCTION	COG0446!!!COG3453	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase!!!Predicted phosphohydrolase, protein tyrosine phosphatase (PTP) superfamily, DUF442 family	9.5e-16
7	COG_CATEGORY	R!!!I	R!!!I	0
8	COG_FUNCTION	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	1.4e-138
8	COG_CATEGORY	R	R	0
9	COG_FUNCTION	COG1232	Protoporphyrinogen oxidase	2.8e-104
9	COG_CATEGORY	H	H	0
10	COG_FUNCTION	COG1433	Predicted Fe-Mo cluster-binding protein, NifX family	3.4e-26
10	COG_CATEGORY	O	O	0
11	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	1.2e-118
11	COG_CATEGORY	V	V	0
12	COG_FUNCTION	COG0607	Rhodanese-related sulfurtransferase	2.9e-89
12	COG_CATEGORY	P	P	0
14	COG_FUNCTION	COG4117	Thiosulfate reductase cytochrome b subunit	3.7e-61
14	COG_CATEGORY	P	P	0
15	COG_FUNCTION	COG1275	Tellurite resistance protein TehA and related permeases	5.3e-110
15	COG_CATEGORY	V	V	0
16	COG_FUNCTION	COG2044	Predicted peroxiredoxin	1.3e-68
16	COG_CATEGORY	R	R	0
17	COG_FUNCTION	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	5.2e-176
17	COG_CATEGORY	R	R	0
18	COG_FUNCTION	COG4122	Predicted O-methyltransferase YrrM	8.2e-85
18	COG_CATEGORY	R	R	0
19	COG_FUNCTION	COG1254	Acylphosphatase	3.3e-33
19	COG_CATEGORY	C	C	0
20	COG_FUNCTION	COG3001	Fructosamine-3-kinase	7.2e-118
20	COG_CATEGORY	G	G	0
21	COG_FUNCTION	COG0679	Predicted permease	5.6e-157
21	COG_CATEGORY	R	R	0
22	COG_FUNCTION	COG3706!!!COG4251	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain!!!Bacteriophytochrome (light-regulated signal transduction histidine kinase)	3.9e-118
22	COG_CATEGORY	K!!!T	K!!!T	0
23	COG_FUNCTION	COG1529!!!COG1529	CO or xanthine dehydrogenase, Mo-binding subunit!!!CO or xanthine dehydrogenase, Mo-binding subunit	0
23	COG_CATEGORY	C	C	0
24	COG_FUNCTION	COG2080	Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	1.9e-81
24	COG_CATEGORY	C	C	0
25	COG_FUNCTION	COG5470	Uncharacterized conserved protein, DUF1330 family	9.7e-66
25	COG_CATEGORY	S	S	0
26	COG_FUNCTION	COG1687	Branched-chain amino acid transport protein AzlD	1.2e-50
26	COG_CATEGORY	E	E	0
27	COG_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	2.3e-115
27	COG_CATEGORY	E	E	0
28	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	5.6e-213
28	COG_CATEGORY	N!!!T	N!!!T	0
30	COG_FUNCTION	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	2.5e-111
30	COG_CATEGORY	K!!!T	K!!!T	0
31	COG_FUNCTION	COG0322	Excinuclease UvrABC, nuclease subunit	0
31	COG_CATEGORY	L	L	0
32	COG_FUNCTION	COG0558	Phosphatidylglycerophosphate synthase	9.7e-88
32	COG_CATEGORY	I	I	0
33	COG_FUNCTION	COG3218	ABC-type uncharacterized transport system, auxiliary component	1.6e-22
33	COG_CATEGORY	R	R	0
34	COG_FUNCTION	COG1463	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD	7.2e-88
34	COG_CATEGORY	M	M	0
35	COG_FUNCTION	COG1127	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF	2.5e-134
35	COG_CATEGORY	M	M	0
36	COG_FUNCTION	COG0767	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, permease component MlaE	2.2e-166
36	COG_CATEGORY	M	M	0
37	COG_FUNCTION	COG1894!!!COG1905	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)!!!NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	4.7e-295
37	COG_CATEGORY	C	C	0
38	COG_FUNCTION	COG3383	Predicted molibdopterin-dependent oxidoreductase YjgC	0
38	COG_CATEGORY	R	R	0
39	COG_FUNCTION	COG1196	Chromosome segregation ATPase	1.6e-34
39	COG_CATEGORY	D	D	0
40	COG_FUNCTION	COG0433	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	7.5e-29
40	COG_CATEGORY	L	L	0
42	COG_FUNCTION	COG0433	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	0
42	COG_CATEGORY	L	L	0
46	COG_FUNCTION	COG0419	DNA repair exonuclease SbcCD ATPase subunit	2.3e-123
46	COG_CATEGORY	L	L	0
47	COG_FUNCTION	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	4.8e-182
47	COG_CATEGORY	H!!!E	H!!!E	0
50	COG_FUNCTION	COG4328	Predicted nuclease (RNAse H fold)	1.9e-59
50	COG_CATEGORY	R	R	0
51	COG_FUNCTION	COG3449	DNA gyrase inhibitor GyrI	1e-53
51	COG_CATEGORY	L	L	0
