Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
Cold shock protein, CspA family	7	7	6	7	5	7	5	7	6	5	6	6	6	6	5	5	8	6	6	5	4	5	5	6	6	5	5	6	6	4	6	5	5	5	5	6	5	5	6	5	5	5	6	6	5	6	6	5	7	6	6	5	5
Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	5	5	5	5	9	5	7	5	2	3	4	6	5	0	3	6	0	4	1	3	1	1	3	0	5	3	3	4	3	4	3	3	5	7	3	3	0	4	2	3	3	3	0	0	2	1	1	6	6	4	3	0	3
Acyl-CoA dehydrogenase related to the alkylation response protein AidB	24	24	24	24	25	18	17	25	24	25	23	42	21	30	16	18	29	19	24	24	29	19	19	21	19	22	16	26	21	17	23	25	18	25	22	23	6	25	36	17	24	17	31	23	23	22	42	18	31	22	22	16	21
Translation elongation factor EF-Tu, a GTPase	2	2	2	2	2	2	2	2	2	2	4	5	2	2	2	5	2	3	3	2	4	4	4	3	4	2	2	1	2	2	2	2	4	4	3	4	3	4	1	2	2	5	2	2	2	3	4	4	1	2	4	2	4
Na+-dependent transporter, SNF family	5	5	6	5	5	6	3	5	5	5	4	4	2	2	2	3	5	4	5	2	3	6	3	4	3	2	3	3	3	4	5	4	4	2	3	4	2	4	3	3	4	3	3	3	6	4	3	4	4	4	2	3	3
ABC-type polar amino acid transport system, ATPase component	5	5	4	5	3	3	1	2	4	5	5	3	4	4	4	1	1	2	4	3	1	3	4	6	2	5	1	2	2	2	4	3	0	4	1	3	1	2	2	9	4	3	4	5	4	3	1	3	5	6	2	4	1
Copper chaperone CopZ	3	3	4	3	4	4	3	5	4	6	2	5	1	2	2	1	2	1	11	6	6	7	2	3	2	1	4	2	1	2	8	3	1	4	2	2	5	2	5	2	7	3	2	2	2	3	8	2	6	5	5	1	1
TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	7	7	7	7	4	7	6	8	4	8	4	5	7	6	6	4	4	3	5	5	3	4	4	6	3	4	4	5	3	6	6	6	5	6	4	5	2	1	4	7	8	6	4	5	5	4	3	3	5	6	2	4	5
CMP-2-keto-3-deoxyoctulosonic acid synthetase	2	2	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2
UDP-N-acetylglucosamine enolpyruvyl transferase	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	4	2	1	2	2	2	2
