gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0517	CBS domain	3.2e-64
0	COG_CATEGORY	T	T	0
1	COG_FUNCTION	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	4.5e-77
1	COG_CATEGORY	H!!!R	H!!!R	0
2	COG_FUNCTION	COG1115	Na+/alanine symporter	2.4e-217
2	COG_CATEGORY	E	E	0
3	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	1.8e-114
3	COG_CATEGORY	V	V	0
4	COG_FUNCTION	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen	2.8e-117
4	COG_CATEGORY	P	P	0
5	COG_FUNCTION	COG2011	ABC-type methionine transport system, permease component	5.7e-103
5	COG_CATEGORY	E	E	0
6	COG_FUNCTION	COG1135	ABC-type methionine transport system, ATPase component	1.3e-158
6	COG_CATEGORY	E	E	0
7	COG_FUNCTION	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity	7.7e-222
7	COG_CATEGORY	T	T	0
8	COG_FUNCTION	COG5343	Anti-sigma-K factor RskA	1.2e-79
8	COG_CATEGORY	T	T	0
9	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	2.1e-74
9	COG_CATEGORY	K	K	0
10	COG_FUNCTION	COG0031	Cysteine synthase	2.8e-139
10	COG_CATEGORY	E	E	0
14	COG_FUNCTION	COG2370	Hydrogenase/urease accessory protein HupE	3.8e-27
14	COG_CATEGORY	O	O	0
16	COG_FUNCTION	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	4.3e-220
16	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG0730	Uncharacterized membrane protein YfcA	1.2e-101
18	COG_CATEGORY	S	S	0
19	COG_FUNCTION	COG2199!!!COG4191	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	6.5e-271
19	COG_CATEGORY	T	T	0
20	COG_FUNCTION	COG0811	Biopolymer transport protein ExbB/TolQ	4.2e-60
20	COG_CATEGORY	U	U	0
21	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	4.7e-20
21	COG_CATEGORY	U	U	0
22	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	1.4e-43
22	COG_CATEGORY	U	U	0
23	COG_FUNCTION	COG0810	Periplasmic protein TonB, links inner and outer membranes	5.6e-33
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG3157	Type VI protein secretion system component Hcp (secreted cytotoxin)	2.8e-94
24	COG_CATEGORY	U	U	0
26	COG_FUNCTION	COG0243!!!COG1251	Anaerobic selenocysteine-containing dehydrogenase!!!NAD(P)H-nitrite reductase, large subunit	1.8e-272
26	COG_CATEGORY	C	C	0
27	COG_FUNCTION	COG3707	Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains	7.7e-54
27	COG_CATEGORY	K!!!T	K!!!T	0
28	COG_FUNCTION	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	6.4e-76
28	COG_CATEGORY	P	P	0
29	COG_FUNCTION	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	4.1e-201
29	COG_CATEGORY	P	P	0
30	COG_FUNCTION	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	2.7e-109
30	COG_CATEGORY	P	P	0
31	COG_FUNCTION	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	4.5e-111
31	COG_CATEGORY	P	P	0
32	COG_FUNCTION	COG1251	NAD(P)H-nitrite reductase, large subunit	5.7e-93
32	COG_CATEGORY	C	C	0
33	COG_FUNCTION	COG1251	NAD(P)H-nitrite reductase, large subunit	0
33	COG_CATEGORY	C	C	0
34	COG_FUNCTION	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	2.3e-45
34	COG_CATEGORY	Q!!!P	Q!!!P	0
35	COG_FUNCTION	COG1020	Non-ribosomal peptide synthetase component F	6.6e-215
35	COG_CATEGORY	Q	Q	0
36	COG_FUNCTION	COG2314	Uncharacterized membrane protein YozV, TM2 domain	5.5e-69
36	COG_CATEGORY	S	S	0
