gene_callers_id	source	accession	function	e_value
5	COG_FUNCTION	COG0162	Tyrosyl-tRNA synthetase	2.8e-193
5	COG_CATEGORY	J	J	0
6	COG_FUNCTION	COG0739!!!COG3061	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain!!!Cell envelope opacity-associated protein A (function unknown)	3.1e-167
6	COG_CATEGORY	M!!!S	M!!!S	0
7	COG_FUNCTION	COG2377	1,6-Anhydro-N-acetylmuramate kinase	9.3e-119
7	COG_CATEGORY	M	M	0
8	COG_FUNCTION	COG0316	Fe-S cluster assembly iron-binding protein IscA	1.7e-53
8	COG_CATEGORY	O	O	0
9	COG_FUNCTION	COG1664	Cytoskeletal protein CcmA, bactofilin family	1.6e-44
9	COG_CATEGORY	Z	Z	0
11	COG_FUNCTION	COG0002	N-acetyl-gamma-glutamylphosphate reductase	7.3e-166
11	COG_CATEGORY	E	E	0
12	COG_FUNCTION	COG0038	H+/Cl- antiporter ClcA	2e-256
12	COG_CATEGORY	P	P	0
13	COG_FUNCTION	COG1981	Uncharacterized membrane protein	6.8e-70
13	COG_CATEGORY	S	S	0
14	COG_FUNCTION	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	1.9e-74
14	COG_CATEGORY	H	H	0
15	COG_FUNCTION	COG0352	Thiamine monophosphate synthase	1.8e-72
15	COG_CATEGORY	H	H	0
16	COG_FUNCTION	COG0001	Glutamate-1-semialdehyde aminotransferase	5.9e-218
16	COG_CATEGORY	H	H	0
19	COG_FUNCTION	COG5662	Transmembrane transcriptional regulator (anti-sigma factor RsiW)	3.1e-35
19	COG_CATEGORY	K	K	0
20	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	3.5e-56
20	COG_CATEGORY	K	K	0
22	COG_FUNCTION	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	9.2e-43
22	COG_CATEGORY	W!!!U	W!!!U	0
23	COG_FUNCTION	COG0744	Membrane carboxypeptidase (penicillin-binding protein)	0
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0645!!!COG2187	Predicted kinase!!!Aminoglycoside phosphotransferase family enzyme	1.1e-210
24	COG_CATEGORY	R	R	0
25	COG_FUNCTION	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	2.6e-25
25	COG_CATEGORY	P!!!Q	P!!!Q	0
26	COG_FUNCTION	COG1489	DNA-binding protein, stimulates sugar fermentation	9.1e-99
26	COG_CATEGORY	T!!!G	T!!!G	0
27	COG_FUNCTION	COG1734	RNA polymerase-binding transcription factor DksA	4.1e-70
27	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	1.2e-100
28	COG_CATEGORY	J	J	0
30	COG_FUNCTION	COG0591!!!COG4191	Na+/proline symporter!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	0
30	COG_CATEGORY	T!!!E	T!!!E	0
31	COG_FUNCTION	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	1.7e-205
31	COG_CATEGORY	T	T	0
33	COG_FUNCTION	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	1.5e-195
33	COG_CATEGORY	J	J	0
34	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	2.8e-52
34	COG_CATEGORY	H	H	0
35	COG_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase	7.4e-118
35	COG_CATEGORY	H	H	0
36	COG_FUNCTION	COG0414	Panthothenate synthetase	2.6e-113
36	COG_CATEGORY	H	H	0
37	COG_FUNCTION	COG0166	Glucose-6-phosphate isomerase	8.8e-206
37	COG_CATEGORY	G	G	0
38	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	1.1e-55
38	COG_CATEGORY	H	H	0
39	COG_FUNCTION	COG1539	Dihydroneopterin aldolase	2e-30
39	COG_CATEGORY	H	H	0
40	COG_FUNCTION	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	3.7e-74
40	COG_CATEGORY	I	I	0
41	COG_FUNCTION	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	1.9e-161
41	COG_CATEGORY	J	J	0
42	COG_FUNCTION	COG0828	Ribosomal protein S21	9.5e-28
42	COG_CATEGORY	J	J	0
43	COG_FUNCTION	COG0358	DNA primase (bacterial type)	8.4e-239
43	COG_CATEGORY	L	L	0
44	COG_FUNCTION	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	6.4e-298
44	COG_CATEGORY	K	K	0
46	COG_FUNCTION	COG0518	GMP synthase - Glutamine amidotransferase domain	4.4e-77
46	COG_CATEGORY	F	F	0
48	COG_FUNCTION	COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain	1.9e-41
48	COG_CATEGORY	O	O	0
50	COG_FUNCTION	COG0815	Apolipoprotein N-acyltransferase	9.9e-29
50	COG_CATEGORY	M	M	0
