gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG5421	Transposase	1.9e-22
0	COG_CATEGORY	X	X	0
1	COG_FUNCTION	COG5421	Transposase	4.4e-26
1	COG_CATEGORY	X	X	0
2	COG_FUNCTION	COG5421	Transposase	6.8e-28
2	COG_CATEGORY	X	X	0
3	COG_FUNCTION	COG5421	Transposase	1.7e-52
3	COG_CATEGORY	X	X	0
4	COG_FUNCTION	COG5421	Transposase	9.8e-21
4	COG_CATEGORY	X	X	0
5	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	3.4e-77
5	COG_CATEGORY	G	G	0
7	COG_FUNCTION	COG0116!!!COG1092	23S rRNA G2445 N2-methylase RlmL!!!23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	1.3e-209
7	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG0613	Predicted metal-dependent phosphoesterase TrpH, contains PHP domain	3.9e-64
8	COG_CATEGORY	R	R	0
9	COG_FUNCTION	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	1.2e-103
9	COG_CATEGORY	P!!!E	P!!!E	0
10	COG_FUNCTION	COG4608	ABC-type oligopeptide transport system, ATPase component	4.8e-106
10	COG_CATEGORY	E	E	0
11	COG_FUNCTION	COG3605	Signal transduction protein containing GAF and PtsI domains	8.9e-212
11	COG_CATEGORY	T	T	0
12	COG_FUNCTION	COG3344	Retron-type reverse transcriptase	6.5e-22
12	COG_CATEGORY	X	X	0
14	COG_FUNCTION	COG0525	Valyl-tRNA synthetase	0
14	COG_CATEGORY	J	J	0
15	COG_FUNCTION	COG0784	CheY chemotaxis protein or a CheY-like REC (receiver) domain	2.1e-39
15	COG_CATEGORY	T	T	0
18	COG_FUNCTION	COG0232	dGTP triphosphohydrolase	1.7e-102
18	COG_CATEGORY	F	F	0
20	COG_FUNCTION	COG1015	Phosphopentomutase	4.2e-125
20	COG_CATEGORY	G	G	0
21	COG_FUNCTION	COG0274	Deoxyribose-phosphate aldolase	7.2e-53
21	COG_CATEGORY	F	F	0
22	COG_FUNCTION	COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	1.7e-110
22	COG_CATEGORY	E	E	0
23	COG_FUNCTION	COG0745!!!COG5002	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain!!!Signal transduction histidine kinase	1.5e-35
23	COG_CATEGORY	T!!!K	T!!!K	0
24	COG_FUNCTION	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	0
24	COG_CATEGORY	U	U	0
25	COG_FUNCTION	COG1217	Predicted membrane GTPase involved in stress response	2.5e-246
25	COG_CATEGORY	T	T	0
26	COG_FUNCTION	COG2206!!!COG5000	HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)!!!Signal transduction histidine kinase involved in nitrogen fixation and metabolism regulation	5.8e-95
26	COG_CATEGORY	T	T	0
28	COG_FUNCTION	COG2983	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family	6.8e-11
28	COG_CATEGORY	S	S	0
29	COG_FUNCTION	COG2801!!!COG3415	Transposase InsO and inactivated derivatives!!!Transposase	2.3e-73
29	COG_CATEGORY	X	X	0
31	COG_FUNCTION	COG1346	Putative effector of murein hydrolase	2.2e-49
31	COG_CATEGORY	M	M	0
32	COG_FUNCTION	COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family	1.2e-19
32	COG_CATEGORY	R	R	0
34	COG_FUNCTION	COG1625	Fe-S oxidoreductase, related to NifB/MoaA family	5.6e-115
34	COG_CATEGORY	C	C	0
35	COG_FUNCTION	COG1923	sRNA-binding regulator protein Hfq	6.9e-24
35	COG_CATEGORY	T	T	0
36	COG_FUNCTION	COG0324	tRNA A37 N6-isopentenylltransferase MiaA	3.6e-74
36	COG_CATEGORY	J	J	0
37	COG_FUNCTION	COG0323	DNA mismatch repair ATPase MutL	1.7e-162
37	COG_CATEGORY	L	L	0
38	COG_FUNCTION	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	1.1e-56
38	COG_CATEGORY	U	U	0
39	COG_FUNCTION	COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	1.3e-42
39	COG_CATEGORY	R	R	0
40	COG_FUNCTION	COG0166	Glucose-6-phosphate isomerase	9.9e-110
40	COG_CATEGORY	G	G	0
41	COG_FUNCTION	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	3.6e-63
41	COG_CATEGORY	J	J	0
42	COG_FUNCTION	COG1386	Chromosome segregation and condensation protein ScpB	1.1e-44
42	COG_CATEGORY	K	K	0
43	COG_FUNCTION	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	1.8e-60
43	COG_CATEGORY	L	L	0
44	COG_FUNCTION	COG1994	Zn-dependent protease (includes SpoIVFB)	1.7e-54
44	COG_CATEGORY	O	O	0
45	COG_FUNCTION	COG0617!!!COG0618!!!COG3620	tRNA nucleotidyltransferase/poly(A) polymerase!!!nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs!!!Predicted transcriptional regulator with C-terminal CBS domains	6.4e-246
45	COG_CATEGORY	J!!!F!!!K	J!!!F!!!K	0
46	COG_FUNCTION	COG0167	Dihydroorotate dehydrogenase	1.3e-109
46	COG_CATEGORY	F	F	0
47	COG_FUNCTION	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	1.2e-22
47	COG_CATEGORY	J	J	0
48	COG_FUNCTION	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	5.9e-139
48	COG_CATEGORY	F	F	0
49	COG_FUNCTION	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	4.8e-62
49	COG_CATEGORY	F	F	0
50	COG_FUNCTION	COG1683	Uncharacterized conserved protein YbbK, DUF523 family	5.1e-29
50	COG_CATEGORY	S	S	0
53	COG_FUNCTION	COG3635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archeal type	2.6e-47
53	COG_CATEGORY	G	G	0
54	COG_FUNCTION	COG3635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archeal type	3.1e-86
54	COG_CATEGORY	G	G	0
55	COG_FUNCTION	COG4974	Site-specific recombinase XerD	6.4e-94
55	COG_CATEGORY	L	L	0
56	COG_FUNCTION	COG2844	UTP:GlnB (protein PII) uridylyltransferase	5.1e-259
56	COG_CATEGORY	T!!!O	T!!!O	0
57	COG_FUNCTION	COG0860	N-acetylmuramoyl-L-alanine amidase	9.8e-99
57	COG_CATEGORY	M	M	0
58	COG_FUNCTION	COG0249	DNA mismatch repair ATPase MutS	6e-146
58	COG_CATEGORY	L	L	0
59	COG_FUNCTION	COG0249	DNA mismatch repair ATPase MutS	3.2e-91
59	COG_CATEGORY	L	L	0
61	COG_FUNCTION	COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	3.5e-71
61	COG_CATEGORY	P	P	0
62	COG_FUNCTION	COG0457!!!COG2357	Tetratricopeptide (TPR) repeat!!!ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)	1.6e-55
62	COG_CATEGORY	T!!!F!!!R	T!!!F!!!R	0
67	COG_FUNCTION	COG1343	CRISPR/Cas system-associated endoribonuclease Cas2	1.7e-35
67	COG_CATEGORY	V	V	0
68	COG_FUNCTION	COG1518	CRISPR/Cas system-associated endonuclease Cas1	9.6e-126
68	COG_CATEGORY	V	V	0
