gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0673	Predicted dehydrogenase	8.6e-68
0	COG_CATEGORY	R	R	0
1	COG_FUNCTION	COG0800	2-keto-3-deoxy-6-phosphogluconate aldolase	2.5e-108
1	COG_CATEGORY	G	G	0
2	COG_FUNCTION	COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	1.9e-88
2	COG_CATEGORY	G	G	0
3	COG_FUNCTION	COG0364	Glucose-6-phosphate 1-dehydrogenase	1.1e-255
3	COG_CATEGORY	G	G	0
4	COG_FUNCTION	COG1737	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains	1.4e-146
4	COG_CATEGORY	K	K	0
5	COG_FUNCTION	COG4580	Maltoporin (phage lambda and maltose receptor)	2.5e-81
5	COG_CATEGORY	G	G	0
6	COG_FUNCTION	COG1523	Pullulanase/glycogen debranching enzyme	4.3e-294
6	COG_CATEGORY	G	G	0
8	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	4.8e-200
8	COG_CATEGORY	O	O	0
9	COG_FUNCTION	COG0776	Bacterial nucleoid DNA-binding protein	8.3e-40
9	COG_CATEGORY	L	L	0
10	COG_FUNCTION	COG0466	ATP-dependent Lon protease, bacterial type	0
10	COG_CATEGORY	O	O	0
11	COG_FUNCTION	COG1219	ATP-dependent protease Clp, ATPase subunit	9.8e-221
11	COG_CATEGORY	O	O	0
12	COG_FUNCTION	COG0740	ATP-dependent protease ClpP, protease subunit	1.8e-106
12	COG_CATEGORY	O	O	0
13	COG_FUNCTION	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	6.3e-223
13	COG_CATEGORY	O	O	0
14	COG_FUNCTION	COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	2.6e-148
14	COG_CATEGORY	H	H	0
15	COG_FUNCTION	COG2225	Malate synthase	0
15	COG_CATEGORY	C	C	0
16	COG_FUNCTION	COG0215	Cysteinyl-tRNA synthetase	8e-245
16	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	0
17	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	1.1e-85
