gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG1092	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	1.2e-204
0	COG_CATEGORY	J	J	0
1	COG_FUNCTION	COG0560	Phosphoserine phosphatase	1.4e-98
1	COG_CATEGORY	E	E	0
2	COG_FUNCTION	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	2e-71
2	COG_CATEGORY	V	V	0
3	COG_FUNCTION	COG3605	Signal transduction protein containing GAF and PtsI domains	0
3	COG_CATEGORY	T	T	0
4	COG_FUNCTION	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain	6.6e-222
4	COG_CATEGORY	R	R	0
5	COG_FUNCTION	COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit	6.6e-212
5	COG_CATEGORY	O	O	0
6	COG_FUNCTION	COG5405	ATP-dependent protease HslVU (ClpYQ), peptidase subunit	2.6e-87
6	COG_CATEGORY	O	O	0
7	COG_FUNCTION	COG3087	Cell division protein FtsN	3.5e-65
7	COG_CATEGORY	D	D	0
8	COG_FUNCTION	COG0018	Arginyl-tRNA synthetase	2.5e-293
8	COG_CATEGORY	J	J	0
9	COG_FUNCTION	COG4932	Uncharacterized surface anchored protein	2e-33
9	COG_CATEGORY	S	S	0
10	COG_FUNCTION	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	0
10	COG_CATEGORY	L	L	0
11	COG_FUNCTION	COG0254	Ribosomal protein L31	7e-34
11	COG_CATEGORY	J	J	0
12	COG_FUNCTION	COG0281	Malic enzyme	3.7e-220
12	COG_CATEGORY	C	C	0
13	COG_FUNCTION	COG5009	Membrane carboxypeptidase/penicillin-binding protein	0
13	COG_CATEGORY	M	M	0
14	COG_FUNCTION	COG4972	Tfp pilus assembly protein, ATPase PilM	4.7e-168
14	COG_CATEGORY	W!!!N	W!!!N	0
15	COG_FUNCTION	COG3166	Tfp pilus assembly protein PilN	1.1e-86
15	COG_CATEGORY	W!!!N	W!!!N	0
16	COG_FUNCTION	COG3167	Tfp pilus assembly protein PilO	4.8e-101
16	COG_CATEGORY	W!!!N	W!!!N	0
17	COG_FUNCTION	COG3168	Tfp pilus assembly protein PilP	3.2e-88
17	COG_CATEGORY	W!!!N	W!!!N	0
18	COG_FUNCTION	COG4796	Type II secretory pathway, component HofQ	0
18	COG_CATEGORY	U	U	0
19	COG_FUNCTION	COG0703	Shikimate kinase	8.2e-90
19	COG_CATEGORY	E	E	0
20	COG_FUNCTION	COG0337	3-dehydroquinate synthetase	2.3e-162
20	COG_CATEGORY	E	E	0
21	COG_FUNCTION	COG3266!!!COG3267	Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain!!!Type II secretory pathway, component ExeA (predicted ATPase)	2.5e-130
21	COG_CATEGORY	U!!!D	U!!!D	0
22	COG_FUNCTION	COG0067!!!COG0069!!!COG0070	Glutamate synthase domain 1!!!Glutamate synthase domain 2!!!Glutamate synthase domain 3	0
22	COG_CATEGORY	E	E	0
23	COG_FUNCTION	COG0493	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	4.7e-264
23	COG_CATEGORY	E!!!R	E!!!R	0
24	COG_FUNCTION	COG0407	Uroporphyrinogen-III decarboxylase	4.4e-190
24	COG_CATEGORY	H	H	0
26	COG_FUNCTION	COG1066	Predicted ATP-dependent serine protease	1.1e-233
26	COG_CATEGORY	O	O	0
27	COG_FUNCTION	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	1.2e-306
27	COG_CATEGORY	R	R	0
28	COG_FUNCTION	COG0112	Glycine/serine hydroxymethyltransferase	1e-230
28	COG_CATEGORY	E	E	0
29	COG_FUNCTION	COG1327	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	2e-84
29	COG_CATEGORY	K	K	0
30	COG_FUNCTION	COG0117!!!COG1985	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD!!!Pyrimidine reductase, riboflavin biosynthesis	2.1e-195
30	COG_CATEGORY	H	H	0
31	COG_FUNCTION	COG0108!!!COG0807	3,4-dihydroxy-2-butanone 4-phosphate synthase!!!GTP cyclohydrolase II	7.3e-204
31	COG_CATEGORY	H	H	0
