gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0119	Isopropylmalate/homocitrate/citramalate synthases	6.6e-272
0	COG_CATEGORY	E	E	0
2	COG_FUNCTION	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	4.3e-44
2	COG_CATEGORY	J	J	0
3	COG_FUNCTION	COG4108	Peptide chain release factor RF-3	2.7e-289
3	COG_CATEGORY	J	J	0
4	COG_FUNCTION	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	2.2e-90
4	COG_CATEGORY	N	N	0
5	COG_FUNCTION	COG0102	Ribosomal protein L13	3.2e-75
5	COG_CATEGORY	J	J	0
6	COG_FUNCTION	COG0103	Ribosomal protein S9	1.4e-61
6	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG0723	Rieske Fe-S protein	9.8e-91
8	COG_CATEGORY	C	C	0
9	COG_FUNCTION	COG1290	Cytochrome b subunit of the bc complex	1.4e-208
9	COG_CATEGORY	C	C	0
10	COG_FUNCTION	COG2857	Cytochrome c1	1.3e-127
10	COG_CATEGORY	C	C	0
11	COG_FUNCTION	COG0625	Glutathione S-transferase	4.7e-107
11	COG_CATEGORY	O	O	0
12	COG_FUNCTION	COG2969	Stringent starvation protein B	3.8e-60
12	COG_CATEGORY	R	R	0
13	COG_FUNCTION	COG0279	Phosphoheptose isomerase	5.4e-92
13	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	9.6e-44
14	COG_CATEGORY	L	L	0
15	COG_FUNCTION	COG3107	Outer membrane lipoprotein LpoA, binds and activates PBP1a	1.5e-193
15	COG_CATEGORY	M	M	0
16	COG_FUNCTION	COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	2.5e-103
16	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG2001	MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	4.3e-70
17	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG0275	16S rRNA C1402 N4-methylase RsmH	2.6e-133
18	COG_CATEGORY	J	J	0
19	COG_FUNCTION	COG3116	Cell division protein FtsL, interacts with FtsB, FtsL and FtsQ	9.1e-48
19	COG_CATEGORY	D	D	0
20	COG_FUNCTION	COG0768	Cell division protein FtsI/penicillin-binding protein 2	2.2e-260
20	COG_CATEGORY	D!!!M	D!!!M	0
21	COG_FUNCTION	COG0769	UDP-N-acetylmuramyl tripeptide synthase	3.8e-208
21	COG_CATEGORY	M	M	0
22	COG_FUNCTION	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	5.8e-166
22	COG_CATEGORY	M	M	0
23	COG_FUNCTION	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	1.6e-184
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	3.7e-210
24	COG_CATEGORY	M	M	0
25	COG_FUNCTION	COG0772	Bacterial cell division protein FtsW, lipid II flippase	1.5e-170
25	COG_CATEGORY	D	D	0
26	COG_FUNCTION	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	7.6e-166
26	COG_CATEGORY	M	M	0
27	COG_FUNCTION	COG0773	UDP-N-acetylmuramate-alanine ligase	9.9e-246
27	COG_CATEGORY	M	M	0
28	COG_FUNCTION	COG1181	D-alanine-D-alanine ligase and related ATP-grasp enzymes	1e-140
28	COG_CATEGORY	R!!!M	R!!!M	0
29	COG_FUNCTION	COG1589	Cell division septal protein FtsQ	2.8e-123
29	COG_CATEGORY	D	D	0
30	COG_FUNCTION	COG0849	Cell division ATPase FtsA	1.2e-223
30	COG_CATEGORY	D	D	0
31	COG_FUNCTION	COG0206	Cell division GTPase FtsZ	2.5e-183
31	COG_CATEGORY	D	D	0
32	COG_FUNCTION	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase	2.6e-159
32	COG_CATEGORY	M	M	0
33	COG_FUNCTION	COG4701	Uncharacterized protein	1.9e-46
33	COG_CATEGORY	S	S	0
34	COG_FUNCTION	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	9e-135
34	COG_CATEGORY	M	M	0
35	COG_FUNCTION	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	0
35	COG_CATEGORY	U	U	0
36	COG_FUNCTION	COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	6.1e-196
36	COG_CATEGORY	E	E	0
37	COG_FUNCTION	COG0352!!!COG0494	Thiamine monophosphate synthase!!!8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	5.8e-104
37	COG_CATEGORY	V!!!H	V!!!H	0
38	COG_FUNCTION	COG0315	Molybdenum cofactor biosynthesis enzyme	1.1e-71
38	COG_CATEGORY	H	H	0
39	COG_FUNCTION	COG0807	GTP cyclohydrolase II	8.5e-106
39	COG_CATEGORY	H	H	0
40	COG_FUNCTION	COG1154	Deoxyxylulose-5-phosphate synthase	0
40	COG_CATEGORY	H!!!I	H!!!I	0
41	COG_FUNCTION	COG0142	Geranylgeranyl pyrophosphate synthase	7.5e-119
41	COG_CATEGORY	H	H	0
42	COG_FUNCTION	COG1722	Exonuclease VII small subunit	4.9e-15
42	COG_CATEGORY	L	L	0
43	COG_FUNCTION	COG3332	Uncharacterized conserved protein, contains NRDE domain	2.2e-98
43	COG_CATEGORY	S	S	0
44	COG_FUNCTION	COG0730	Uncharacterized membrane protein YfcA	3.1e-108
44	COG_CATEGORY	S	S	0
45	COG_FUNCTION	COG0682	Prolipoprotein diacylglyceryltransferase	1.4e-132
45	COG_CATEGORY	M	M	0
46	COG_FUNCTION	COG0207	Thymidylate synthase	1.3e-160
46	COG_CATEGORY	F	F	0
47	COG_FUNCTION	COG0262	Dihydrofolate reductase	8.2e-86
47	COG_CATEGORY	H	H	0
48	COG_FUNCTION	COG0513	Superfamily II DNA and RNA helicase	1.4e-221
48	COG_CATEGORY	L	L	0
49	COG_FUNCTION	COG1946	Acyl-CoA thioesterase	3.9e-103
49	COG_CATEGORY	I	I	0
50	COG_FUNCTION	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	2.5e-138
50	COG_CATEGORY	R!!!H	R!!!H	0
52	COG_FUNCTION	COG0628	Predicted PurR-regulated permease PerM	1.7e-152
52	COG_CATEGORY	R	R	0
53	COG_FUNCTION	COG3409	Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases	2.7e-18
53	COG_CATEGORY	M	M	0
54	COG_FUNCTION	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	1.9e-312
54	COG_CATEGORY	E!!!G	E!!!G	0
55	COG_FUNCTION	COG0664!!!COG1639	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases!!!HD-like signal output (HDOD) domain, no enzymatic activity	4.5e-170
55	COG_CATEGORY	T	T	0
56	COG_FUNCTION	COG2802	Uncharacterized protein, similar to the N-terminal domain of Lon protease	3.7e-74
56	COG_CATEGORY	S	S	0
57	COG_FUNCTION	COG0586!!!COG0671	Uncharacterized membrane protein DedA, SNARE-associated domain!!!Membrane-associated phospholipid phosphatase	5.8e-169
57	COG_CATEGORY	I!!!S	I!!!S	0
58	COG_FUNCTION	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	9e-121
58	COG_CATEGORY	K!!!T	K!!!T	0
59	COG_FUNCTION	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	3.8e-103
59	COG_CATEGORY	K!!!T	K!!!T	0
60	COG_FUNCTION	COG0014	Gamma-glutamyl phosphate reductase	3.2e-200
60	COG_CATEGORY	E	E	0
61	COG_FUNCTION	COG1057	Nicotinic acid mononucleotide adenylyltransferase	3.3e-84
61	COG_CATEGORY	H	H	0
62	COG_FUNCTION	COG0799	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	1.5e-51
62	COG_CATEGORY	J	J	0
63	COG_FUNCTION	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	2e-78
63	COG_CATEGORY	J	J	0
64	COG_FUNCTION	COG0768	Cell division protein FtsI/penicillin-binding protein 2	1.5e-297
64	COG_CATEGORY	D!!!M	D!!!M	0
65	COG_FUNCTION	COG0772	Bacterial cell division protein FtsW, lipid II flippase	1.7e-176
65	COG_CATEGORY	D	D	0
66	COG_FUNCTION	COG0797!!!COG3087	Rare lipoprotein A, peptidoglycan hydrolase digesting "naked" glycans, contains C-terminal SPOR domain!!!Cell division protein FtsN	5.1e-115
66	COG_CATEGORY	D!!!M	D!!!M	0
67	COG_FUNCTION	COG1686	D-alanyl-D-alanine carboxypeptidase	5.8e-172
67	COG_CATEGORY	M	M	0
68	COG_FUNCTION	COG2921	Putative lipoic acid-binding regulatory protein	3e-31
68	COG_CATEGORY	T	T	0
69	COG_FUNCTION	COG0321	Lipoate-protein ligase B	6.4e-96
69	COG_CATEGORY	H	H	0
70	COG_FUNCTION	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	3.5e-224
70	COG_CATEGORY	H!!!T	H!!!T	0
71	COG_FUNCTION	COG1238	Uncharacterized membrane protein YqaA, SNARE-associated domain	6e-34
71	COG_CATEGORY	S	S	0
72	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	4.5e-194
72	COG_CATEGORY	N!!!T	N!!!T	0
73	COG_FUNCTION	COG0695	Glutaredoxin	5.1e-30
73	COG_CATEGORY	O	O	0
74	COG_FUNCTION	COG0205	6-phosphofructokinase	2.5e-224
74	COG_CATEGORY	G	G	0
75	COG_FUNCTION	COG0773	UDP-N-acetylmuramate-alanine ligase	6.9e-236
75	COG_CATEGORY	M	M	0
76	COG_FUNCTION	COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	1.1e-92
76	COG_CATEGORY	H	H	0
77	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.1e-196
77	COG_CATEGORY	I	I	0
78	COG_FUNCTION	COG3209	Uncharacterized conserved protein RhaS, contains 28 RHS repeats	5.3e-16
78	COG_CATEGORY	R	R	0
79	COG_FUNCTION	COG3617!!!COG3645	Prophage antirepressor!!!Phage antirepressor protein YoqD, KilAC domain	1.9e-12
79	COG_CATEGORY	X	X	0
80	COG_FUNCTION	COG2356	Endonuclease I	3.8e-100
80	COG_CATEGORY	L	L	0
82	COG_FUNCTION	COG0270	Site-specific DNA-cytosine methylase	1.2e-54
82	COG_CATEGORY	L	L	0
83	COG_FUNCTION	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	2.5e-48
83	COG_CATEGORY	L	L	0
86	COG_FUNCTION	COG0328	Ribonuclease HI	2.7e-35
86	COG_CATEGORY	L	L	0
87	COG_FUNCTION	COG0582	Integrase	7.3e-32
87	COG_CATEGORY	L!!!X	L!!!X	0
88	COG_FUNCTION	COG0557	Exoribonuclease R	0
88	COG_CATEGORY	K	K	0
89	COG_FUNCTION	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	1.8e-126
89	COG_CATEGORY	J	J	0
90	COG_FUNCTION	COG0360	Ribosomal protein S6	4.1e-51
90	COG_CATEGORY	J	J	0
91	COG_FUNCTION	COG0238	Ribosomal protein S18	1e-35
91	COG_CATEGORY	J	J	0
93	COG_FUNCTION	COG0359	Ribosomal protein L9	6.3e-66
93	COG_CATEGORY	J	J	0
94	COG_FUNCTION	COG0305	Replicative DNA helicase	9.3e-249
94	COG_CATEGORY	L	L	0
95	COG_FUNCTION	COG0787	Alanine racemase	1.2e-139
95	COG_CATEGORY	M	M	0
97	COG_FUNCTION	COG1091	dTDP-4-dehydrorhamnose reductase	7.6e-116
97	COG_CATEGORY	M	M	0
98	COG_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	5.6e-99
98	COG_CATEGORY	T	T	0
