gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG3666	Transposase	2.1e-84
1	COG_CATEGORY	X	X	0
3	COG_FUNCTION	COG0191	Fructose/tagatose bisphosphate aldolase	3.6e-192
3	COG_CATEGORY	G	G	0
4	COG_FUNCTION	COG0126	3-phosphoglycerate kinase	7.1e-194
4	COG_CATEGORY	G	G	0
5	COG_FUNCTION	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	7.5e-163
5	COG_CATEGORY	G	G	0
6	COG_FUNCTION	COG0021	Transketolase	0
6	COG_CATEGORY	G	G	0
7	COG_FUNCTION	COG0640!!!COG4976	DNA-binding transcriptional regulator, ArsR family!!!Predicted methyltransferase, contains TPR repeat	9.2e-158
7	COG_CATEGORY	K!!!R	K!!!R	0
8	COG_FUNCTION	COG0192	S-adenosylmethionine synthetase	2.7e-204
8	COG_CATEGORY	H	H	0
9	COG_FUNCTION	COG0499	S-adenosylhomocysteine hydrolase	3.8e-255
9	COG_CATEGORY	H	H	0
10	COG_FUNCTION	COG0685	5,10-methylenetetrahydrofolate reductase	1.8e-154
10	COG_CATEGORY	E	E	0
11	COG_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	3.4e-120
11	COG_CATEGORY	E!!!T	E!!!T	0
12	COG_FUNCTION	COG0765	ABC-type amino acid transport system, permease component	4.6e-113
12	COG_CATEGORY	E	E	0
13	COG_FUNCTION	COG1126	ABC-type polar amino acid transport system, ATPase component	3.9e-121
13	COG_CATEGORY	E	E	0
14	COG_FUNCTION	COG4104	Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	8.9e-29
14	COG_CATEGORY	U	U	0
15	COG_FUNCTION	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	3.6e-250
15	COG_CATEGORY	H	H	0
16	COG_FUNCTION	COG1385	16S rRNA U1498 N3-methylase RsmE	8.9e-110
16	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG4399!!!COG4399	Uncharacterized membrane protein YheB, UPF0754 family!!!Uncharacterized membrane protein YheB, UPF0754 family	2e-199
17	COG_CATEGORY	S	S	0
18	COG_FUNCTION	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity	5.7e-110
18	COG_CATEGORY	T	T	0
19	COG_FUNCTION	COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	8.8e-201
19	COG_CATEGORY	S	S	0
20	COG_FUNCTION	COG3417	Outer membrane lipoprotein LpoB, binds and activates PBP1b	4.5e-51
20	COG_CATEGORY	M	M	0
22	COG_FUNCTION	COG3014	Uncharacterized protein	1.9e-49
22	COG_CATEGORY	S	S	0
23	COG_FUNCTION	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	7.1e-144
23	COG_CATEGORY	H!!!C!!!R	H!!!C!!!R	0
24	COG_FUNCTION	COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	1.4e-29
24	COG_CATEGORY	J	J	0
