gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG0582	Integrase	2.2e-132
1	COG_CATEGORY	X!!!L	X!!!L	0
3	COG_FUNCTION	COG4974	Site-specific recombinase XerD	3.6e-123
3	COG_CATEGORY	L	L	0
4	COG_FUNCTION	COG0286	Type I restriction-modification system, DNA methylase subunit	4.6e-254
4	COG_CATEGORY	V	V	0
5	COG_FUNCTION	COG0286	Type I restriction-modification system, DNA methylase subunit	2.5e-252
5	COG_CATEGORY	V	V	0
6	COG_FUNCTION	COG0732!!!COG0732	Restriction endonuclease S subunit!!!Restriction endonuclease S subunit	1e-46
6	COG_CATEGORY	V	V	0
7	COG_FUNCTION	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	0
7	COG_CATEGORY	V	V	0
12	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	1.5e-36
12	COG_CATEGORY	X	X	0
13	COG_FUNCTION	COG2826	Transposase and inactivated derivatives, IS30 family	8.2e-190
13	COG_CATEGORY	X	X	0
14	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	4.2e-132
14	COG_CATEGORY	X	X	0
16	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	3.6e-11
16	COG_CATEGORY	X	X	0
17	COG_FUNCTION	COG3436	Transposase	2.9e-39
17	COG_CATEGORY	X	X	0
18	COG_FUNCTION	COG4372	Uncharacterized conserved protein, contains DUF3084 domain	5.4e-114
18	COG_CATEGORY	S	S	0
19	COG_FUNCTION	COG4372	Uncharacterized conserved protein, contains DUF3084 domain	1e-45
19	COG_CATEGORY	S	S	0
20	COG_FUNCTION	COG1937	DNA-binding transcriptional regulator, FrmR family	3.4e-30
20	COG_CATEGORY	K	K	0
21	COG_FUNCTION	COG1230	Co/Zn/Cd efflux system component	3e-126
21	COG_CATEGORY	P	P	0
22	COG_FUNCTION	COG1971	Putative Mn2+ efflux pump MntP	2.1e-71
22	COG_CATEGORY	P	P	0
25	COG_FUNCTION	COG1669	Predicted nucleotidyltransferase	4.6e-19
25	COG_CATEGORY	R	R	0
28	COG_FUNCTION	COG1396	Transcriptional regulator, contains XRE-family HTH domain	2e-14
28	COG_CATEGORY	K	K	0
29	COG_FUNCTION	COG2357	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)	4.9e-63
29	COG_CATEGORY	T!!!F	T!!!F	0
37	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	1.9e-96
37	COG_CATEGORY	X	X	0
38	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	2.7e-28
38	COG_CATEGORY	X	X	0
40	COG_FUNCTION	COG1607	Acyl-CoA hydrolase	2e-76
40	COG_CATEGORY	I	I	0
