gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG1210	UTP-glucose-1-phosphate uridylyltransferase	3.3e-153
0	COG_CATEGORY	M	M	0
2	COG_FUNCTION	COG3131	Periplasmic glucans biosynthesis protein	6.5e-105
2	COG_CATEGORY	M	M	0
4	COG_FUNCTION	COG2943	Membrane glycosyltransferase	3.1e-184
4	COG_CATEGORY	G!!!M	G!!!M	0
5	COG_FUNCTION	COG3131	Periplasmic glucans biosynthesis protein	7.9e-204
5	COG_CATEGORY	M	M	0
6	COG_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family	1.9e-106
6	COG_CATEGORY	K	K	0
7	COG_FUNCTION	COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family	3.8e-147
7	COG_CATEGORY	G	G	0
8	COG_FUNCTION	COG0372	Citrate synthase	1.3e-189
8	COG_CATEGORY	C	C	0
9	COG_FUNCTION	COG1048	Aconitase A	0
9	COG_CATEGORY	C	C	0
10	COG_FUNCTION	COG2828	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)	1.6e-185
10	COG_CATEGORY	C	C	0
11	COG_FUNCTION	COG2079	2-methylcitrate dehydratase PrpD	9.2e-239
11	COG_CATEGORY	G	G	0
13	COG_FUNCTION	COG2931!!!COG2931!!!COG2931!!!COG2931!!!COG2931!!!COG2931!!!COG2931	Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related	4.7e-06
13	COG_CATEGORY	Q	Q	0
14	COG_FUNCTION	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	1.2e-35
14	COG_CATEGORY	U	U	0
15	COG_FUNCTION	COG4679	Phage-related protein	4e-41
15	COG_CATEGORY	X	X	0
16	COG_FUNCTION	COG5606	Predicted DNA-binding protein, XRE-type HTH domain	2e-26
16	COG_CATEGORY	R	R	0
17	COG_FUNCTION	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	5.3e-48
17	COG_CATEGORY	R	R	0
18	COG_FUNCTION	COG4456	Virulence-associated protein VagC (function unknown)	1.2e-23
18	COG_CATEGORY	S	S	0
19	COG_FUNCTION	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	6.4e-146
19	COG_CATEGORY	U	U	0
20	COG_FUNCTION	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	2e-133
20	COG_CATEGORY	G!!!M	G!!!M	0
21	COG_FUNCTION	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	1.1e-188
21	COG_CATEGORY	M	M	0
22	COG_FUNCTION	COG1596	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	1.3e-75
22	COG_CATEGORY	M	M	0
23	COG_FUNCTION	COG3206	Uncharacterized protein involved in exopolysaccharide biosynthesis	2.5e-173
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0489	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	1.2e-89
24	COG_CATEGORY	D	D	0
27	COG_FUNCTION	COG2192	Predicted carbamoyl transferase, NodU family	1.4e-98
27	COG_CATEGORY	R	R	0
28	COG_FUNCTION	COG5653	Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family	2e-92
28	COG_CATEGORY	N	N	0
29	COG_FUNCTION	COG5653	Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family	5.4e-87
29	COG_CATEGORY	N	N	0
30	COG_FUNCTION	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	8.3e-141
30	COG_CATEGORY	N	N	0
31	COG_FUNCTION	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	7.6e-246
31	COG_CATEGORY	E	E	0
32	COG_FUNCTION	COG0297	Glycogen synthase	1.7e-107
32	COG_CATEGORY	G	G	0
33	COG_FUNCTION	COG3307	O-antigen ligase	2.6e-128
33	COG_CATEGORY	M	M	0
34	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	8.3e-62
34	COG_CATEGORY	M	M	0
35	COG_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis	4.5e-47
35	COG_CATEGORY	M	M	0
36	COG_FUNCTION	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	1.1e-77
36	COG_CATEGORY	M	M	0
37	COG_FUNCTION	COG1216	Glycosyltransferase, GT2 family	7.3e-35
37	COG_CATEGORY	G	G	0
38	COG_FUNCTION	COG4974	Site-specific recombinase XerD	2.1e-08
38	COG_CATEGORY	L	L	0
39	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	1.2e-102
39	COG_CATEGORY	X	X	0
40	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	4e-36
40	COG_CATEGORY	X	X	0
42	COG_FUNCTION	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	2.5e-62
42	COG_CATEGORY	N	N	0
43	COG_FUNCTION	COG1541	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	2e-131
43	COG_CATEGORY	H	H	0
44	COG_FUNCTION	COG0110	Acetyltransferase (isoleucine patch superfamily)	7.8e-60
44	COG_CATEGORY	R	R	0
46	COG_FUNCTION	COG2133	Glucose/arabinose dehydrogenase, beta-propeller fold	9.7e-26
46	COG_CATEGORY	G	G	0
47	COG_FUNCTION	COG0297	Glycogen synthase	3.3e-103
47	COG_CATEGORY	G	G	0
51	COG_FUNCTION	COG0457!!!COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	8.6e-98
51	COG_CATEGORY	R	R	0
54	COG_FUNCTION	COG0457!!!COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	2.7e-142
54	COG_CATEGORY	R	R	0
55	COG_FUNCTION	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	2.6e-195
55	COG_CATEGORY	T	T	0
56	COG_FUNCTION	COG2203!!!COG4191	GAF domain!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	1.9e-256
56	COG_CATEGORY	T	T	0
57	COG_FUNCTION	COG3177	Fic family protein	7.5e-140
57	COG_CATEGORY	K	K	0
58	COG_FUNCTION	COG2812	DNA polymerase III, gamma/tau subunits	9.2e-226
58	COG_CATEGORY	L	L	0
59	COG_FUNCTION	COG0718	Conserved DNA-binding protein YbaB (function unknown)	5.6e-32
59	COG_CATEGORY	R	R	0
60	COG_FUNCTION	COG0353	Recombinational DNA repair protein RecR	3.8e-98
60	COG_CATEGORY	L	L	0
61	COG_FUNCTION	COG0349	Ribonuclease D	1e-131
61	COG_CATEGORY	J	J	0
62	COG_FUNCTION	COG3100	Uncharacterized conserved protein YcgL, UPF0745 family	9.7e-31
62	COG_CATEGORY	S	S	0
63	COG_FUNCTION	COG2983	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family	2.6e-75
63	COG_CATEGORY	S	S	0
65	COG_FUNCTION	COG2304	Secreted protein containing bacterial Ig-like domain and vWFA domain	8.4e-145
65	COG_CATEGORY	R	R	0
66	COG_FUNCTION	COG0714	MoxR-like ATPase	6.4e-144
66	COG_CATEGORY	R	R	0
67	COG_FUNCTION	COG3825	Uncharacterized conserved protein,  contains von Willebrand factor type A (vWA) domain	1.1e-202
67	COG_CATEGORY	S	S	0
68	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	2.1e-279
68	COG_CATEGORY	Q!!!I	Q!!!I	0
69	COG_FUNCTION	COG1643	HrpA-like RNA helicase	0
69	COG_CATEGORY	J	J	0
70	COG_FUNCTION	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	3.1e-178
70	COG_CATEGORY	I	I	0
71	COG_FUNCTION	COG0824	Acyl-CoA thioesterase FadM	3.9e-46
71	COG_CATEGORY	I	I	0
72	COG_FUNCTION	COG2853	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, lipoprotein component MlaA	9.6e-92
72	COG_CATEGORY	M	M	0
73	COG_FUNCTION	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	1.4e-180
73	COG_CATEGORY	U	U	0
75	COG_FUNCTION	COG1199	Rad3-related DNA helicase	0
75	COG_CATEGORY	L	L	0
76	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1.2e-157
76	COG_CATEGORY	K	K	0
77	COG_FUNCTION	COG0560	Phosphoserine phosphatase	2.5e-105
77	COG_CATEGORY	E	E	0
78	COG_FUNCTION	COG0147	Anthranilate/para-aminobenzoate synthases component I	2e-134
78	COG_CATEGORY	E!!!H	E!!!H	0
79	COG_FUNCTION	COG1721	Uncharacterized conserved protein, DUF58 family, contains vWF domain	3e-103
79	COG_CATEGORY	S	S	0
80	COG_FUNCTION	COG1305	Transglutaminase-like enzyme, putative cysteine protease	3.7e-249
80	COG_CATEGORY	O	O	0
81	COG_FUNCTION	COG0470	DNA polymerase III, delta prime subunit	1.3e-125
81	COG_CATEGORY	L	L	0
82	COG_FUNCTION	COG3215	Tfp pilus assembly protein PilZ	1.1e-49
82	COG_CATEGORY	N!!!W	N!!!W	0
83	COG_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	3.3e-101
83	COG_CATEGORY	I	I	0
85	COG_FUNCTION	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain	2.7e-146
85	COG_CATEGORY	R	R	0
86	COG_FUNCTION	COG2890	Methylase of polypeptide chain release factors	7.8e-132
86	COG_CATEGORY	J	J	0
87	COG_FUNCTION	COG0082	Chorismate synthase	5e-189
87	COG_CATEGORY	E	E	0
88	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	2.2e-78
88	COG_CATEGORY	G	G	0
89	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	2.8e-121
89	COG_CATEGORY	K	K	0
90	COG_FUNCTION	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	2.4e-244
90	COG_CATEGORY	E	E	0
91	COG_FUNCTION	COG0066	3-isopropylmalate dehydratase small subunit	1.6e-102
91	COG_CATEGORY	E	E	0
92	COG_FUNCTION	COG0473	Isocitrate/isopropylmalate dehydrogenase	3.6e-176
92	COG_CATEGORY	C!!!E	C!!!E	0
93	COG_FUNCTION	COG0136	Aspartate-semialdehyde dehydrogenase	1.9e-188
93	COG_CATEGORY	E	E	0
95	COG_FUNCTION	COG3170	Tfp pilus assembly protein FimV	2.3e-135
95	COG_CATEGORY	N!!!W	N!!!W	0
96	COG_FUNCTION	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	3e-131
96	COG_CATEGORY	J	J	0
97	COG_FUNCTION	COG0135	Phosphoribosylanthranilate isomerase	1.4e-74
97	COG_CATEGORY	E	E	0
98	COG_FUNCTION	COG0777	Acetyl-CoA carboxylase beta subunit	1.3e-153
98	COG_CATEGORY	I	I	0
99	COG_FUNCTION	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	1.3e-146
99	COG_CATEGORY	H	H	0
100	COG_FUNCTION	COG3147	Cell division protein DedD (periplasmic protein involved in septation)	1.8e-45
100	COG_CATEGORY	D	D	0
101	COG_FUNCTION	COG1286	Uncharacterized membrane protein, required for colicin V production	2.3e-67
101	COG_CATEGORY	S	S	0
102	COG_FUNCTION	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	7.5e-260
102	COG_CATEGORY	F	F	0
103	COG_FUNCTION	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase	1.3e-190
103	COG_CATEGORY	E	E	0
104	COG_FUNCTION	COG1674	DNA segregation ATPase FtsK/SpoIIIE and related proteins	0
104	COG_CATEGORY	D	D	0
105	COG_FUNCTION	COG2834	Outer membrane lipoprotein-sorting protein	3.9e-67
105	COG_CATEGORY	M	M	0
