gene_callers_id	source	accession	function	e_value
6	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	2.3e-17
6	COG_CATEGORY	X	X	0
7	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	1.2e-30
7	COG_CATEGORY	X	X	0
10	COG_FUNCTION	COG3311	Predicted DNA-binding transcriptional regulator AlpA	2e-09
10	COG_CATEGORY	X!!!K	X!!!K	0
12	COG_FUNCTION	COG3311	Predicted DNA-binding transcriptional regulator AlpA	3.2e-12
12	COG_CATEGORY	X!!!K	X!!!K	0
13	COG_FUNCTION	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	5.1e-139
13	COG_CATEGORY	R	R	0
14	COG_FUNCTION	COG0666	Ankyrin repeat	5.8e-279
14	COG_CATEGORY	T	T	0
17	COG_FUNCTION	COG1196	Chromosome segregation ATPase	3.6e-72
17	COG_CATEGORY	D	D	0
20	COG_FUNCTION	COG2189	Adenine specific DNA methylase Mod	1.4e-148
20	COG_CATEGORY	L	L	0
21	COG_FUNCTION	COG1061	Superfamily II DNA or RNA helicase	8.6e-171
21	COG_CATEGORY	L!!!K	L!!!K	0
22	COG_FUNCTION	COG0419	DNA repair exonuclease SbcCD ATPase subunit	1.7e-44
22	COG_CATEGORY	L	L	0
24	COG_FUNCTION	COG5377	Phage-related protein, predicted endonuclease	1.2e-181
24	COG_CATEGORY	X	X	0
27	COG_FUNCTION	COG3910	Predicted ATPase	3.3e-109
27	COG_CATEGORY	R	R	0
30	COG_FUNCTION	COG1292	Choline-glycine betaine transporter	3.5e-06
30	COG_CATEGORY	M	M	0
31	COG_FUNCTION	COG0421	Spermidine synthase	6.3e-110
31	COG_CATEGORY	E	E	0
32	COG_FUNCTION	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	8.4e-110
32	COG_CATEGORY	C	C	0
33	COG_FUNCTION	COG0589!!!COG0589	Nucleotide-binding universal stress protein,  UspA family!!!Nucleotide-binding universal stress protein,  UspA family	2.9e-107
33	COG_CATEGORY	T	T	0
34	COG_FUNCTION	COG0659	Sulfate permease or related transporter, MFS superfamily	1.1e-236
34	COG_CATEGORY	P	P	0
35	COG_FUNCTION	COG2203!!!COG2203!!!COG5001	GAF domain!!!GAF domain!!!Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	2.8e-282
35	COG_CATEGORY	T	T	0
37	COG_FUNCTION	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	3.9e-98
37	COG_CATEGORY	J	J	0
38	COG_FUNCTION	COG0271	Stress-induced morphogen (activity unknown)	2.5e-38
38	COG_CATEGORY	T	T	0
39	COG_FUNCTION	COG0550!!!COG0551	DNA topoisomerase IA!!!ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	1.2e-290
39	COG_CATEGORY	L	L	0
40	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	2.7e-109
40	COG_CATEGORY	K!!!T	K!!!T	0
41	COG_FUNCTION	COG4254	Uncharacterized conserved protein, contains LysM and FecR  domains	7.1e-200
41	COG_CATEGORY	R	R	0
42	COG_FUNCTION	COG4252!!!COG5002	Extracellular (periplasmic) sensor domain CHASE2 (specificity unknown)!!!Signal transduction histidine kinase	1.3e-304
42	COG_CATEGORY	T	T	0
44	COG_FUNCTION	COG0164	Ribonuclease HII	9.8e-95
44	COG_CATEGORY	L	L	0
45	COG_FUNCTION	COG0763	Lipid A disaccharide synthetase	6e-169
45	COG_CATEGORY	M	M	0
46	COG_FUNCTION	COG1043	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase	1.4e-87
46	COG_CATEGORY	M	M	0
47	COG_FUNCTION	COG0764	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	5.8e-64
47	COG_CATEGORY	I	I	0
48	COG_FUNCTION	COG1044	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	4.1e-76
48	COG_CATEGORY	M	M	0
49	COG_FUNCTION	COG2825	Periplasmic chaperone for outer membrane proteins, Skp family	4.7e-54
49	COG_CATEGORY	M!!!O	M!!!O	0
50	COG_FUNCTION	COG4775	Outer membrane protein assembly factor BamA	0
50	COG_CATEGORY	M	M	0
51	COG_FUNCTION	COG0750	Membrane-associated protease RseP, regulator of RpoE activity	6.1e-197
51	COG_CATEGORY	O!!!K	O!!!K	0
52	COG_FUNCTION	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase	8.5e-174
52	COG_CATEGORY	I	I	0
53	COG_FUNCTION	COG4589	Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase	3.1e-128
53	COG_CATEGORY	R	R	0
54	COG_FUNCTION	COG0020	Undecaprenyl pyrophosphate synthase	1.6e-117
54	COG_CATEGORY	I	I	0
55	COG_FUNCTION	COG0233	Ribosome recycling factor	5.4e-83
55	COG_CATEGORY	J	J	0
56	COG_FUNCTION	COG0528	Uridylate kinase	1.7e-124
56	COG_CATEGORY	F	F	0
57	COG_FUNCTION	COG0264	Translation elongation factor EF-Ts	6.2e-134
57	COG_CATEGORY	J	J	0
58	COG_FUNCTION	COG0052	Ribosomal protein S2	1.8e-126
58	COG_CATEGORY	J	J	0
59	COG_FUNCTION	COG0024	Methionine aminopeptidase	1e-140
59	COG_CATEGORY	J	J	0
60	COG_FUNCTION	COG2844	UTP:GlnB (protein PII) uridylyltransferase	0
60	COG_CATEGORY	O!!!T	O!!!T	0
61	COG_FUNCTION	COG0436	Aspartate/methionine/tyrosine aminotransferase	4.6e-204
61	COG_CATEGORY	E	E	0
62	COG_FUNCTION	COG1393	Arsenate reductase and related proteins, glutaredoxin family	3e-44
62	COG_CATEGORY	P	P	0
63	COG_FUNCTION	COG2171	Tetrahydrodipicolinate N-succinyltransferase	7.2e-166
63	COG_CATEGORY	E	E	0
64	COG_FUNCTION	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	5.4e-194
64	COG_CATEGORY	E	E	0
