gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG2223	Nitrate/nitrite transporter NarK	3.9e-78
1	COG_CATEGORY	P	P	0
2	COG_FUNCTION	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	2e-93
2	COG_CATEGORY	E!!!K	E!!!K	0
3	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1.4e-24
3	COG_CATEGORY	K	K	0
4	COG_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein	4.3e-42
4	COG_CATEGORY	E	E	0
5	COG_FUNCTION	COG1670	Protein N-acetyltransferase, RimJ/RimL family	1.7e-45
5	COG_CATEGORY	J!!!O	J!!!O	0
6	COG_FUNCTION	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	2.1e-35
6	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	5.5e-29
8	COG_CATEGORY	G	G	0
9	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1.6e-36
9	COG_CATEGORY	K	K	0
10	COG_FUNCTION	COG3448	CBS-domain-containing membrane protein	3.2e-47
10	COG_CATEGORY	T	T	0
11	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	1.5e-51
11	COG_CATEGORY	K	K	0
12	COG_FUNCTION	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family	2e-46
12	COG_CATEGORY	F	F	0
13	COG_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein	1.1e-97
13	COG_CATEGORY	E	E	0
14	COG_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase	1.4e-57
14	COG_CATEGORY	H	H	0
15	COG_FUNCTION	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	6.1e-77
15	COG_CATEGORY	N	N	0
16	COG_FUNCTION	COG0603	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	4.5e-123
16	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG4928	Predicted P-loop ATPase, KAP-like	2.6e-164
18	COG_CATEGORY	R	R	0
21	COG_FUNCTION	COG3677	Transposase	1.4e-19
21	COG_CATEGORY	X	X	0
22	COG_FUNCTION	COG2842	Bacteriophage DNA transposition protein, AAA+ family ATPase	1.2e-162
22	COG_CATEGORY	X	X	0
23	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	4.6e-204
23	COG_CATEGORY	X	X	0
25	COG_FUNCTION	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	0
25	COG_CATEGORY	M	M	0
26	COG_FUNCTION	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	2.6e-131
26	COG_CATEGORY	M	M	0
27	COG_FUNCTION	COG0355	FoF1-type ATP synthase, epsilon subunit	5.4e-59
27	COG_CATEGORY	C	C	0
28	COG_FUNCTION	COG0055	FoF1-type ATP synthase, beta subunit	6.4e-250
28	COG_CATEGORY	C	C	0
29	COG_FUNCTION	COG0224	FoF1-type ATP synthase, gamma subunit	5e-136
29	COG_CATEGORY	C	C	0
30	COG_FUNCTION	COG0056	FoF1-type ATP synthase, alpha subunit	3.3e-271
30	COG_CATEGORY	C	C	0
31	COG_FUNCTION	COG0712	FoF1-type ATP synthase, delta subunit	8.4e-49
31	COG_CATEGORY	C	C	0
32	COG_FUNCTION	COG0711	FoF1-type ATP synthase, membrane subunit b or b'	6.7e-18
32	COG_CATEGORY	C	C	0
34	COG_FUNCTION	COG0356	FoF1-type ATP synthase, membrane subunit a	4.7e-118
34	COG_CATEGORY	C	C	0
35	COG_FUNCTION	COG3312	FoF1-type ATP synthase assembly protein I	3.5e-12
35	COG_CATEGORY	C	C	0
36	COG_FUNCTION	COG1475	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	2.1e-134
36	COG_CATEGORY	D	D	0
37	COG_FUNCTION	COG1192	Cellulose biosynthesis protein BcsQ	2.9e-130
37	COG_CATEGORY	N	N	0
38	COG_FUNCTION	COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	7.3e-95
38	COG_CATEGORY	J	J	0
39	COG_FUNCTION	COG0445	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA	0
39	COG_CATEGORY	J	J	0
40	COG_FUNCTION	COG0841	Multidrug efflux pump subunit AcrB	0
40	COG_CATEGORY	V	V	0
41	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	2.8e-131
41	COG_CATEGORY	V!!!M	V!!!M	0
43	COG_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	2.7e-151
43	COG_CATEGORY	Q	Q	0
45	COG_FUNCTION	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	5.4e-129
45	COG_CATEGORY	P	P	0
46	COG_FUNCTION	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	2.3e-130
46	COG_CATEGORY	P	P	0
47	COG_FUNCTION	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	2.5e-177
47	COG_CATEGORY	P	P	0
48	COG_FUNCTION	COG0439!!!COG0511!!!COG1984!!!COG2049	Biotin carboxylase!!!Biotin carboxyl carrier protein!!!Allophanate hydrolase subunit 2!!!Allophanate hydrolase subunit 1	0
48	COG_CATEGORY	H!!!E!!!I	H!!!E!!!I	0
49	COG_FUNCTION	COG3665	Uncharacterized conserved protein YcgI, DUF1989 family	3.8e-117
49	COG_CATEGORY	S	S	0
50	COG_FUNCTION	COG3665	Uncharacterized conserved protein YcgI, DUF1989 family	2.7e-114
50	COG_CATEGORY	S	S	0
51	COG_FUNCTION	COG3549	Plasmid maintenance system killer protein	2.4e-42
51	COG_CATEGORY	V	V	0
52	COG_FUNCTION	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	9.8e-45
52	COG_CATEGORY	V	V	0
54	COG_FUNCTION	COG1697	DNA topoisomerase VI, subunit A	1.2e-34
54	COG_CATEGORY	L	L	0
55	COG_FUNCTION	COG1196	Chromosome segregation ATPase	2.8e-129
55	COG_CATEGORY	D	D	0
63	COG_FUNCTION	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	4.7e-67
63	COG_CATEGORY	L	L	0
67	COG_FUNCTION	COG1451	Predicted metal-dependent hydrolase	6.9e-75
67	COG_CATEGORY	R	R	0
68	COG_FUNCTION	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	6e-198
68	COG_CATEGORY	V	V	0
69	COG_FUNCTION	COG2110	O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain	3.8e-141
69	COG_CATEGORY	J	J	0
70	COG_FUNCTION	COG4948	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	1.2e-65
70	COG_CATEGORY	R!!!M	R!!!M	0
72	COG_FUNCTION	COG0732!!!COG0732	Restriction endonuclease S subunit!!!Restriction endonuclease S subunit	6.8e-60
72	COG_CATEGORY	V	V	0
73	COG_FUNCTION	COG0286	Type I restriction-modification system, DNA methylase subunit	3.1e-171
73	COG_CATEGORY	V	V	0
74	COG_FUNCTION	COG2378	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains	1.1e-64
74	COG_CATEGORY	K	K	0
77	COG_FUNCTION	COG5519	Uncharcterized protein, DUF927 family	1.9e-59
77	COG_CATEGORY	S	S	0
78	COG_FUNCTION	COG3311	Predicted DNA-binding transcriptional regulator AlpA	2.4e-12
78	COG_CATEGORY	K!!!X	K!!!X	0
79	COG_FUNCTION	COG0582	Integrase	2.8e-76
79	COG_CATEGORY	L!!!X	L!!!X	0
80	COG_FUNCTION	COG0486	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	2.8e-226
80	COG_CATEGORY	J	J	0
81	COG_FUNCTION	COG0706	Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins	1.2e-247
81	COG_CATEGORY	M	M	0
82	COG_FUNCTION	COG0759	Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ	9.6e-23
82	COG_CATEGORY	M	M	0
83	COG_FUNCTION	COG0594	RNase P protein component	7.5e-50
