gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	9.3e-09
1	COG_CATEGORY	J	J	0
2	COG_FUNCTION	COG0690	Preprotein translocase subunit SecE	8.6e-53
2	COG_CATEGORY	U	U	0
3	COG_FUNCTION	COG0250	Transcription antitermination factor NusG	1.3e-86
3	COG_CATEGORY	K	K	0
4	COG_FUNCTION	COG0080	Ribosomal protein L11	2.5e-72
4	COG_CATEGORY	J	J	0
5	COG_FUNCTION	COG0081	Ribosomal protein L1	2.6e-119
5	COG_CATEGORY	J	J	0
6	COG_FUNCTION	COG0244	Ribosomal protein L10	1.4e-80
6	COG_CATEGORY	J	J	0
7	COG_FUNCTION	COG0222	Ribosomal protein L7/L12	3.7e-35
7	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG0085!!!COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit!!!DNA-directed RNA polymerase, beta subunit/140 kD subunit	0
8	COG_CATEGORY	K	K	0
9	COG_FUNCTION	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	0
9	COG_CATEGORY	K	K	0
10	COG_FUNCTION	COG0048	Ribosomal protein S12	4.6e-62
10	COG_CATEGORY	J	J	0
11	COG_FUNCTION	COG0049	Ribosomal protein S7	1.2e-78
11	COG_CATEGORY	J	J	0
12	COG_FUNCTION	COG0480	Translation elongation factor EF-G, a GTPase	0
12	COG_CATEGORY	J	J	0
13	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	1.6e-13
13	COG_CATEGORY	J	J	0
14	COG_FUNCTION	COG2205	K+-sensing histidine kinase KdpD	4e-112
14	COG_CATEGORY	T	T	0
15	COG_FUNCTION	COG0457!!!COG0784	Tetratricopeptide (TPR) repeat!!!CheY chemotaxis protein or a CheY-like REC (receiver) domain	3.4e-258
15	COG_CATEGORY	R!!!T	R!!!T	0
16	COG_FUNCTION	COG0591!!!COG0784!!!COG2205	Na+/proline symporter!!!CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!K+-sensing histidine kinase KdpD	0
16	COG_CATEGORY	T!!!E	T!!!E	0
18	COG_FUNCTION	COG4147	Na+(or H+)/acetate symporter ActP	5.9e-301
18	COG_CATEGORY	C	C	0
19	COG_FUNCTION	COG4327	Uncharacterized membrane protein	3e-44
19	COG_CATEGORY	S	S	0
20	COG_FUNCTION	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	1.6e-119
20	COG_CATEGORY	L	L	0
21	COG_FUNCTION	COG2905	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	0
21	COG_CATEGORY	T	T	0
22	COG_FUNCTION	COG2840	DNA-nicking endonuclease, Smr domain	4e-103
22	COG_CATEGORY	L	L	0
24	COG_FUNCTION	COG2080	Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	6.1e-75
24	COG_CATEGORY	C	C	0
25	COG_FUNCTION	COG1529!!!COG1529	CO or xanthine dehydrogenase, Mo-binding subunit!!!CO or xanthine dehydrogenase, Mo-binding subunit	0
25	COG_CATEGORY	C	C	0
26	COG_FUNCTION	COG1975	Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	4.8e-125
26	COG_CATEGORY	O	O	0
27	COG_FUNCTION	COG0235	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase	9.3e-108
27	COG_CATEGORY	G	G	0
28	COG_FUNCTION	COG1791	Acireductone dioxygenase (methionine salvage), cupin superfamily	4.2e-91
28	COG_CATEGORY	E	E	0
29	COG_FUNCTION	COG4229	Enolase-phosphatase E1 involved in merthionine salvage	7.4e-114
29	COG_CATEGORY	E	E	0
31	COG_FUNCTION	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	0
31	COG_CATEGORY	W!!!U!!!N	W!!!U!!!N	0
32	COG_FUNCTION	COG3308	Uncharacterized membrane protein	4.4e-46
32	COG_CATEGORY	S	S	0
33	COG_FUNCTION	COG0655	Multimeric flavodoxin WrbA	7.9e-96
33	COG_CATEGORY	C	C	0
34	COG_FUNCTION	COG1393	Arsenate reductase and related proteins, glutaredoxin family	6.7e-47
34	COG_CATEGORY	P	P	0
35	COG_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin	2.7e-65
35	COG_CATEGORY	O	O	0
36	COG_FUNCTION	COG0587	DNA polymerase III, alpha subunit	0
36	COG_CATEGORY	L	L	0
37	COG_FUNCTION	COG0825	Acetyl-CoA carboxylase alpha subunit	1.5e-173
37	COG_CATEGORY	I	I	0
38	COG_FUNCTION	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	1.2e-184
38	COG_CATEGORY	J	J	0
39	COG_FUNCTION	COG0504	CTP synthase (UTP-ammonia lyase)	1.8e-307
39	COG_CATEGORY	F	F	0
