gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0593	Chromosomal replication initiation ATPase DnaA	2.8e-248
0	COG_CATEGORY	L	L	0
1	COG_FUNCTION	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	2.5e-188
1	COG_CATEGORY	L	L	0
2	COG_FUNCTION	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	5e-225
2	COG_CATEGORY	T!!!H	T!!!H	0
3	COG_FUNCTION	COG1195	Recombinational DNA repair ATPase RecF	2.8e-163
3	COG_CATEGORY	L	L	0
4	COG_FUNCTION	COG0187!!!COG0187	DNA gyrase/topoisomerase IV, subunit B!!!DNA gyrase/topoisomerase IV, subunit B	0
4	COG_CATEGORY	L	L	0
6	COG_FUNCTION	COG0160	4-aminobutyrate aminotransferase or related aminotransferase	8.8e-222
6	COG_CATEGORY	E	E	0
7	COG_FUNCTION	COG1132	ABC-type multidrug transport system, ATPase and permease component	7.9e-245
7	COG_CATEGORY	V	V	0
8	COG_FUNCTION	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	2.3e-284
8	COG_CATEGORY	O	O	0
9	COG_FUNCTION	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	0
9	COG_CATEGORY	L	L	0
10	COG_FUNCTION	COG1074	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	0
10	COG_CATEGORY	L	L	0
11	COG_FUNCTION	COG1330	Exonuclease V gamma subunit	0
11	COG_CATEGORY	L	L	0
15	COG_FUNCTION	COG1199	Rad3-related DNA helicase	0
15	COG_CATEGORY	L	L	0
17	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	3.6e-53
17	COG_CATEGORY	V!!!M	V!!!M	0
18	COG_FUNCTION	COG0842!!!COG1129	ABC-type multidrug transport system, permease component!!!ABC-type sugar transport system, ATPase component	0
18	COG_CATEGORY	V!!!G	V!!!G	0
19	COG_FUNCTION	COG0842	ABC-type multidrug transport system, permease component	1.1e-122
19	COG_CATEGORY	V	V	0
20	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	1.1e-55
20	COG_CATEGORY	Q	Q	0
21	COG_FUNCTION	COG3040	Bacterial lipocalin	3.6e-65
21	COG_CATEGORY	M	M	0
22	COG_FUNCTION	COG0168	Trk-type K+ transport system, membrane component	2.3e-157
22	COG_CATEGORY	P	P	0
23	COG_FUNCTION	COG0751	Glycyl-tRNA synthetase, beta subunit	0
23	COG_CATEGORY	J	J	0
24	COG_FUNCTION	COG0752	Glycyl-tRNA synthetase, alpha subunit	1.6e-184
24	COG_CATEGORY	J	J	0
25	COG_FUNCTION	COG0569!!!COG0569	Trk K+ transport system, NAD-binding component!!!Trk K+ transport system, NAD-binding component	3.4e-227
25	COG_CATEGORY	P	P	0
26	COG_FUNCTION	COG0144!!!COG0781	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family!!!Transcription termination factor NusB	2.6e-213
26	COG_CATEGORY	K!!!J	K!!!J	0
27	COG_FUNCTION	COG0223	Methionyl-tRNA formyltransferase	6.6e-134
27	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG0242	Peptide deformylase	1.8e-77
28	COG_CATEGORY	J	J	0
29	COG_FUNCTION	COG1652	Nucleoid-associated protein YgaU, contains BON and LysM domains	2.1e-173
29	COG_CATEGORY	S	S	0
30	COG_FUNCTION	COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	7.3e-133
30	COG_CATEGORY	L	L	0
31	COG_FUNCTION	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	1.4e-86
31	COG_CATEGORY	J	J	0
32	COG_FUNCTION	COG0408	Coproporphyrinogen III oxidase	6.6e-134
32	COG_CATEGORY	H	H	0
33	COG_FUNCTION	COG0169	Shikimate 5-dehydrogenase	2.8e-112
33	COG_CATEGORY	E	E	0
34	COG_FUNCTION	COG1291	Flagellar motor component MotA	5.9e-112
34	COG_CATEGORY	N	N	0
35	COG_FUNCTION	COG1360	Flagellar motor protein MotB	6.6e-117
35	COG_CATEGORY	N	N	0
37	COG_FUNCTION	COG0663	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	4.3e-69
37	COG_CATEGORY	R	R	0
38	COG_FUNCTION	COG0339	Zn-dependent oligopeptidase	0
38	COG_CATEGORY	E	E	0
39	COG_FUNCTION	COG3529	Predicted nucleic-acid-binding protein, contains Zn-ribbon domain	8.2e-23
39	COG_CATEGORY	R	R	0
40	COG_FUNCTION	COG2056	Predicted histidine transporter YuiF, NhaC family	4.2e-174
40	COG_CATEGORY	E	E	0
41	COG_FUNCTION	COG4728	Uncharacterized protein	1.4e-29
41	COG_CATEGORY	S	S	0
42	COG_FUNCTION	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	1.1e-225
42	COG_CATEGORY	T!!!K	T!!!K	0
43	COG_FUNCTION	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	9.6e-55
43	COG_CATEGORY	S	S	0
45	COG_FUNCTION	COG0534	Na+-driven multidrug efflux pump	4.5e-216
45	COG_CATEGORY	V	V	0
46	COG_FUNCTION	COG1622!!!COG2010	Heme/copper-type cytochrome/quinol oxidase, subunit 2!!!Cytochrome c, mono- and diheme variants	1.9e-196
46	COG_CATEGORY	C	C	0
47	COG_FUNCTION	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	8.5e-299
47	COG_CATEGORY	C	C	0
48	COG_FUNCTION	COG3175	Cytochrome c oxidase assembly protein Cox11	1.2e-80
48	COG_CATEGORY	C!!!O	C!!!O	0
49	COG_FUNCTION	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	2.7e-137
49	COG_CATEGORY	C	C	0
51	COG_FUNCTION	COG3346	Cytochrome oxidase assembly protein ShyY1	3.9e-60
51	COG_CATEGORY	O	O	0
52	COG_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	3.8e-16
52	COG_CATEGORY	O	O	0
53	COG_FUNCTION	COG1612	Heme A synthase	1e-85
53	COG_CATEGORY	H	H	0
54	COG_FUNCTION	COG0109	Polyprenyltransferase (heme O synthase)	1.4e-149
54	COG_CATEGORY	I!!!H	I!!!H	0
55	COG_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	1.4e-98
55	COG_CATEGORY	O	O	0
56	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	1.6e-100
56	COG_CATEGORY	G	G	0
57	COG_FUNCTION	COG1643	HrpA-like RNA helicase	0
57	COG_CATEGORY	J	J	0
58	COG_FUNCTION	COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	1.3e-38
58	COG_CATEGORY	J	J	0
60	COG_FUNCTION	COG0189	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	3.1e-135
60	COG_CATEGORY	J!!!H	J!!!H	0
61	COG_FUNCTION	COG0019	Diaminopimelate decarboxylase	5.8e-220
61	COG_CATEGORY	E	E	0
62	COG_FUNCTION	COG2807	Cyanate permease	6.2e-177
62	COG_CATEGORY	P	P	0
63	COG_FUNCTION	COG1917	Cupin domain protein related to quercetin dioxygenase	2.3e-40
63	COG_CATEGORY	R	R	0
