gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG1292	Choline-glycine betaine transporter	6.9e-13
0	COG_CATEGORY	M	M	0
1	COG_FUNCTION	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	1.9e-118
1	COG_CATEGORY	I	I	0
3	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	3.9e-80
3	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
4	COG_FUNCTION	COG1020	Non-ribosomal peptide synthetase component F	2.4e-212
4	COG_CATEGORY	Q	Q	0
5	COG_FUNCTION	COG0691	tmRNA-binding protein	1.7e-76
5	COG_CATEGORY	O	O	0
6	COG_FUNCTION	COG0733	Na+-dependent transporter, SNF family	2.1e-191
6	COG_CATEGORY	R	R	0
7	COG_FUNCTION	COG2867	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	6.9e-73
7	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily	6.2e-38
8	COG_CATEGORY	V	V	0
9	COG_FUNCTION	COG2913	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex	1.6e-47
9	COG_CATEGORY	M	M	0
10	COG_FUNCTION	COG0735	Fe2+ or Zn2+ uptake regulation protein	6.8e-67
10	COG_CATEGORY	P	P	0
11	COG_FUNCTION	COG0497	DNA repair ATPase RecN	5.3e-259
11	COG_CATEGORY	L	L	0
12	COG_FUNCTION	COG0576	Molecular chaperone GrpE (heat shock protein)	1.3e-61
12	COG_CATEGORY	O	O	0
13	COG_FUNCTION	COG0443	Molecular chaperone DnaK (HSP70)	0
13	COG_CATEGORY	O	O	0
14	COG_FUNCTION	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	1.8e-178
14	COG_CATEGORY	O	O	0
15	COG_FUNCTION	COG0289	Dihydrodipicolinate reductase	2.4e-140
15	COG_CATEGORY	E	E	0
16	COG_FUNCTION	COG0505	Carbamoylphosphate synthase small subunit	4.2e-191
16	COG_CATEGORY	F!!!E	F!!!E	0
17	COG_FUNCTION	COG0458	Carbamoylphosphate synthase large subunit	0
17	COG_CATEGORY	F!!!E	F!!!E	0
18	COG_FUNCTION	COG0782	Transcription elongation factor, GreA/GreB family	1.9e-70
18	COG_CATEGORY	K	K	0
19	COG_FUNCTION	COG1534	RNA-binding protein YhbY	1e-43
19	COG_CATEGORY	J	J	0
20	COG_FUNCTION	COG0465	ATP-dependent Zn proteases	0
20	COG_CATEGORY	O	O	0
21	COG_FUNCTION	COG0294	Dihydropteroate synthase	1.5e-117
21	COG_CATEGORY	H	H	0
22	COG_FUNCTION	COG1109	Phosphomannomutase	4.3e-227
22	COG_CATEGORY	G	G	0
23	COG_FUNCTION	COG0149	Triosephosphate isomerase	1.6e-104
23	COG_CATEGORY	G	G	0
24	COG_FUNCTION	COG1314	Preprotein translocase subunit SecG	1.2e-43
24	COG_CATEGORY	U	U	0
25	COG_FUNCTION	COG0779	Ribosome maturation factor RimP	1.6e-77
25	COG_CATEGORY	J	J	0
26	COG_FUNCTION	COG0195!!!COG2251	Transcription antitermination factor NusA, contains S1 and KH domains!!!Predicted nuclease, RecB family	2.1e-259
26	COG_CATEGORY	R!!!K	R!!!K	0
