gene_callers_id	source	accession	function	e_value
3	COG_FUNCTION	COG3385	IS4 transposase	1.6e-88
3	COG_CATEGORY	X	X	0
6	COG_FUNCTION	COG2129	Predicted phosphoesterase, related to the Icc protein	6.7e-72
6	COG_CATEGORY	R	R	0
11	COG_FUNCTION	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	1.7e-44
11	COG_CATEGORY	K!!!T	K!!!T	0
12	COG_FUNCTION	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	5.2e-128
12	COG_CATEGORY	L	L	0
16	COG_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	1.6e-28
16	COG_CATEGORY	E!!!T	E!!!T	0
17	COG_FUNCTION	COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	2.5e-190
17	COG_CATEGORY	F	F	0
18	COG_FUNCTION	COG0209	Ribonucleotide reductase alpha subunit	0
18	COG_CATEGORY	F	F	0
20	COG_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	3.3e-84
20	COG_CATEGORY	E!!!T	E!!!T	0
21	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.3e-195
21	COG_CATEGORY	I	I	0
23	COG_FUNCTION	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	0
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	2.1e-149
24	COG_CATEGORY	M	M	0
25	COG_FUNCTION	COG0355	FoF1-type ATP synthase, epsilon subunit	4.6e-58
25	COG_CATEGORY	C	C	0
26	COG_FUNCTION	COG0055	FoF1-type ATP synthase, beta subunit	6e-248
26	COG_CATEGORY	C	C	0
27	COG_FUNCTION	COG0224	FoF1-type ATP synthase, gamma subunit	6.1e-134
27	COG_CATEGORY	C	C	0
28	COG_FUNCTION	COG0056	FoF1-type ATP synthase, alpha subunit	4.7e-270
28	COG_CATEGORY	C	C	0
29	COG_FUNCTION	COG0712	FoF1-type ATP synthase, delta subunit	4e-51
29	COG_CATEGORY	C	C	0
30	COG_FUNCTION	COG0711	FoF1-type ATP synthase, membrane subunit b or b'	1.5e-17
30	COG_CATEGORY	C	C	0
32	COG_FUNCTION	COG0356	FoF1-type ATP synthase, membrane subunit a	1.3e-115
32	COG_CATEGORY	C	C	0
33	COG_FUNCTION	COG3312	FoF1-type ATP synthase assembly protein I	1e-11
33	COG_CATEGORY	C	C	0
34	COG_FUNCTION	COG1475	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	8.7e-136
34	COG_CATEGORY	D	D	0
35	COG_FUNCTION	COG1192	Cellulose biosynthesis protein BcsQ	1.6e-133
35	COG_CATEGORY	N	N	0
36	COG_FUNCTION	COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	3.1e-98
36	COG_CATEGORY	J	J	0
37	COG_FUNCTION	COG0445	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA	0
37	COG_CATEGORY	J	J	0
38	COG_FUNCTION	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	4e-105
38	COG_CATEGORY	I	I	0
39	COG_FUNCTION	COG0841	Multidrug efflux pump subunit AcrB	0
39	COG_CATEGORY	V	V	0
40	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	1.2e-142
40	COG_CATEGORY	M!!!V	M!!!V	0
42	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	0
42	COG_CATEGORY	I	I	0
