gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	1.5e-184
0	COG_CATEGORY	I	I	0
1	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.1e-223
1	COG_CATEGORY	I	I	0
2	COG_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family	6.7e-60
2	COG_CATEGORY	K	K	0
3	COG_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	2.6e-175
3	COG_CATEGORY	C!!!R	C!!!R	0
4	COG_FUNCTION	COG0183	Acetyl-CoA acetyltransferase	5.7e-215
4	COG_CATEGORY	I	I	0
5	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	4.4e-121
5	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
8	COG_FUNCTION	COG4447	Uncharacterized protein related to plant photosystem II stability/assembly factor	1.3e-224
8	COG_CATEGORY	R	R	0
9	COG_FUNCTION	COG1033!!!COG1033	Predicted exporter protein, RND superfamily!!!Predicted exporter protein, RND superfamily	0
9	COG_CATEGORY	R	R	0
10	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	1.2e-141
10	COG_CATEGORY	Q	Q	0
11	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	1.2e-147
11	COG_CATEGORY	I	I	0
12	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	4.5e-130
12	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
13	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	9.8e-105
13	COG_CATEGORY	K	K	0
14	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	1.2e-117
14	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
15	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	4.5e-34
15	COG_CATEGORY	Q	Q	0
16	COG_FUNCTION	COG1233	Phytoene dehydrogenase-related protein	0
16	COG_CATEGORY	Q	Q	0
17	COG_FUNCTION	COG2124	Cytochrome P450	5.1e-246
17	COG_CATEGORY	Q!!!V	Q!!!V	0
19	COG_FUNCTION	COG0589	Nucleotide-binding universal stress protein,  UspA family	1.6e-42
19	COG_CATEGORY	T	T	0
20	COG_FUNCTION	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	1.9e-286
20	COG_CATEGORY	R!!!P	R!!!P	0
21	COG_FUNCTION	COG5517	3-phenylpropionate/cinnamic acid dioxygenase, small subunit	1.9e-107
21	COG_CATEGORY	Q	Q	0
24	COG_FUNCTION	COG2518	Protein-L-isoaspartate O-methyltransferase	5.5e-07
24	COG_CATEGORY	O	O	0
25	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	4.7e-217
25	COG_CATEGORY	G	G	0
26	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	3.6e-38
26	COG_CATEGORY	Q	Q	0
27	COG_FUNCTION	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	4.7e-236
27	COG_CATEGORY	I	I	0
28	COG_FUNCTION	COG0633	Ferredoxin	8.9e-30
28	COG_CATEGORY	C	C	0
29	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	1.3e-233
29	COG_CATEGORY	G	G	0
30	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	3.1e-219
30	COG_CATEGORY	N!!!T	N!!!T	0
31	COG_FUNCTION	COG1141	Ferredoxin	2.2e-16
31	COG_CATEGORY	C	C	0
32	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	7.5e-136
32	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
33	COG_FUNCTION	COG0346!!!COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme!!!Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	2.6e-194
33	COG_CATEGORY	Q	Q	0
34	COG_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	2.2e-171
34	COG_CATEGORY	Q	Q	0
35	COG_FUNCTION	COG1414	DNA-binding transcriptional regulator, IclR family	3.3e-142
35	COG_CATEGORY	K	K	0
36	COG_FUNCTION	COG0183	Acetyl-CoA acetyltransferase	7.2e-234
36	COG_CATEGORY	I	I	0
37	COG_FUNCTION	COG1545	Uncharacterized OB-fold protein, contains Zn-ribbon domain	4.7e-41
37	COG_CATEGORY	R	R	0
38	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	2.6e-119
38	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
39	COG_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	1.5e-189
39	COG_CATEGORY	Q	Q	0
40	COG_FUNCTION	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	5.1e-271
40	COG_CATEGORY	R!!!P	R!!!P	0
41	COG_FUNCTION	COG5517	3-phenylpropionate/cinnamic acid dioxygenase, small subunit	3.3e-48
41	COG_CATEGORY	Q	Q	0
43	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	6.7e-151
43	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
44	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	0
44	COG_CATEGORY	Q!!!I	Q!!!I	0
45	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	6.3e-121
45	COG_CATEGORY	K	K	0
46	COG_FUNCTION	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	2.8e-221
46	COG_CATEGORY	R	R	0
47	COG_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	3.9e-165
47	COG_CATEGORY	Q	Q	0
48	COG_FUNCTION	COG1250	3-hydroxyacyl-CoA dehydrogenase	6.4e-166
48	COG_CATEGORY	I	I	0
49	COG_FUNCTION	COG0183	Acetyl-CoA acetyltransferase	1.2e-217
49	COG_CATEGORY	I	I	0
50	COG_FUNCTION	COG2128	Alkylhydroperoxidase family enzyme, contains CxxC motif	1.9e-58
50	COG_CATEGORY	P	P	0
51	COG_FUNCTION	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	2.1e-55
51	COG_CATEGORY	I!!!V	I!!!V	0
52	COG_FUNCTION	COG2124	Cytochrome P450	5.3e-243
52	COG_CATEGORY	Q!!!V	Q!!!V	0
53	COG_FUNCTION	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	2.3e-273
53	COG_CATEGORY	R	R	0
54	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	2.8e-219
54	COG_CATEGORY	I	I	0
55	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.8e-191
55	COG_CATEGORY	I	I	0
56	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	1.3e-149
56	COG_CATEGORY	I	I	0
57	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	3.2e-215
57	COG_CATEGORY	I	I	0
58	COG_FUNCTION	COG4564	Signal transduction histidine kinase	8.8e-51
58	COG_CATEGORY	T	T	0
59	COG_FUNCTION	COG0302	GTP cyclohydrolase I	6.9e-111
59	COG_CATEGORY	H	H	0
60	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	8.4e-132
60	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
61	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	3.3e-78
61	COG_CATEGORY	K	K	0
62	COG_FUNCTION	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	8.2e-241
62	COG_CATEGORY	C	C	0
63	COG_FUNCTION	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	4.3e-171
63	COG_CATEGORY	C	C	0
64	COG_FUNCTION	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	1.7e-241
64	COG_CATEGORY	C	C	0
65	COG_FUNCTION	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	1.5e-259
65	COG_CATEGORY	C	C	0
66	COG_FUNCTION	COG3025	Inorganic triphosphatase YgiF, contains CYTH and CHAD domains	2.2e-274
66	COG_CATEGORY	P	P	0
67	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	2.2e-73
67	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
68	COG_FUNCTION	COG3852!!!COG5001	Signal transduction histidine kinase, nitrogen specific!!!Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	0
68	COG_CATEGORY	T	T	0
76	COG_FUNCTION	COG0582	Integrase	0
76	COG_CATEGORY	L!!!X	L!!!X	0
77	COG_FUNCTION	COG0582	Integrase	0
77	COG_CATEGORY	L!!!X	L!!!X	0
80	COG_FUNCTION	COG0582	Integrase	4.1e-237
80	COG_CATEGORY	L!!!X	L!!!X	0
82	COG_FUNCTION	COG3655	DNA-binding transcriptional regulator, XRE family	1.7e-26
82	COG_CATEGORY	K	K	0
84	COG_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	3e-106
84	COG_CATEGORY	O	O	0
86	COG_FUNCTION	COG0785	Cytochrome c biogenesis protein CcdA	3.9e-126
86	COG_CATEGORY	C!!!O	C!!!O	0
