gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0668	Small-conductance mechanosensitive channel	7.8e-75
0	COG_CATEGORY	M	M	0
2	COG_FUNCTION	COG3154	Predicted lipid carrier protein YhbT, SCP2 domain	3.1e-26
2	COG_CATEGORY	I	I	0
3	COG_FUNCTION	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	1.9e-74
3	COG_CATEGORY	K!!!T	K!!!T	0
4	COG_FUNCTION	COG3850	Signal transduction histidine kinase, nitrate/nitrite-specific	4.9e-136
4	COG_CATEGORY	T	T	0
5	COG_FUNCTION	COG2223!!!COG2223	Nitrate/nitrite transporter NarK!!!Nitrate/nitrite transporter NarK	8.3e-47
5	COG_CATEGORY	P	P	0
6	COG_FUNCTION	COG5013	Nitrate reductase alpha subunit	0
6	COG_CATEGORY	P!!!C	P!!!C	0
7	COG_FUNCTION	COG1140	Nitrate reductase beta subunit	8.3e-262
7	COG_CATEGORY	P!!!C	P!!!C	0
8	COG_FUNCTION	COG2180	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor	3.1e-54
8	COG_CATEGORY	P!!!C!!!O	P!!!C!!!O	0
9	COG_FUNCTION	COG2181	Nitrate reductase gamma subunit	2.3e-80
9	COG_CATEGORY	P!!!C	P!!!C	0
10	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	3.5e-59
10	COG_CATEGORY	O	O	0
11	COG_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	1.9e-30
11	COG_CATEGORY	T	T	0
12	COG_FUNCTION	COG4273	Uncharacterized protein, contains metal-binding DGC domain	1.1e-34
12	COG_CATEGORY	S	S	0
14	COG_FUNCTION	COG0348!!!COG3901	Polyferredoxin!!!Regulator of nitric oxide reductase transcription	3.8e-241
14	COG_CATEGORY	K!!!C	K!!!C	0
15	COG_FUNCTION	COG4263	Nitrous oxide reductase	6.6e-306
15	COG_CATEGORY	P	P	0
16	COG_FUNCTION	COG3420	Nitrous oxidase accessory protein NosD, contains tandem CASH domains	1.5e-125
16	COG_CATEGORY	P	P	0
17	COG_FUNCTION	COG1131	ABC-type multidrug transport system, ATPase component	1.7e-84
17	COG_CATEGORY	V	V	0
18	COG_FUNCTION	COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component	5.1e-85
18	COG_CATEGORY	O	O	0
19	COG_FUNCTION	COG4314	Nitrous oxide reductase accessory protein NosL	1.7e-42
19	COG_CATEGORY	P	P	0
21	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	7.2e-74
21	COG_CATEGORY	K	K	0
22	COG_FUNCTION	COG2896	Molybdenum cofactor biosynthesis enzyme MoaA	2.2e-183
22	COG_CATEGORY	H	H	0
23	COG_FUNCTION	COG2846	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains	1.4e-64
23	COG_CATEGORY	O	O	0
25	COG_FUNCTION	COG2832	Uncharacterized membrane protein YbaN, DUF454 family	2.4e-37
25	COG_CATEGORY	S	S	0
26	COG_FUNCTION	COG1959	DNA-binding transcriptional regulator, IscR family	6.8e-73
26	COG_CATEGORY	K	K	0
27	COG_FUNCTION	COG3239	Fatty acid desaturase	1.3e-181
27	COG_CATEGORY	I	I	0
28	COG_FUNCTION	COG1018	Ferredoxin-NADP reductase	3.8e-165
28	COG_CATEGORY	C	C	0
29	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	4.8e-104
29	COG_CATEGORY	K	K	0
