gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	1.4e-50
0	COG_CATEGORY	X	X	0
1	COG_FUNCTION	COG0582	Integrase	1.1e-92
1	COG_CATEGORY	L!!!X	L!!!X	0
3	COG_FUNCTION	COG4771	Outer membrane receptor for ferrienterochelin and colicins	2.2e-201
3	COG_CATEGORY	P	P	0
4	COG_FUNCTION	COG0372	Citrate synthase	1.1e-57
4	COG_CATEGORY	C	C	0
6	COG_FUNCTION	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	6.4e-199
6	COG_CATEGORY	H!!!E	H!!!E	0
7	COG_FUNCTION	COG2200!!!COG3706	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	5.1e-204
7	COG_CATEGORY	K!!!T	K!!!T	0
8	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	9.6e-38
8	COG_CATEGORY	K!!!T	K!!!T	0
9	COG_FUNCTION	COG3850!!!COG4251	Signal transduction histidine kinase, nitrate/nitrite-specific!!!Bacteriophytochrome (light-regulated signal transduction histidine kinase)	2.2e-112
9	COG_CATEGORY	T	T	0
11	COG_FUNCTION	COG4067	Uncharacterized conserved protein	9.8e-94
11	COG_CATEGORY	S	S	0
12	COG_FUNCTION	COG3124	Acyl carrier protein phosphodiesterase	7.5e-88
12	COG_CATEGORY	I	I	0
13	COG_FUNCTION	COG3637	Opacity protein and related surface antigens	3e-94
13	COG_CATEGORY	M	M	0
14	COG_FUNCTION	COG0168	Trk-type K+ transport system, membrane component	3.5e-259
14	COG_CATEGORY	P	P	0
15	COG_FUNCTION	COG0058	Glucan phosphorylase	0
15	COG_CATEGORY	G	G	0
17	COG_FUNCTION	COG1640	4-alpha-glucanotransferase	1.8e-266
17	COG_CATEGORY	G	G	0
18	COG_FUNCTION	COG1449	Alpha-amylase/alpha-mannosidase, GH57 family	0
18	COG_CATEGORY	G	G	0
19	COG_FUNCTION	COG0448	ADP-glucose pyrophosphorylase	1.1e-245
19	COG_CATEGORY	G	G	0
20	COG_FUNCTION	COG0296	1,4-alpha-glucan branching enzyme	0
20	COG_CATEGORY	G	G	0
21	COG_FUNCTION	COG0297	Glycogen synthase	5.5e-276
21	COG_CATEGORY	G	G	0
22	COG_FUNCTION	COG0058	Glucan phosphorylase	0
22	COG_CATEGORY	G	G	0
23	COG_FUNCTION	COG0400	Predicted esterase	1.1e-95
23	COG_CATEGORY	R	R	0
24	COG_FUNCTION	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	8.8e-224
24	COG_CATEGORY	I	I	0
25	COG_FUNCTION	COG0514	Superfamily II DNA helicase RecQ	0
25	COG_CATEGORY	L	L	0
26	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	1.2e-87
26	COG_CATEGORY	Q	Q	0
27	COG_FUNCTION	COG4623	Membrane-bound lytic murein transglycosylase MltF	3.3e-32
27	COG_CATEGORY	M!!!T	M!!!T	0
28	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	9.7e-193
28	COG_CATEGORY	N!!!T	N!!!T	0
29	COG_FUNCTION	COG0388	Predicted amidohydrolase	1e-293
29	COG_CATEGORY	R	R	0
31	COG_FUNCTION	COG3743	 Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain	1.2e-39
31	COG_CATEGORY	L	L	0
32	COG_FUNCTION	COG0709!!!COG1252	Selenophosphate synthase!!!NADH dehydrogenase, FAD-containing subunit	0
32	COG_CATEGORY	C!!!E	C!!!E	0
33	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1.5e-140
33	COG_CATEGORY	M	M	0
34	COG_FUNCTION	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component	4.3e-119
34	COG_CATEGORY	P	P	0
35	COG_FUNCTION	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component	8.8e-101
35	COG_CATEGORY	P	P	0
36	COG_FUNCTION	COG3639!!!COG3639	ABC-type phosphate/phosphonate transport system, permease component!!!ABC-type phosphate/phosphonate transport system, permease component	5.1e-258
36	COG_CATEGORY	P	P	0
40	COG_FUNCTION	COG1131	ABC-type multidrug transport system, ATPase component	5.1e-163
40	COG_CATEGORY	V	V	0
41	COG_FUNCTION	COG0842	ABC-type multidrug transport system, permease component	6.4e-135
41	COG_CATEGORY	V	V	0
42	COG_FUNCTION	COG1430	Uncharacterized conserved membrane protein, UPF0127 family	3.5e-68
42	COG_CATEGORY	S	S	0
43	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	7.8e-128
43	COG_CATEGORY	I	I	0
45	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	1.5e-151
45	COG_CATEGORY	R!!!G!!!E	R!!!G!!!E	0
46	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	5.7e-142
46	COG_CATEGORY	I	I	0
47	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	1.4e-111
47	COG_CATEGORY	H	H	0
48	COG_FUNCTION	COG1271	Cytochrome bd-type quinol oxidase, subunit 1	1.1e-268
48	COG_CATEGORY	C	C	0
49	COG_FUNCTION	COG1294	Cytochrome bd-type quinol oxidase, subunit 2	3.8e-188
49	COG_CATEGORY	C	C	0
50	COG_FUNCTION	COG4988	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components	3.1e-286
50	COG_CATEGORY	O!!!C	O!!!C	0
51	COG_FUNCTION	COG4987	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components	3e-251
51	COG_CATEGORY	O!!!C	O!!!C	0
52	COG_FUNCTION	COG3268	Uncharacterized conserved protein, related to short-chain dehydrogenases	8e-228
52	COG_CATEGORY	S	S	0
56	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	6.4e-120
56	COG_CATEGORY	H	H	0
57	COG_FUNCTION	COG2025	Electron transfer flavoprotein, alpha subunit	2.4e-163
57	COG_CATEGORY	C	C	0
58	COG_FUNCTION	COG2086	Electron transfer flavoprotein, alpha and beta subunits	1.3e-127
58	COG_CATEGORY	C	C	0
59	COG_FUNCTION	COG0644!!!COG2440	Dehydrogenase (flavoprotein)!!!Ferredoxin-like protein FixX	0
59	COG_CATEGORY	C	C	0
60	COG_FUNCTION	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	3.2e-81
60	COG_CATEGORY	O	O	0
61	COG_FUNCTION	COG3816	Uncharacterized protein	1.9e-99
61	COG_CATEGORY	S	S	0
62	COG_FUNCTION	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family	8.2e-166
62	COG_CATEGORY	R	R	0
63	COG_FUNCTION	COG2062	Phosphohistidine phosphatase SixA	1.6e-77
63	COG_CATEGORY	T	T	0
64	COG_FUNCTION	COG0240	Glycerol-3-phosphate dehydrogenase	1.3e-186
64	COG_CATEGORY	C	C	0
65	COG_FUNCTION	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	6.9e-82
65	COG_CATEGORY	T	T	0
66	COG_FUNCTION	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	6.9e-168
66	COG_CATEGORY	K!!!T	K!!!T	0
67	COG_FUNCTION	COG1078	HD superfamily phosphohydrolase	4.5e-286
67	COG_CATEGORY	R	R	0
68	COG_FUNCTION	COG3380	Predicted NAD/FAD-dependent oxidoreductase	1.9e-174
68	COG_CATEGORY	R	R	0
69	COG_FUNCTION	COG1398	Fatty-acid desaturase	2.6e-101
69	COG_CATEGORY	I	I	0
70	COG_FUNCTION	COG3631	Ketosteroid isomerase-related protein	5.2e-71
70	COG_CATEGORY	R	R	0
71	COG_FUNCTION	COG0300	Short-chain dehydrogenase	1.4e-140
71	COG_CATEGORY	R	R	0
72	COG_FUNCTION	COG2907	Predicted NAD/FAD-binding protein	1.5e-245
72	COG_CATEGORY	R	R	0
73	COG_FUNCTION	COG3496	Uncharacterized conserved protein, DUF1365 family	6.6e-168
73	COG_CATEGORY	S	S	0
74	COG_FUNCTION	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	1.4e-240
74	COG_CATEGORY	I	I	0
77	COG_FUNCTION	COG0708	Exonuclease III	8.3e-157
77	COG_CATEGORY	L	L	0
78	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	6.1e-107
78	COG_CATEGORY	K	K	0
79	COG_FUNCTION	COG3937	Polyhydroxyalkanoate synthesis regulator phasin	1e-14
79	COG_CATEGORY	T!!!Q	T!!!Q	0
80	COG_FUNCTION	COG2391	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains	5.4e-70
80	COG_CATEGORY	R	R	0
81	COG_FUNCTION	COG2391	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains	4.9e-68
81	COG_CATEGORY	R	R	0
82	COG_FUNCTION	COG3453	Predicted phosphohydrolase, protein tyrosine phosphatase (PTP) superfamily, DUF442 family	1.9e-73
82	COG_CATEGORY	R	R	0
83	COG_FUNCTION	COG0276	Protoheme ferro-lyase (ferrochelatase)	1.3e-216
83	COG_CATEGORY	H	H	0
85	COG_FUNCTION	COG0670	Integral membrane protein, interacts with FtsH	4.2e-117
85	COG_CATEGORY	R	R	0
86	COG_FUNCTION	COG1553	Sulfur relay (sulfurtransferase) complex TusBCD TusD component, DsrE family	1.6e-68
86	COG_CATEGORY	P	P	0
87	COG_FUNCTION	COG2923	Sulfur relay (sulfurtransferase) complex TusC component, DsrF/TusC family	3.5e-48
87	COG_CATEGORY	P	P	0
88	COG_FUNCTION	COG2168	Sulfur transfer complex TusBCD TusB component, DsrH family	7.5e-17
88	COG_CATEGORY	O	O	0
89	COG_FUNCTION	COG2920	Sulfur relay (sulfurtransferase) protein, DsrC/TusE family	3.3e-48
89	COG_CATEGORY	P	P	0
90	COG_FUNCTION	COG4399	Uncharacterized membrane protein YheB, UPF0754 family	8.6e-208
90	COG_CATEGORY	S	S	0
91	COG_FUNCTION	COG0316!!!COG0694	Fe-S cluster assembly iron-binding protein IscA!!!Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain	1.5e-107
91	COG_CATEGORY	O	O	0
92	COG_FUNCTION	COG0646!!!COG1410	Methionine synthase I (cobalamin-dependent), methyltransferase domain!!!Methionine synthase I, cobalamin-binding domain	0
92	COG_CATEGORY	E	E	0
95	COG_FUNCTION	COG0155	Sulfite reductase, beta subunit (hemoprotein)	0
95	COG_CATEGORY	P	P	0
96	COG_FUNCTION	COG3749	Uncharacterized conserved protein, DUF934 family	3.1e-93
96	COG_CATEGORY	S	S	0
97	COG_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	6.1e-178
97	COG_CATEGORY	R!!!C	R!!!C	0
98	COG_FUNCTION	COG0616	Periplasmic serine protease, ClpP class	7e-164
98	COG_CATEGORY	O	O	0
99	COG_FUNCTION	COG3255	Putative sterol carrier protein	1.2e-52
99	COG_CATEGORY	I	I	0
101	COG_FUNCTION	COG0643!!!COG0745!!!COG2198!!!COG2198!!!COG2198!!!COG2198!!!COG2198!!!COG2198	Chemotaxis protein histidine kinase CheA!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain!!!HPt (histidine-containing phosphotransfer) domain!!!HPt (histidine-containing phosphotransfer) domain!!!HPt (histidine-containing phosphotransfer) domain!!!HPt (histidine-containing phosphotransfer) domain!!!HPt (histidine-containing phosphotransfer) domain!!!HPt (histidine-containing phosphotransfer) domain	8.9e-60
101	COG_CATEGORY	N!!!K!!!T	N!!!K!!!T	0
102	COG_FUNCTION	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	6e-127
102	COG_CATEGORY	L	L	0
103	COG_FUNCTION	COG0328	Ribonuclease HI	3.1e-81
103	COG_CATEGORY	L	L	0
104	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	4.2e-145
104	COG_CATEGORY	H	H	0
