gene_callers_id	source	accession	function	e_value
3	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	2.4e-269
3	COG_CATEGORY	X!!!U!!!R	X!!!U!!!R	0
4	COG_FUNCTION	COG3523	Type VI protein secretion system component VasK	0
4	COG_CATEGORY	U	U	0
5	COG_FUNCTION	COG3515	Predicted component of the type VI protein secretion system	8.5e-181
5	COG_CATEGORY	U	U	0
7	COG_FUNCTION	COG2203!!!COG3829	GAF domain!!!Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains	2.2e-246
7	COG_CATEGORY	T!!!K	T!!!K	0
8	COG_FUNCTION	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	0
8	COG_CATEGORY	O	O	0
9	COG_FUNCTION	COG3455	Type VI protein secretion system component VasF	5.4e-111
9	COG_CATEGORY	U	U	0
10	COG_FUNCTION	COG3522	Predicted component of the type VI protein secretion system	5.6e-235
10	COG_CATEGORY	U	U	0
11	COG_FUNCTION	COG3521	Predicted component of the type VI protein secretion system	2.3e-91
11	COG_CATEGORY	U	U	0
12	COG_FUNCTION	COG1716!!!COG3456	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr!!!Predicted component of the type VI protein secretion system, contains a FHA domain	2e-132
12	COG_CATEGORY	T!!!U	T!!!U	0
13	COG_FUNCTION	COG3520	Predicted component of the type VI protein secretion system	1.2e-160
13	COG_CATEGORY	U	U	0
14	COG_FUNCTION	COG3519	Type VI protein secretion system component VasA	7.7e-309
14	COG_CATEGORY	U	U	0
16	COG_FUNCTION	COG3518	Predicted component of the type VI protein secretion system	1.4e-59
16	COG_CATEGORY	U	U	0
17	COG_FUNCTION	COG3517	Predicted component of the type VI protein secretion system	2.7e-283
17	COG_CATEGORY	U	U	0
18	COG_FUNCTION	COG3516	Predicted component of the type VI protein secretion system	1.5e-81
18	COG_CATEGORY	U	U	0
19	COG_FUNCTION	COG4281	Acyl-CoA-binding protein	2.2e-39
19	COG_CATEGORY	I	I	0
20	COG_FUNCTION	COG4974	Site-specific recombinase XerD	8.5e-09
20	COG_CATEGORY	L	L	0
22	COG_FUNCTION	COG0782	Transcription elongation factor, GreA/GreB family	1.5e-76
22	COG_CATEGORY	K	K	0
24	COG_FUNCTION	COG2205!!!COG2770	K+-sensing histidine kinase KdpD!!!HAMP domain	1.2e-233
24	COG_CATEGORY	T	T	0
25	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	3.2e-122
25	COG_CATEGORY	T!!!K	T!!!K	0
26	COG_FUNCTION	COG3622	Hydroxypyruvate isomerase	7.7e-128
26	COG_CATEGORY	G	G	0
27	COG_FUNCTION	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	5.8e-143
27	COG_CATEGORY	I	I	0
28	COG_FUNCTION	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	2.4e-146
28	COG_CATEGORY	K	K	0
29	COG_FUNCTION	COG2177	Cell division protein FtsX	7.9e-141
29	COG_CATEGORY	D	D	0
30	COG_FUNCTION	COG2884	ABC-type ATPase involved in cell division	8e-113
30	COG_CATEGORY	D	D	0
31	COG_FUNCTION	COG0552	Signal recognition particle GTPase	1.8e-152
31	COG_CATEGORY	U	U	0
32	COG_FUNCTION	COG0742	16S rRNA G966 N2-methylase RsmD	1.1e-89
32	COG_CATEGORY	J	J	0
33	COG_FUNCTION	COG1398!!!COG3464	Fatty-acid desaturase!!!Transposase	2.5e-210
33	COG_CATEGORY	X!!!I	X!!!I	0
34	COG_FUNCTION	COG0266	Formamidopyrimidine-DNA glycosylase	1.1e-116
34	COG_CATEGORY	L	L	0
36	COG_FUNCTION	COG0546	Phosphoglycolate phosphatase, HAD superfamily	2.2e-110
36	COG_CATEGORY	C	C	0
37	COG_FUNCTION	COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	2.8e-65
37	COG_CATEGORY	J	J	0
38	COG_FUNCTION	COG1281	Redox-regulated molecular chaperone, HSP33 family	7.4e-140
38	COG_CATEGORY	O	O	0
39	COG_FUNCTION	COG1866	Phosphoenolpyruvate carboxykinase, ATP-dependent	5.2e-285
39	COG_CATEGORY	C	C	0
