gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG2199!!!COG2200	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	1.2e-72
0	COG_CATEGORY	T	T	0
1	COG_FUNCTION	COG2205!!!COG3437!!!COG3706	K+-sensing histidine kinase KdpD!!!Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	2.9e-97
1	COG_CATEGORY	T!!!K	T!!!K	0
2	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	8e-11
2	COG_CATEGORY	X	X	0
3	COG_FUNCTION	COG3436	Transposase	1.2e-37
3	COG_CATEGORY	X	X	0
4	COG_FUNCTION	COG2433	Possible nuclease of RNase H fold, RuvC/YqgF family	3.1e-187
4	COG_CATEGORY	R	R	0
5	COG_FUNCTION	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity	2.9e-82
5	COG_CATEGORY	T	T	0
6	COG_FUNCTION	COG0745!!!COG1639	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain!!!HD-like signal output (HDOD) domain, no enzymatic activity	3.2e-87
6	COG_CATEGORY	T!!!K	T!!!K	0
7	COG_FUNCTION	COG0745!!!COG5001	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain!!!Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	1.3e-22
7	COG_CATEGORY	T!!!K	T!!!K	0
8	COG_FUNCTION	COG0745!!!COG5001	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain!!!Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	1.5e-57
8	COG_CATEGORY	T!!!K	T!!!K	0
12	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	2.8e-39
12	COG_CATEGORY	T!!!N	T!!!N	0
13	COG_FUNCTION	COG2197!!!COG2203!!!COG5001	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains!!!GAF domain!!!Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	3.2e-95
13	COG_CATEGORY	T!!!K	T!!!K	0
14	COG_FUNCTION	COG2199!!!COG2203	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!GAF domain	4e-73
14	COG_CATEGORY	T	T	0
16	COG_FUNCTION	COG1396	Transcriptional regulator, contains XRE-family HTH domain	1.2e-14
16	COG_CATEGORY	K	K	0
18	COG_FUNCTION	COG2423	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family	7.9e-09
18	COG_CATEGORY	E	E	0
19	COG_FUNCTION	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	5.2e-39
19	COG_CATEGORY	V	V	0
21	COG_FUNCTION	COG1228	Imidazolonepropionase or related amidohydrolase	1.4e-203
21	COG_CATEGORY	Q	Q	0
22	COG_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	4.4e-192
22	COG_CATEGORY	G	G	0
23	COG_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	1e-59
23	COG_CATEGORY	G	G	0
24	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	9.5e-74
24	COG_CATEGORY	K	K	0
25	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	2.4e-170
25	COG_CATEGORY	G	G	0
26	COG_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	9.9e-53
26	COG_CATEGORY	E	E	0
27	COG_FUNCTION	COG4541	Uncharacterized membrane protein	2.2e-14
27	COG_CATEGORY	S	S	0
37	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	5.1e-68
37	COG_CATEGORY	X	X	0
41	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	1.4e-23
41	COG_CATEGORY	X	X	0
