gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG3667	Uncharacterized protein involved in copper resistance	2.5e-136
0	COG_CATEGORY	P	P	0
2	COG_FUNCTION	COG0531	Amino acid transporter	1.4e-220
2	COG_CATEGORY	E	E	0
4	COG_FUNCTION	COG2217!!!COG3350	Cation transport ATPase!!!Uncharacterized conserved protein, YHS domain	0
4	COG_CATEGORY	S!!!P	S!!!P	0
5	COG_FUNCTION	COG3439	Uncharacterized conserved protein, DUF302 family	2.2e-59
5	COG_CATEGORY	S	S	0
6	COG_FUNCTION	COG0785	Cytochrome c biogenesis protein CcdA	7.1e-52
6	COG_CATEGORY	C!!!O	C!!!O	0
7	COG_FUNCTION	COG3019	Uncharacterized conserved protein	1.7e-35
7	COG_CATEGORY	S	S	0
10	COG_FUNCTION	COG2308	Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	7.8e-124
10	COG_CATEGORY	S	S	0
11	COG_FUNCTION	COG2308	Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	2.6e-100
11	COG_CATEGORY	S	S	0
13	COG_FUNCTION	COG2020	Protein-S-isoprenylcysteine O-methyltransferase Ste14	6.3e-124
13	COG_CATEGORY	O	O	0
14	COG_FUNCTION	COG2010	Cytochrome c, mono- and diheme variants	1.5e-35
14	COG_CATEGORY	C	C	0
15	COG_FUNCTION	COG2834	Outer membrane lipoprotein-sorting protein	4.5e-26
15	COG_CATEGORY	M	M	0
16	COG_FUNCTION	COG2834	Outer membrane lipoprotein-sorting protein	2.2e-15
16	COG_CATEGORY	M	M	0
17	COG_FUNCTION	COG1136	ABC-type lipoprotein export system, ATPase component	5.3e-72
17	COG_CATEGORY	M	M	0
18	COG_FUNCTION	COG4591	ABC-type transport system, involved in lipoprotein release, permease component	3.8e-51
18	COG_CATEGORY	M	M	0
23	COG_FUNCTION	COG1538	Outer membrane protein TolC	4.5e-104
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0845!!!COG5569	Multidrug efflux pump subunit AcrA (membrane-fusion protein)!!!Periplasmic Cu and Ag efflux protein CusF	2.5e-131
24	COG_CATEGORY	V!!!P!!!M	V!!!P!!!M	0
25	COG_FUNCTION	COG3696	Cu/Ag efflux pump CusA	0
25	COG_CATEGORY	P	P	0
26	COG_FUNCTION	COG3696	Cu/Ag efflux pump CusA	5.8e-19
26	COG_CATEGORY	P	P	0
27	COG_FUNCTION	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components	1.3e-152
27	COG_CATEGORY	E	E	0
28	COG_FUNCTION	COG0366	Glycosidase	2.2e-241
28	COG_CATEGORY	G	G	0
29	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	1.1e-167
29	COG_CATEGORY	T!!!N	T!!!N	0
30	COG_FUNCTION	COG1477	Thiamine biosynthesis lipoprotein ApbE	1.3e-06
30	COG_CATEGORY	H	H	0
31	COG_FUNCTION	COG1477	Thiamine biosynthesis lipoprotein ApbE	7.9e-97
31	COG_CATEGORY	H	H	0
37	COG_FUNCTION	COG0823	Periplasmic component of the Tol biopolymer transport system	7.5e-265
37	COG_CATEGORY	U	U	0
38	COG_FUNCTION	COG0823	Periplasmic component of the Tol biopolymer transport system	9e-102
38	COG_CATEGORY	U	U	0
39	COG_FUNCTION	COG3807	SH3-like domain	6.3e-47
39	COG_CATEGORY	S	S	0
41	COG_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin	7.7e-73
41	COG_CATEGORY	O	O	0
46	COG_FUNCTION	COG4942	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	8.1e-182
46	COG_CATEGORY	D	D	0
47	COG_FUNCTION	COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	1e-303
47	COG_CATEGORY	R	R	0
48	COG_FUNCTION	COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	2.8e-85
48	COG_CATEGORY	R	R	0
51	COG_FUNCTION	COG0811	Biopolymer transport protein ExbB/TolQ	6e-87
51	COG_CATEGORY	U	U	0
52	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	4.5e-47
52	COG_CATEGORY	U	U	0
53	COG_FUNCTION	COG0848	Biopolymer transport protein ExbD	1.4e-51
53	COG_CATEGORY	U	U	0
54	COG_FUNCTION	COG0810	Periplasmic protein TonB, links inner and outer membranes	1e-15
54	COG_CATEGORY	M	M	0
55	COG_FUNCTION	COG0591	Na+/proline symporter	5.6e-206
55	COG_CATEGORY	E	E	0
56	COG_FUNCTION	COG1734	RNA polymerase-binding transcription factor DksA	2e-45
56	COG_CATEGORY	J	J	0
57	COG_FUNCTION	COG1136	ABC-type lipoprotein export system, ATPase component	1.3e-100
57	COG_CATEGORY	M	M	0
58	COG_FUNCTION	COG0577!!!COG0577	ABC-type antimicrobial peptide transport system, permease component!!!ABC-type antimicrobial peptide transport system, permease component	1.1e-246
58	COG_CATEGORY	V	V	0
59	COG_FUNCTION	COG0577!!!COG0577	ABC-type antimicrobial peptide transport system, permease component!!!ABC-type antimicrobial peptide transport system, permease component	1.2e-62
59	COG_CATEGORY	V	V	0
60	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	8.9e-155
60	COG_CATEGORY	V!!!M	V!!!M	0
61	COG_FUNCTION	COG3653	N-acyl-D-aspartate/D-glutamate deacylase	3.7e-117
61	COG_CATEGORY	Q	Q	0
62	COG_FUNCTION	COG3653	N-acyl-D-aspartate/D-glutamate deacylase	4.7e-148
62	COG_CATEGORY	Q	Q	0
63	COG_FUNCTION	COG3647	Uncharacterized membrane protein YjdF	8.9e-87
63	COG_CATEGORY	S	S	0
64	COG_FUNCTION	COG2909	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT	1.1e-81
64	COG_CATEGORY	K	K	0
65	COG_FUNCTION	COG2909	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT	4.2e-177
65	COG_CATEGORY	K	K	0
66	COG_FUNCTION	COG2909	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT	1.9e-64
66	COG_CATEGORY	K	K	0
67	COG_FUNCTION	COG3271	Predicted double-glycine peptidase	1.5e-139
67	COG_CATEGORY	R	R	0
68	COG_FUNCTION	COG3103	Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family	7.4e-38
68	COG_CATEGORY	R	R	0
69	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	1.2e-167
69	COG_CATEGORY	I	I	0
70	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	8.7e-115
70	COG_CATEGORY	I	I	0
74	COG_FUNCTION	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	9.5e-126
74	COG_CATEGORY	G!!!M	G!!!M	0
75	COG_FUNCTION	COG2214	Curved DNA-binding protein CbpA, contains a DnaJ-like domain	3.5e-73
75	COG_CATEGORY	K	K	0
76	COG_FUNCTION	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	2e-149
76	COG_CATEGORY	J	J	0
77	COG_FUNCTION	COG2836	Sulfite exporter TauE/SafE	5e-86
77	COG_CATEGORY	P	P	0
78	COG_FUNCTION	COG3197	Uncharacterized protein, possibly involved in nitrogen fixation	2.4e-18
78	COG_CATEGORY	P	P	0
79	COG_FUNCTION	COG2217!!!COG2608	Cation transport ATPase!!!Copper chaperone CopZ	1.2e-43
79	COG_CATEGORY	P	P	0
80	COG_FUNCTION	COG2217!!!COG2608	Cation transport ATPase!!!Copper chaperone CopZ	1.2e-274
80	COG_CATEGORY	P	P	0
81	COG_FUNCTION	COG3198	Uncharacterized protein	1.4e-64
81	COG_CATEGORY	S	S	0
82	COG_FUNCTION	COG0348	Polyferredoxin	1.3e-69
82	COG_CATEGORY	C	C	0
83	COG_FUNCTION	COG0348	Polyferredoxin	1.8e-51
83	COG_CATEGORY	C	C	0
84	COG_FUNCTION	COG0348	Polyferredoxin	3.8e-71
84	COG_CATEGORY	C	C	0
85	COG_FUNCTION	COG2010!!!COG2010	Cytochrome c, mono- and diheme variants!!!Cytochrome c, mono- and diheme variants	1.6e-51
85	COG_CATEGORY	C	C	0
86	COG_FUNCTION	COG2010!!!COG2010	Cytochrome c, mono- and diheme variants!!!Cytochrome c, mono- and diheme variants	9.5e-49
86	COG_CATEGORY	C	C	0
87	COG_FUNCTION	COG4736	Cbb3-type cytochrome oxidase, subunit 3	2e-24
87	COG_CATEGORY	C	C	0
88	COG_FUNCTION	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit	1.7e-106
88	COG_CATEGORY	C	C	0
89	COG_FUNCTION	COG3278	Cbb3-type cytochrome oxidase, subunit 1	5.8e-54
89	COG_CATEGORY	C	C	0
90	COG_FUNCTION	COG3278	Cbb3-type cytochrome oxidase, subunit 1	2.2e-41
90	COG_CATEGORY	C	C	0
91	COG_FUNCTION	COG3278	Cbb3-type cytochrome oxidase, subunit 1	2.9e-130
91	COG_CATEGORY	C	C	0
92	COG_FUNCTION	COG3571	Predicted hydrolase of the alpha/beta-hydrolase fold	6.4e-73
92	COG_CATEGORY	R	R	0
93	COG_FUNCTION	COG3264!!!COG3706	Small-conductance mechanosensitive channel!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	1.8e-91
93	COG_CATEGORY	K!!!T!!!M	K!!!T!!!M	0
94	COG_FUNCTION	COG3264!!!COG3706	Small-conductance mechanosensitive channel!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	2e-31
94	COG_CATEGORY	K!!!T!!!M	K!!!T!!!M	0
95	COG_FUNCTION	COG2933	23S rRNA C2498 (ribose-2'-O)-methylase RlmM	6.6e-178
95	COG_CATEGORY	J	J	0
96	COG_FUNCTION	COG2329	Heme-degrading monooxygenase HmoA and related ABM domain proteins	1.3e-40
96	COG_CATEGORY	H	H	0
97	COG_FUNCTION	COG0425	TusA-related sulfurtransferase	9.3e-32
97	COG_CATEGORY	O	O	0
98	COG_FUNCTION	COG4232	Thiol:disulfide interchange protein	3.5e-42
98	COG_CATEGORY	O	O	0
99	COG_FUNCTION	COG4232	Thiol:disulfide interchange protein	7e-203
99	COG_CATEGORY	O	O	0
100	COG_FUNCTION	COG3101	Elongation factor P hydroxylase (EF-P beta-lysylation pathway)	1.9e-72
100	COG_CATEGORY	J	J	0
101	COG_FUNCTION	COG0513	Superfamily II DNA and RNA helicase	5.7e-221
101	COG_CATEGORY	L	L	0
102	COG_FUNCTION	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	1.5e-175
102	COG_CATEGORY	R!!!H	R!!!H	0
103	COG_FUNCTION	COG0501	Zn-dependent protease with chaperone function	1.9e-146
103	COG_CATEGORY	O	O	0
105	COG_FUNCTION	COG0436	Aspartate/methionine/tyrosine aminotransferase	1e-227
105	COG_CATEGORY	E	E	0
106	COG_FUNCTION	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	1.3e-77
106	COG_CATEGORY	I!!!V	I!!!V	0
107	COG_FUNCTION	COG1846	DNA-binding transcriptional regulator, MarR family	1.1e-36
107	COG_CATEGORY	K	K	0
108	COG_FUNCTION	COG0784!!!COG2205!!!COG3726	CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!K+-sensing histidine kinase KdpD!!!Uncharacterized membrane protein affecting hemolysin expression	1.1e-87
108	COG_CATEGORY	S!!!T	S!!!T	0
109	COG_FUNCTION	COG0784!!!COG2205!!!COG3726	CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!K+-sensing histidine kinase KdpD!!!Uncharacterized membrane protein affecting hemolysin expression	8.5e-197
109	COG_CATEGORY	S!!!T	S!!!T	0
111	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1.5e-184
111	COG_CATEGORY	K	K	0
112	COG_FUNCTION	COG2153	Predicted N-acyltransferase, GNAT family	4.1e-147
112	COG_CATEGORY	R	R	0
113	COG_FUNCTION	COG2850	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	5.8e-17
113	COG_CATEGORY	J	J	0
114	COG_FUNCTION	COG2850	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	1.4e-166
114	COG_CATEGORY	J	J	0
115	COG_FUNCTION	COG0015	Adenylosuccinate lyase	3.8e-247
115	COG_CATEGORY	F	F	0
116	COG_FUNCTION	COG2915	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation	2.7e-94
116	COG_CATEGORY	X!!!T	X!!!T	0
117	COG_FUNCTION	COG0482	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	5.8e-187
