gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0742	16S rRNA G966 N2-methylase RsmD	1.1e-97
0	COG_CATEGORY	J	J	0
1	COG_FUNCTION	COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	2.2e-66
1	COG_CATEGORY	J	J	0
2	COG_FUNCTION	COG0563	Adenylate kinase or related kinase	4.8e-99
2	COG_CATEGORY	F	F	0
3	COG_FUNCTION	COG2352	Phosphoenolpyruvate carboxylase	0
3	COG_CATEGORY	C	C	0
4	COG_FUNCTION	COG3956	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	2.5e-132
4	COG_CATEGORY	R	R	0
5	COG_FUNCTION	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	0
5	COG_CATEGORY	T!!!K	T!!!K	0
6	COG_FUNCTION	COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	8.2e-202
6	COG_CATEGORY	J	J	0
7	COG_FUNCTION	COG0031	Cysteine synthase	2.9e-147
7	COG_CATEGORY	E	E	0
8	COG_FUNCTION	COG0784!!!COG2198!!!COG2205	CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!HPt (histidine-containing phosphotransfer) domain!!!K+-sensing histidine kinase KdpD	0
8	COG_CATEGORY	T	T	0
9	COG_FUNCTION	COG0854	Pyridoxine 5'-phosphate synthase PdxJ	1.6e-114
9	COG_CATEGORY	H	H	0
10	COG_FUNCTION	COG1381	Recombinational DNA repair protein (RecF pathway)	4.5e-82
10	COG_CATEGORY	L	L	0
11	COG_FUNCTION	COG1159	GTPase Era, involved in 16S rRNA processing	1.1e-152
11	COG_CATEGORY	J	J	0
12	COG_FUNCTION	COG0571	dsRNA-specific ribonuclease	1.6e-108
12	COG_CATEGORY	K	K	0
13	COG_FUNCTION	COG4969	Tfp pilus assembly protein, major pilin PilA	2.9e-06
13	COG_CATEGORY	W!!!N	W!!!N	0
14	COG_FUNCTION	COG0681	Signal peptidase I	1.1e-118
14	COG_CATEGORY	U	U	0
15	COG_FUNCTION	COG0481	Translation elongation factor EF-4, membrane-bound GTPase	0
15	COG_CATEGORY	J	J	0
16	COG_FUNCTION	COG0265!!!COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain!!!Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	3.2e-199
16	COG_CATEGORY	O	O	0
17	COG_FUNCTION	COG3086	Positive regulator of sigma E activity	2.7e-38
17	COG_CATEGORY	T	T	0
18	COG_FUNCTION	COG3026	Negative regulator of sigma E activity	5.1e-101
18	COG_CATEGORY	T	T	0
19	COG_FUNCTION	COG3073	Negative regulator of sigma E activity	9.5e-51
19	COG_CATEGORY	T	T	0
20	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	1.7e-94
20	COG_CATEGORY	K	K	0
21	COG_FUNCTION	COG0029	Aspartate oxidase	5.9e-287
21	COG_CATEGORY	H	H	0
22	COG_FUNCTION	COG2938	Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module	6.6e-34
22	COG_CATEGORY	O	O	0
24	COG_FUNCTION	COG0354	Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	3.9e-82
24	COG_CATEGORY	O	O	0
25	COG_FUNCTION	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity	2e-33
25	COG_CATEGORY	T	T	0
26	COG_FUNCTION	COG0692	Uracil DNA glycosylase	3.9e-94
26	COG_CATEGORY	L	L	0
27	COG_FUNCTION	COG1190	Lysyl-tRNA synthetase (class II)	2e-252
27	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG1186	Protein chain release factor B	1.4e-167
28	COG_CATEGORY	J	J	0
29	COG_FUNCTION	COG0457	Tetratricopeptide (TPR) repeat	9.9e-17
29	COG_CATEGORY	R	R	0
30	COG_FUNCTION	COG2925	Exonuclease I	1.5e-204
30	COG_CATEGORY	L	L	0
