gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	6.3e-215
1	COG_CATEGORY	T!!!H	T!!!H	0
2	COG_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	3.4e-100
2	COG_CATEGORY	Q	Q	0
3	COG_FUNCTION	COG0503	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	8.1e-92
3	COG_CATEGORY	F	F	0
4	COG_FUNCTION	COG2252	Xanthine/uracil/vitamin C permease, AzgA family	1.8e-209
4	COG_CATEGORY	F	F	0
5	COG_FUNCTION	COG2860	Uncharacterized membrane protein YeiH	1.7e-101
5	COG_CATEGORY	S	S	0
6	COG_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	8.8e-153
6	COG_CATEGORY	C!!!R	C!!!R	0
7	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	1.6e-224
7	COG_CATEGORY	Q!!!I	Q!!!I	0
8	COG_FUNCTION	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	3e-237
8	COG_CATEGORY	I	I	0
9	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	1.6e-99
9	COG_CATEGORY	I	I	0
10	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	2.9e-203
10	COG_CATEGORY	I	I	0
11	COG_FUNCTION	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	1.9e-266
11	COG_CATEGORY	I	I	0
12	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	4.5e-137
12	COG_CATEGORY	Q!!!I!!!R	Q!!!I!!!R	0
13	COG_FUNCTION	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	9.1e-71
13	COG_CATEGORY	E!!!R	E!!!R	0
14	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	4.9e-85
14	COG_CATEGORY	K	K	0
16	COG_FUNCTION	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	2.7e-72
16	COG_CATEGORY	P	P	0
17	COG_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	0
17	COG_CATEGORY	G	G	0
18	COG_FUNCTION	COG1404	Serine protease, subtilisin family	1.5e-122
18	COG_CATEGORY	O	O	0
20	COG_FUNCTION	COG0187	DNA gyrase/topoisomerase IV, subunit B	0
20	COG_CATEGORY	L	L	0
21	COG_FUNCTION	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	3.9e-193
21	COG_CATEGORY	T	T	0
22	COG_FUNCTION	COG3038	Cytochrome b561	4.5e-66
22	COG_CATEGORY	C	C	0
23	COG_FUNCTION	COG2353	Polyisoprenoid-binding periplasmic protein YceI	1e-87
23	COG_CATEGORY	R	R	0
25	COG_FUNCTION	COG0188	DNA gyrase/topoisomerase IV, subunit A	0
25	COG_CATEGORY	L	L	0
26	COG_FUNCTION	COG0560!!!COG3830	Phosphoserine phosphatase!!!ACT domain, binds amino acids and other small ligands	1.4e-211
26	COG_CATEGORY	E!!!T	E!!!T	0
27	COG_FUNCTION	COG2199!!!COG2200!!!COG2204	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)!!!DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	0
27	COG_CATEGORY	T	T	0
29	COG_FUNCTION	COG1509	L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)	7.1e-153
29	COG_CATEGORY	E	E	0
30	COG_FUNCTION	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	5.4e-94
30	COG_CATEGORY	J	J	0
31	COG_FUNCTION	COG2269	Elongation factor P--beta-lysine ligase (EF-P beta-lysylation pathway)	1.7e-140
31	COG_CATEGORY	J	J	0
32	COG_FUNCTION	COG0688	Phosphatidylserine decarboxylase	1.9e-127
32	COG_CATEGORY	I	I	0
33	COG_FUNCTION	COG1291	Flagellar motor component MotA	8.7e-141
33	COG_CATEGORY	N	N	0
34	COG_FUNCTION	COG1360	Flagellar motor protein MotB	3.1e-86
34	COG_CATEGORY	N	N	0
35	COG_FUNCTION	COG1162	Putative ribosome biogenesis GTPase RsgA	1.4e-161
35	COG_CATEGORY	J	J	0
36	COG_FUNCTION	COG1949	Oligoribonuclease (3'-5' exoribonuclease)	3.4e-82
36	COG_CATEGORY	A	A	0
37	COG_FUNCTION	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	1.9e-172
37	COG_CATEGORY	J	J	0
38	COG_FUNCTION	COG0062!!!COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain!!!NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	1.4e-184
38	COG_CATEGORY	F	F	0
39	COG_FUNCTION	COG0802	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	1.1e-72
39	COG_CATEGORY	J	J	0
40	COG_FUNCTION	COG0860!!!COG1388	N-acetylmuramoyl-L-alanine amidase!!!LysM repeat	4.3e-203
40	COG_CATEGORY	M	M	0
41	COG_FUNCTION	COG0323	DNA mismatch repair ATPase MutL	1.4e-287
41	COG_CATEGORY	L	L	0
42	COG_FUNCTION	COG0324	tRNA A37 N6-isopentenylltransferase MiaA	3.6e-141
