gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG0119	Isopropylmalate/homocitrate/citramalate synthases	4e-277
1	COG_CATEGORY	E	E	0
3	COG_FUNCTION	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	5.4e-55
3	COG_CATEGORY	J	J	0
4	COG_FUNCTION	COG4108	Peptide chain release factor RF-3	2.1e-289
4	COG_CATEGORY	J	J	0
5	COG_FUNCTION	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	2.8e-101
5	COG_CATEGORY	N	N	0
6	COG_FUNCTION	COG0102	Ribosomal protein L13	5.4e-75
6	COG_CATEGORY	J	J	0
7	COG_FUNCTION	COG0103	Ribosomal protein S9	3.3e-63
7	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG0723	Rieske Fe-S protein	2.4e-97
8	COG_CATEGORY	C	C	0
9	COG_FUNCTION	COG1290	Cytochrome b subunit of the bc complex	1.3e-206
9	COG_CATEGORY	C	C	0
10	COG_FUNCTION	COG2857	Cytochrome c1	2.4e-118
10	COG_CATEGORY	C	C	0
11	COG_FUNCTION	COG0625	Glutathione S-transferase	7.4e-113
11	COG_CATEGORY	O	O	0
12	COG_FUNCTION	COG2969	Stringent starvation protein B	9.9e-61
12	COG_CATEGORY	R	R	0
13	COG_FUNCTION	COG0279	Phosphoheptose isomerase	2.5e-86
13	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	6.3e-48
14	COG_CATEGORY	L	L	0
15	COG_FUNCTION	COG3107	Outer membrane lipoprotein LpoA, binds and activates PBP1a	1.7e-216
15	COG_CATEGORY	M	M	0
16	COG_FUNCTION	COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	3.4e-103
16	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG2001	MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	9.8e-75
17	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG0275	16S rRNA C1402 N4-methylase RsmH	1.2e-138
18	COG_CATEGORY	J	J	0
19	COG_FUNCTION	COG3116	Cell division protein FtsL, interacts with FtsB, FtsL and FtsQ	5e-46
19	COG_CATEGORY	D	D	0
20	COG_FUNCTION	COG0768	Cell division protein FtsI/penicillin-binding protein 2	1.9e-267
20	COG_CATEGORY	M!!!D	M!!!D	0
21	COG_FUNCTION	COG0769	UDP-N-acetylmuramyl tripeptide synthase	5.6e-228
21	COG_CATEGORY	M	M	0
22	COG_FUNCTION	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	1.4e-172
22	COG_CATEGORY	M	M	0
23	COG_FUNCTION	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	3.9e-186
23	COG_CATEGORY	M	M	0
24	COG_FUNCTION	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	1.3e-212
24	COG_CATEGORY	M	M	0
25	COG_FUNCTION	COG0772	Bacterial cell division protein FtsW, lipid II flippase	9.9e-183
25	COG_CATEGORY	D	D	0
26	COG_FUNCTION	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	4.3e-169
26	COG_CATEGORY	M	M	0
27	COG_FUNCTION	COG0773	UDP-N-acetylmuramate-alanine ligase	5.6e-257
27	COG_CATEGORY	M	M	0
28	COG_FUNCTION	COG1181	D-alanine-D-alanine ligase and related ATP-grasp enzymes	3.9e-153
28	COG_CATEGORY	M!!!R	M!!!R	0
29	COG_FUNCTION	COG1589	Cell division septal protein FtsQ	2.9e-128
29	COG_CATEGORY	D	D	0
30	COG_FUNCTION	COG0849	Cell division ATPase FtsA	7.5e-226
30	COG_CATEGORY	D	D	0
31	COG_FUNCTION	COG0206	Cell division GTPase FtsZ	5.4e-186
31	COG_CATEGORY	D	D	0
32	COG_FUNCTION	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase	4.6e-164
32	COG_CATEGORY	M	M	0
33	COG_FUNCTION	COG4701	Uncharacterized protein	2.3e-49
33	COG_CATEGORY	S	S	0
34	COG_FUNCTION	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	2.3e-126
34	COG_CATEGORY	M	M	0
35	COG_FUNCTION	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	0
35	COG_CATEGORY	U	U	0
36	COG_FUNCTION	COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	2.7e-196
36	COG_CATEGORY	E	E	0
37	COG_FUNCTION	COG0352!!!COG0494	Thiamine monophosphate synthase!!!8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	3e-113
37	COG_CATEGORY	H!!!V	H!!!V	0
38	COG_FUNCTION	COG0315	Molybdenum cofactor biosynthesis enzyme	8.5e-77
38	COG_CATEGORY	H	H	0
39	COG_FUNCTION	COG0807	GTP cyclohydrolase II	3.6e-112
39	COG_CATEGORY	H	H	0
40	COG_FUNCTION	COG1154	Deoxyxylulose-5-phosphate synthase	0
40	COG_CATEGORY	I!!!H	I!!!H	0
41	COG_FUNCTION	COG0142	Geranylgeranyl pyrophosphate synthase	2.4e-125
41	COG_CATEGORY	H	H	0
42	COG_FUNCTION	COG1722	Exonuclease VII small subunit	8.3e-15
42	COG_CATEGORY	L	L	0
43	COG_FUNCTION	COG3332	Uncharacterized conserved protein, contains NRDE domain	1.9e-102
43	COG_CATEGORY	S	S	0
44	COG_FUNCTION	COG0730	Uncharacterized membrane protein YfcA	8.4e-115
44	COG_CATEGORY	S	S	0
45	COG_FUNCTION	COG0682	Prolipoprotein diacylglyceryltransferase	2.7e-136
45	COG_CATEGORY	M	M	0
46	COG_FUNCTION	COG0207	Thymidylate synthase	7e-159
46	COG_CATEGORY	F	F	0
47	COG_FUNCTION	COG0262	Dihydrofolate reductase	3.7e-86
47	COG_CATEGORY	H	H	0
48	COG_FUNCTION	COG0513	Superfamily II DNA and RNA helicase	6.8e-221
48	COG_CATEGORY	L	L	0
49	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	1.1e-73
49	COG_CATEGORY	K	K	0
50	COG_FUNCTION	COG1014!!!COG4231	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	6.8e-202
50	COG_CATEGORY	C	C	0
51	COG_FUNCTION	COG1014!!!COG4231	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	0
51	COG_CATEGORY	C	C	0
52	COG_FUNCTION	COG1448	Aspartate/tyrosine/aromatic aminotransferase	2.7e-185
52	COG_CATEGORY	E	E	0
53	COG_FUNCTION	COG0733	Na+-dependent transporter, SNF family	2.6e-219
53	COG_CATEGORY	R	R	0
54	COG_FUNCTION	COG3327	DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)	4.6e-162
54	COG_CATEGORY	K	K	0
56	COG_FUNCTION	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	5.8e-188
56	COG_CATEGORY	E	E	0
57	COG_FUNCTION	COG0559	Branched-chain amino acid ABC-type transport system, permease component	8.1e-118
57	COG_CATEGORY	E	E	0
58	COG_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component	3.2e-150
58	COG_CATEGORY	E	E	0
59	COG_FUNCTION	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	4.3e-123
59	COG_CATEGORY	E	E	0
