gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG0162	Tyrosyl-tRNA synthetase	3.9e-203
1	COG_CATEGORY	J	J	0
2	COG_FUNCTION	COG0739!!!COG3061	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain!!!Cell envelope opacity-associated protein A (function unknown)	2.3e-207
2	COG_CATEGORY	S!!!M	S!!!M	0
3	COG_FUNCTION	COG2377	1,6-Anhydro-N-acetylmuramate kinase	3.2e-140
3	COG_CATEGORY	M	M	0
4	COG_FUNCTION	COG0316	Fe-S cluster assembly iron-binding protein IscA	5.1e-55
4	COG_CATEGORY	O	O	0
5	COG_FUNCTION	COG1664	Cytoskeletal protein CcmA, bactofilin family	1.5e-60
5	COG_CATEGORY	Z	Z	0
7	COG_FUNCTION	COG0002	N-acetyl-gamma-glutamylphosphate reductase	4.9e-178
7	COG_CATEGORY	E	E	0
8	COG_FUNCTION	COG0038	H+/Cl- antiporter ClcA	4.2e-278
8	COG_CATEGORY	P	P	0
9	COG_FUNCTION	COG1981	Uncharacterized membrane protein	3.2e-72
9	COG_CATEGORY	S	S	0
10	COG_FUNCTION	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	8.5e-99
10	COG_CATEGORY	H	H	0
11	COG_FUNCTION	COG0352	Thiamine monophosphate synthase	1.5e-82
11	COG_CATEGORY	H	H	0
12	COG_FUNCTION	COG0001	Glutamate-1-semialdehyde aminotransferase	3.2e-232
12	COG_CATEGORY	H	H	0
13	COG_FUNCTION	COG1075	Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold	7e-136
13	COG_CATEGORY	I	I	0
14	COG_FUNCTION	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	1e-60
14	COG_CATEGORY	U!!!W	U!!!W	0
15	COG_FUNCTION	COG0744	Membrane carboxypeptidase (penicillin-binding protein)	0
15	COG_CATEGORY	M	M	0
16	COG_FUNCTION	COG0645!!!COG2187	Predicted kinase!!!Aminoglycoside phosphotransferase family enzyme	6.8e-248
16	COG_CATEGORY	R	R	0
17	COG_FUNCTION	COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	2.7e-11
17	COG_CATEGORY	S	S	0
18	COG_FUNCTION	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	9.3e-39
18	COG_CATEGORY	Q!!!P	Q!!!P	0
19	COG_FUNCTION	COG1489	DNA-binding protein, stimulates sugar fermentation	8.6e-113
19	COG_CATEGORY	G!!!T	G!!!T	0
20	COG_FUNCTION	COG1734	RNA polymerase-binding transcription factor DksA	1.5e-72
20	COG_CATEGORY	J	J	0
21	COG_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	5.3e-125
21	COG_CATEGORY	J	J	0
23	COG_FUNCTION	COG0591!!!COG4191	Na+/proline symporter!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	0
23	COG_CATEGORY	E!!!T	E!!!T	0
24	COG_FUNCTION	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	2.8e-229
24	COG_CATEGORY	T	T	0
25	COG_FUNCTION	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	2.1e-224
25	COG_CATEGORY	J	J	0
26	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	1e-69
26	COG_CATEGORY	H	H	0
27	COG_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase	6.7e-135
27	COG_CATEGORY	H	H	0
28	COG_FUNCTION	COG0414	Panthothenate synthetase	7.1e-127
28	COG_CATEGORY	H	H	0
29	COG_FUNCTION	COG0166	Glucose-6-phosphate isomerase	2e-250
29	COG_CATEGORY	G	G	0
30	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	1.4e-77
30	COG_CATEGORY	H	H	0
31	COG_FUNCTION	COG1539	Dihydroneopterin aldolase	2e-46
31	COG_CATEGORY	H	H	0
32	COG_FUNCTION	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	1e-87
32	COG_CATEGORY	I	I	0
33	COG_FUNCTION	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	1.6e-181
33	COG_CATEGORY	J	J	0
34	COG_FUNCTION	COG0828	Ribosomal protein S21	9.5e-28
34	COG_CATEGORY	J	J	0
35	COG_FUNCTION	COG0358	DNA primase (bacterial type)	6.6e-297
35	COG_CATEGORY	L	L	0
36	COG_FUNCTION	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	3.6e-293
36	COG_CATEGORY	K	K	0
38	COG_FUNCTION	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	1.5e-73
38	COG_CATEGORY	M	M	0
39	COG_FUNCTION	COG2841	Uncharacterized conserved protein YdcH, DUF465 family	4.6e-29
39	COG_CATEGORY	S	S	0
40	COG_FUNCTION	COG0243	Anaerobic selenocysteine-containing dehydrogenase	0
40	COG_CATEGORY	C	C	0
42	COG_FUNCTION	COG1639!!!COG2606	HD-like signal output (HDOD) domain, no enzymatic activity!!!Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	8.3e-202
42	COG_CATEGORY	J!!!T	J!!!T	0
43	COG_FUNCTION	COG1200	RecG-like helicase	0
43	COG_CATEGORY	L	L	0
44	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	2.3e-150
44	COG_CATEGORY	K	K	0
45	COG_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase	5.3e-125
45	COG_CATEGORY	M	M	0
46	COG_FUNCTION	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	7.6e-60
46	COG_CATEGORY	V	V	0
47	COG_FUNCTION	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	0
47	COG_CATEGORY	K!!!T	K!!!T	0
48	COG_FUNCTION	COG1758	DNA-directed RNA polymerase, subunit K/omega	3.3e-25
48	COG_CATEGORY	K	K	0
49	COG_FUNCTION	COG0194	Guanylate kinase	2.8e-91
49	COG_CATEGORY	F	F	0
50	COG_FUNCTION	COG0589!!!COG0589	Nucleotide-binding universal stress protein,  UspA family!!!Nucleotide-binding universal stress protein,  UspA family	1.5e-50
50	COG_CATEGORY	T	T	0
51	COG_FUNCTION	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	2.9e-109
51	COG_CATEGORY	J	J	0
52	COG_FUNCTION	COG1561	Uncharacterized conserved protein YicC, UPF0701 family	9.2e-122
52	COG_CATEGORY	S	S	0
53	COG_FUNCTION	COG0689	Ribonuclease PH	4.9e-121
53	COG_CATEGORY	J	J	0
54	COG_FUNCTION	COG0708	Exonuclease III	6.3e-149
54	COG_CATEGORY	L	L	0
55	COG_FUNCTION	COG0461	Orotate phosphoribosyltransferase	9.5e-108
55	COG_CATEGORY	F	F	0
56	COG_FUNCTION	COG2433	Possible nuclease of RNase H fold, RuvC/YqgF family	9.5e-79
56	COG_CATEGORY	R	R	0
60	COG_FUNCTION	COG0258!!!COG0749	5'-3' exonuclease!!!DNA polymerase I - 3'-5' exonuclease and polymerase domains	0
60	COG_CATEGORY	L	L	0
62	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	1.6e-134
62	COG_CATEGORY	I	I	0
63	COG_FUNCTION	COG5008	Tfp pilus assembly protein, ATPase PilU	2.8e-203
63	COG_CATEGORY	N!!!W	N!!!W	0
64	COG_FUNCTION	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	3.6e-189
64	COG_CATEGORY	N!!!W	N!!!W	0
65	COG_FUNCTION	COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	2.5e-89
65	COG_CATEGORY	R	R	0
66	COG_FUNCTION	COG0345	Pyrroline-5-carboxylate reductase	4.8e-128
66	COG_CATEGORY	E	E	0
67	COG_FUNCTION	COG0762!!!COG0762	Uncharacterized conserved protein YggT, Ycf19 family!!!Uncharacterized conserved protein YggT, Ycf19 family	6.5e-87
67	COG_CATEGORY	S	S	0
68	COG_FUNCTION	COG0699	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)	0
68	COG_CATEGORY	L	L	0
69	COG_FUNCTION	COG2021	Homoserine acetyltransferase	5.9e-209
69	COG_CATEGORY	E	E	0
70	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	6.9e-108
70	COG_CATEGORY	H	H	0
72	COG_FUNCTION	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	1e-87
72	COG_CATEGORY	F	F	0
73	COG_FUNCTION	COG0635	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase	3.5e-169
73	COG_CATEGORY	H	H	0
75	COG_FUNCTION	COG0220	tRNA G46 methylase TrmB	4.2e-123
75	COG_CATEGORY	J	J	0
76	COG_FUNCTION	COG0606	Predicted ATPase with chaperone activity	1e-245
76	COG_CATEGORY	O	O	0
77	COG_FUNCTION	COG2960	Uncharacterized conserved protein YqiC, BMFP domain	3.7e-31
