gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	6.3e-200
0	COG_CATEGORY	J	J	0
1	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	1.4e-87
1	COG_CATEGORY	R!!!U!!!X	R!!!U!!!X	0
2	COG_FUNCTION	COG3157	Type VI protein secretion system component Hcp (secreted cytotoxin)	2.8e-89
2	COG_CATEGORY	U	U	0
3	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	4.5e-36
3	COG_CATEGORY	X	X	0
6	COG_FUNCTION	COG0846	NAD-dependent protein deacetylase, SIR2 family	4.5e-28
6	COG_CATEGORY	O	O	0
7	COG_FUNCTION	COG2010	Cytochrome c, mono- and diheme variants	1.4e-82
7	COG_CATEGORY	C	C	0
8	COG_FUNCTION	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	1.4e-252
8	COG_CATEGORY	C	C	0
10	COG_FUNCTION	COG2608	Copper chaperone CopZ	1.9e-42
10	COG_CATEGORY	P	P	0
11	COG_FUNCTION	COG2608	Copper chaperone CopZ	6e-11
11	COG_CATEGORY	P	P	0
12	COG_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family	3.9e-73
12	COG_CATEGORY	K	K	0
14	COG_FUNCTION	COG2370	Hydrogenase/urease accessory protein HupE	3.6e-18
14	COG_CATEGORY	O	O	0
15	COG_FUNCTION	COG0642	Signal transduction histidine kinase	2.1e-250
15	COG_CATEGORY	T	T	0
16	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	4.4e-124
16	COG_CATEGORY	K!!!T	K!!!T	0
17	COG_FUNCTION	COG4454	Uncharacterized copper-binding protein, cupredoxin-like subfamily	2e-95
17	COG_CATEGORY	R	R	0
