gene_callers_id	source	accession	function	e_value
3	COG_FUNCTION	COG1942	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family	3.7e-52
3	COG_CATEGORY	Q	Q	0
4	COG_FUNCTION	COG0537	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase	9.3e-60
4	COG_CATEGORY	R!!!G!!!F	R!!!G!!!F	0
5	COG_FUNCTION	COG3577	Predicted aspartyl protease	3.7e-33
5	COG_CATEGORY	R	R	0
7	COG_FUNCTION	COG0625	Glutathione S-transferase	4.4e-81
7	COG_CATEGORY	O	O	0
8	COG_FUNCTION	COG3608	Predicted deacylase	1.3e-145
8	COG_CATEGORY	R	R	0
10	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	1.3e-08
10	COG_CATEGORY	Q	Q	0
11	COG_FUNCTION	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	3.2e-42
11	COG_CATEGORY	J	J	0
13	COG_FUNCTION	COG0703	Shikimate kinase	4.8e-53
13	COG_CATEGORY	E	E	0
15	COG_FUNCTION	COG1560	Lauroyl/myristoyl acyltransferase	8.3e-121
15	COG_CATEGORY	I	I	0
16	COG_FUNCTION	COG3247	Uncharacterized membrane protein HdeD, DUF308 family	1.9e-46
16	COG_CATEGORY	S	S	0
18	COG_FUNCTION	COG1285	Uncharacterized membrane protein YhiD, involved in acid resistance	2.3e-55
18	COG_CATEGORY	S	S	0
19	COG_FUNCTION	COG0628	Predicted PurR-regulated permease PerM	6.5e-70
19	COG_CATEGORY	R	R	0
20	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	1.4e-132
20	COG_CATEGORY	G	G	0
21	COG_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	9.8e-44
21	COG_CATEGORY	G	G	0
22	COG_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	1e-172
22	COG_CATEGORY	G	G	0
23	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	2.2e-100
23	COG_CATEGORY	V	V	0
25	COG_FUNCTION	COG3634	Alkyl hydroperoxide reductase subunit AhpF	1.2e-265
25	COG_CATEGORY	V	V	0
26	COG_FUNCTION	COG1305	Transglutaminase-like enzyme, putative cysteine protease	3.7e-102
26	COG_CATEGORY	O	O	0
27	COG_FUNCTION	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	2.4e-107
27	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	6.8e-103
28	COG_CATEGORY	J	J	0
29	COG_FUNCTION	COG3461	Uncharacterized protein	1.8e-42
29	COG_CATEGORY	S	S	0
30	COG_FUNCTION	COG2755	Lysophospholipase L1 or related esterase	6.9e-62
30	COG_CATEGORY	E	E	0
32	COG_FUNCTION	COG0513	Superfamily II DNA and RNA helicase	5.4e-190
32	COG_CATEGORY	L	L	0
33	COG_FUNCTION	COG3047	Outer membrane protein W	4.8e-70
33	COG_CATEGORY	M	M	0
34	COG_FUNCTION	COG1733	DNA-binding transcriptional regulator, HxlR family	9.2e-76
34	COG_CATEGORY	K	K	0
35	COG_FUNCTION	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	3.5e-198
35	COG_CATEGORY	C	C	0
36	COG_FUNCTION	COG1282	NAD/NADP transhydrogenase beta subunit	1.2e-163
36	COG_CATEGORY	C	C	0
37	COG_FUNCTION	COG3288	NAD/NADP transhydrogenase alpha subunit	1.2e-241
37	COG_CATEGORY	C	C	0
38	COG_FUNCTION	COG2095	Small neutral amino acid transporter SnatA, MarC family	3.2e-87
38	COG_CATEGORY	E	E	0
39	COG_FUNCTION	COG3703	Cation transport regulator ChaC	6e-90
39	COG_CATEGORY	P	P	0
40	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	7.2e-125
40	COG_CATEGORY	E!!!R!!!G	E!!!R!!!G	0
41	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	4.1e-139
41	COG_CATEGORY	K	K	0
42	COG_FUNCTION	COG0277	FAD/FMN-containing dehydrogenase	9.1e-188
42	COG_CATEGORY	C	C	0
43	COG_FUNCTION	COG3616	D-serine deaminase, pyridoxal phosphate-dependent	1.9e-163
43	COG_CATEGORY	E	E	0
44	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	0
44	COG_CATEGORY	I	I	0
45	COG_FUNCTION	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase	1.3e-115
45	COG_CATEGORY	H	H	0
46	COG_FUNCTION	COG0679	Predicted permease	5.7e-143
46	COG_CATEGORY	R	R	0
47	COG_FUNCTION	COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	2.4e-189
47	COG_CATEGORY	E!!!R	E!!!R	0
48	COG_FUNCTION	COG3608	Predicted deacylase	2.1e-163
48	COG_CATEGORY	R	R	0
49	COG_FUNCTION	COG0401	Uncharacterized membrane protein YqaE, homolog of Blt101, UPF0057 family	2e-18
49	COG_CATEGORY	S	S	0
50	COG_FUNCTION	COG0491!!!COG0494	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II!!!8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	1.3e-244
50	COG_CATEGORY	V!!!R	V!!!R	0
51	COG_FUNCTION	COG0824	Acyl-CoA thioesterase FadM	2.8e-63
51	COG_CATEGORY	I	I	0
52	COG_FUNCTION	COG0534	Na+-driven multidrug efflux pump	2.1e-197
52	COG_CATEGORY	V	V	0
53	COG_FUNCTION	COG2077	Peroxiredoxin	1.1e-79
53	COG_CATEGORY	O	O	0
54	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	1.1e-181
54	COG_CATEGORY	G	G	0
55	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	7.1e-141
55	COG_CATEGORY	K	K	0
56	COG_FUNCTION	COG3243	Poly(3-hydroxyalkanoate) synthetase	1.8e-189
56	COG_CATEGORY	I	I	0
57	COG_FUNCTION	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	3.1e-149
57	COG_CATEGORY	I	I	0
58	COG_FUNCTION	COG0557	Exoribonuclease R	0
58	COG_CATEGORY	K	K	0
