gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0597	Lipoprotein signal peptidase	1.3e-70
0	COG_CATEGORY	U!!!M	U!!!M	0
1	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	7.6e-13
1	COG_CATEGORY	V	V	0
2	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	1.7e-55
2	COG_CATEGORY	V	V	0
3	COG_FUNCTION	COG1138	Cytochrome c biogenesis factor	5e-44
3	COG_CATEGORY	O!!!C	O!!!C	0
6	COG_FUNCTION	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	1.8e-51
6	COG_CATEGORY	R	R	0
7	COG_FUNCTION	COG5450	Transcription regulator of the Arc/MetJ class	2.5e-19
7	COG_CATEGORY	K	K	0
9	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	1.1e-122
9	COG_CATEGORY	I	I	0
10	COG_FUNCTION	COG1704	Uncharacterized conserved protein	2e-258
10	COG_CATEGORY	S	S	0
11	COG_FUNCTION	COG2008	Threonine aldolase	2.6e-200
11	COG_CATEGORY	E	E	0
12	COG_FUNCTION	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	5.5e-99
12	COG_CATEGORY	J	J	0
13	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	6.4e-166
13	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG1607	Acyl-CoA hydrolase	2.1e-78
14	COG_CATEGORY	I	I	0
15	COG_FUNCTION	COG3327	DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)	2.3e-182
15	COG_CATEGORY	K	K	0
16	COG_FUNCTION	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	1e-213
16	COG_CATEGORY	E	E	0
17	COG_FUNCTION	COG0559	Branched-chain amino acid ABC-type transport system, permease component	7.3e-127
17	COG_CATEGORY	E	E	0
18	COG_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component	1.2e-176
18	COG_CATEGORY	E	E	0
19	COG_FUNCTION	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	4.9e-135
19	COG_CATEGORY	E	E	0
20	COG_FUNCTION	COG0410!!!COG3945	ABC-type branched-chain amino acid transport system, ATPase component!!!Hemerythrin-like domain	1e-255
20	COG_CATEGORY	R!!!E	R!!!E	0
21	COG_FUNCTION	COG1012!!!COG2030	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase!!!Acyl dehydratase	0
21	COG_CATEGORY	I!!!C	I!!!C	0
22	COG_FUNCTION	COG1018	Ferredoxin-NADP reductase	4.2e-209
22	COG_CATEGORY	C	C	0
23	COG_FUNCTION	COG2151!!!COG3677	Metal-sulfur cluster biosynthetic enzyme!!!Transposase	1.9e-107
23	COG_CATEGORY	O!!!X	O!!!X	0
24	COG_FUNCTION	COG3396	1,2-phenylacetyl-CoA epoxidase, catalytic subunit	1.9e-147
24	COG_CATEGORY	Q	Q	0
25	COG_FUNCTION	COG3460	1,2-phenylacetyl-CoA epoxidase, PaaB subunit	2.8e-48
25	COG_CATEGORY	Q	Q	0
26	COG_FUNCTION	COG3396	1,2-phenylacetyl-CoA epoxidase, catalytic subunit	3.5e-194
26	COG_CATEGORY	Q	Q	0
27	COG_FUNCTION	COG1541	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	3.6e-255
27	COG_CATEGORY	H	H	0
28	COG_FUNCTION	COG0183	Acetyl-CoA acetyltransferase	6e-231
28	COG_CATEGORY	I	I	0
29	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	1.3e-76
29	COG_CATEGORY	Q	Q	0
30	COG_FUNCTION	COG1250!!!COG1250	3-hydroxyacyl-CoA dehydrogenase!!!3-hydroxyacyl-CoA dehydrogenase	1.6e-278
30	COG_CATEGORY	I	I	0
31	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	6.4e-146
31	COG_CATEGORY	I	I	0
32	COG_FUNCTION	COG0663	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	2.3e-134
32	COG_CATEGORY	R	R	0
33	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	6.1e-77
33	COG_CATEGORY	K	K	0
34	COG_FUNCTION	COG2902	NAD-specific glutamate dehydrogenase	0
34	COG_CATEGORY	E	E	0
35	COG_FUNCTION	COG0506!!!COG4230	Proline dehydrogenase!!!Delta 1-pyrroline-5-carboxylate dehydrogenase	0
35	COG_CATEGORY	E	E	0
36	COG_FUNCTION	COG1984	Allophanate hydrolase subunit 2	1.4e-179
36	COG_CATEGORY	E	E	0
37	COG_FUNCTION	COG2049	Allophanate hydrolase subunit 1	9e-128
37	COG_CATEGORY	E	E	0
38	COG_FUNCTION	COG1540	Lactam utilization protein B (function unknown)	5.7e-141
38	COG_CATEGORY	R	R	0
39	COG_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	1.9e-227
39	COG_CATEGORY	G	G	0
40	COG_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	4.5e-92
40	COG_CATEGORY	G	G	0
41	COG_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	7.2e-176
41	COG_CATEGORY	G	G	0
42	COG_FUNCTION	COG4336	Uncharacterized protein YcsI, UPF0317 family	2.1e-152
42	COG_CATEGORY	S	S	0
43	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	4e-171
43	COG_CATEGORY	K	K	0
44	COG_FUNCTION	COG0741	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	1.7e-126
44	COG_CATEGORY	M	M	0
45	COG_FUNCTION	COG0703	Shikimate kinase	2.1e-87
45	COG_CATEGORY	E	E	0
47	COG_FUNCTION	COG1301	Na+/H+-dicarboxylate symporter	6.3e-210
47	COG_CATEGORY	C	C	0
48	COG_FUNCTION	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	2.2e-129
48	COG_CATEGORY	J	J	0
50	COG_FUNCTION	COG0398	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain	1.6e-130
50	COG_CATEGORY	S	S	0
51	COG_FUNCTION	COG3387	Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family	0
51	COG_CATEGORY	G	G	0
52	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	1.5e-156
52	COG_CATEGORY	R!!!G!!!E	R!!!G!!!E	0
53	COG_FUNCTION	COG2962	Uncharacterized membrane protein RarD, contains two EamA domains	2.5e-162
53	COG_CATEGORY	S	S	0
54	COG_FUNCTION	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	5.5e-178
54	COG_CATEGORY	R!!!H	R!!!H	0
55	COG_FUNCTION	COG1597	Diacylglycerol kinase family enzyme	3e-171
55	COG_CATEGORY	I!!!R	I!!!R	0
56	COG_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	7.5e-147
56	COG_CATEGORY	T!!!E	T!!!E	0
57	COG_FUNCTION	COG5488	Uncharacterized membrane protein	1.4e-93
57	COG_CATEGORY	S	S	0
58	COG_FUNCTION	COG0501	Zn-dependent protease with chaperone function	4.4e-139
58	COG_CATEGORY	O	O	0
59	COG_FUNCTION	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	1e-120
59	COG_CATEGORY	R	R	0
60	COG_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein	1.9e-108
60	COG_CATEGORY	E	E	0
61	COG_FUNCTION	COG2303	Choline dehydrogenase or related flavoprotein	0
61	COG_CATEGORY	I!!!R	I!!!R	0
62	COG_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	1.1e-292
62	COG_CATEGORY	C	C	0
63	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1.2e-169
63	COG_CATEGORY	K	K	0
64	COG_FUNCTION	COG0428	Zinc transporter ZupT	3.6e-133
64	COG_CATEGORY	P	P	0
65	COG_FUNCTION	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	7.6e-206
65	COG_CATEGORY	C	C	0
66	COG_FUNCTION	COG3526	Predicted selenoprotein, Rdx family	3.7e-51
66	COG_CATEGORY	S	S	0
67	COG_FUNCTION	COG0596!!!COG0657	Pimeloyl-ACP methyl ester carboxylesterase!!!Acetyl esterase/lipase	5.5e-181
67	COG_CATEGORY	I!!!R!!!H	I!!!R!!!H	0
69	COG_FUNCTION	COG2989	Murein L,D-transpeptidase YcbB/YkuD	0
69	COG_CATEGORY	M	M	0
70	COG_FUNCTION	COG1533	DNA repair photolyase	1.3e-205
70	COG_CATEGORY	L	L	0
71	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	3.5e-219
71	COG_CATEGORY	N!!!T	N!!!T	0
72	COG_FUNCTION	COG0730	Uncharacterized membrane protein YfcA	3.4e-83
72	COG_CATEGORY	S	S	0
74	COG_FUNCTION	COG2518	Protein-L-isoaspartate O-methyltransferase	4.2e-119
74	COG_CATEGORY	O	O	0
75	COG_FUNCTION	COG5383	Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily	6.1e-19
75	COG_CATEGORY	R	R	0
76	COG_FUNCTION	COG3138	Arginine/ornithine N-succinyltransferase beta subunit	2.6e-217
76	COG_CATEGORY	E	E	0
77	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	5.4e-67
77	COG_CATEGORY	K	K	0
79	COG_FUNCTION	COG1022	Long-chain acyl-CoA synthetase (AMP-forming)	0
79	COG_CATEGORY	I	I	0
81	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	7.5e-167
81	COG_CATEGORY	K	K	0
82	COG_FUNCTION	COG4764	Uncharacterized protein	1.1e-141
82	COG_CATEGORY	S	S	0
84	COG_FUNCTION	COG1234	Ribonuclease BN, tRNA processing enzyme	5.4e-212
84	COG_CATEGORY	J	J	0
85	COG_FUNCTION	COG0006	Xaa-Pro aminopeptidase	7.2e-218
85	COG_CATEGORY	E	E	0
87	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	1.7e-45
87	COG_CATEGORY	O	O	0
88	COG_FUNCTION	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	5.1e-304
88	COG_CATEGORY	R	R	0
89	COG_FUNCTION	COG3310	Uncharacterized protein	6.4e-100
89	COG_CATEGORY	S	S	0
90	COG_FUNCTION	COG0421	Spermidine synthase	1.1e-83
90	COG_CATEGORY	E	E	0
91	COG_FUNCTION	COG0846	NAD-dependent protein deacetylase, SIR2 family	7.2e-178
91	COG_CATEGORY	O	O	0
92	COG_FUNCTION	COG0733	Na+-dependent transporter, SNF family	1e-255
92	COG_CATEGORY	R	R	0
93	COG_FUNCTION	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	3.9e-210
93	COG_CATEGORY	E	E	0
94	COG_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	1.1e-134
94	COG_CATEGORY	E	E	0
95	COG_FUNCTION	COG4541	Uncharacterized membrane protein	8.1e-20
95	COG_CATEGORY	S	S	0
96	COG_FUNCTION	COG2931!!!COG2931	Ca2+-binding protein, RTX toxin-related!!!Ca2+-binding protein, RTX toxin-related	3.6e-16
96	COG_CATEGORY	Q	Q	0
98	COG_FUNCTION	COG3360	Flavin-binding protein dodecin	2e-30
98	COG_CATEGORY	R	R	0
100	COG_FUNCTION	COG3146	Predicted N-acyltransferase	4.5e-196
100	COG_CATEGORY	R	R	0
102	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	9.8e-127
