gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	9.1e-15
0	COG_CATEGORY	V	V	0
1	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	2.8e-70
1	COG_CATEGORY	H	H	0
3	COG_FUNCTION	COG3547	Transposase	1.2e-85
3	COG_CATEGORY	X	X	0
5	COG_FUNCTION	COG3344	Retron-type reverse transcriptase	8e-100
5	COG_CATEGORY	X	X	0
6	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	2.9e-11
6	COG_CATEGORY	J	J	0
8	COG_FUNCTION	COG1521	Pantothenate kinase type III	1.4e-78
8	COG_CATEGORY	H	H	0
9	COG_FUNCTION	COG0340!!!COG1654	Biotin-(acetyl-CoA carboxylase) ligase!!!Biotin operon repressor	4.9e-132
9	COG_CATEGORY	H!!!K	H!!!K	0
10	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	2.8e-22
10	COG_CATEGORY	J	J	0
11	COG_FUNCTION	COG0480	Translation elongation factor EF-G, a GTPase	0
11	COG_CATEGORY	J	J	0
12	COG_FUNCTION	COG0049	Ribosomal protein S7	3.7e-77
12	COG_CATEGORY	J	J	0
13	COG_FUNCTION	COG0048	Ribosomal protein S12	4.6e-62
13	COG_CATEGORY	J	J	0
14	COG_FUNCTION	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	0
14	COG_CATEGORY	K	K	0
15	COG_FUNCTION	COG0085!!!COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit!!!DNA-directed RNA polymerase, beta subunit/140 kD subunit	0
15	COG_CATEGORY	K	K	0
16	COG_FUNCTION	COG0222	Ribosomal protein L7/L12	3.4e-28
16	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG0244	Ribosomal protein L10	1.7e-81
17	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG0081	Ribosomal protein L1	3.8e-118
18	COG_CATEGORY	J	J	0
19	COG_FUNCTION	COG0080	Ribosomal protein L11	1.3e-71
19	COG_CATEGORY	J	J	0
20	COG_FUNCTION	COG0250	Transcription antitermination factor NusG	3.8e-86
20	COG_CATEGORY	K	K	0
21	COG_FUNCTION	COG0690	Preprotein translocase subunit SecE	8.6e-53
21	COG_CATEGORY	U	U	0
22	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	1.5e-68
22	COG_CATEGORY	J	J	0
24	COG_FUNCTION	COG0162	Tyrosyl-tRNA synthetase	4.7e-209
24	COG_CATEGORY	J	J	0
25	COG_FUNCTION	COG0739!!!COG3061	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain!!!Cell envelope opacity-associated protein A (function unknown)	5.1e-207
25	COG_CATEGORY	S!!!M	S!!!M	0
26	COG_FUNCTION	COG2377	1,6-Anhydro-N-acetylmuramate kinase	8.8e-154
26	COG_CATEGORY	M	M	0
27	COG_FUNCTION	COG0316	Fe-S cluster assembly iron-binding protein IscA	3e-55
27	COG_CATEGORY	O	O	0
28	COG_FUNCTION	COG1664	Cytoskeletal protein CcmA, bactofilin family	2.2e-61
28	COG_CATEGORY	Z	Z	0
30	COG_FUNCTION	COG0002	N-acetyl-gamma-glutamylphosphate reductase	4e-191
30	COG_CATEGORY	E	E	0
31	COG_FUNCTION	COG0038	H+/Cl- antiporter ClcA	4.7e-298
31	COG_CATEGORY	P	P	0
32	COG_FUNCTION	COG1981	Uncharacterized membrane protein	8.8e-70
32	COG_CATEGORY	S	S	0
33	COG_FUNCTION	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	2.1e-101
33	COG_CATEGORY	H	H	0
34	COG_FUNCTION	COG0352	Thiamine monophosphate synthase	6.9e-85
34	COG_CATEGORY	H	H	0
35	COG_FUNCTION	COG0001	Glutamate-1-semialdehyde aminotransferase	3e-230
35	COG_CATEGORY	H	H	0
36	COG_FUNCTION	COG0457	Tetratricopeptide (TPR) repeat	3.9e-103
36	COG_CATEGORY	R	R	0
38	COG_FUNCTION	COG5662	Transmembrane transcriptional regulator (anti-sigma factor RsiW)	2.1e-52
38	COG_CATEGORY	K	K	0
39	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	2.7e-73
39	COG_CATEGORY	K	K	0
41	COG_FUNCTION	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	1.9e-54
41	COG_CATEGORY	W!!!U	W!!!U	0
42	COG_FUNCTION	COG0744	Membrane carboxypeptidase (penicillin-binding protein)	0
42	COG_CATEGORY	M	M	0
43	COG_FUNCTION	COG0645!!!COG2187	Predicted kinase!!!Aminoglycoside phosphotransferase family enzyme	2.3e-251
43	COG_CATEGORY	R	R	0
44	COG_FUNCTION	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	1e-45
44	COG_CATEGORY	P!!!Q	P!!!Q	0
45	COG_FUNCTION	COG1489	DNA-binding protein, stimulates sugar fermentation	2.4e-107
45	COG_CATEGORY	G!!!T	G!!!T	0
46	COG_FUNCTION	COG1734	RNA polymerase-binding transcription factor DksA	8.6e-76
46	COG_CATEGORY	J	J	0
47	COG_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	3.1e-133
47	COG_CATEGORY	J	J	0
49	COG_FUNCTION	COG0591!!!COG4191	Na+/proline symporter!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	0
49	COG_CATEGORY	T!!!E	T!!!E	0
50	COG_FUNCTION	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	1.8e-236
50	COG_CATEGORY	T	T	0
51	COG_FUNCTION	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	3.6e-229
51	COG_CATEGORY	J	J	0
52	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	2.2e-70
52	COG_CATEGORY	H	H	0
53	COG_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase	1.4e-132
53	COG_CATEGORY	H	H	0
54	COG_FUNCTION	COG0414	Panthothenate synthetase	1.5e-132
54	COG_CATEGORY	H	H	0
55	COG_FUNCTION	COG0166	Glucose-6-phosphate isomerase	1.3e-262
55	COG_CATEGORY	G	G	0
56	COG_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	4.1e-80
56	COG_CATEGORY	H	H	0
57	COG_FUNCTION	COG1539	Dihydroneopterin aldolase	1.1e-41
57	COG_CATEGORY	H	H	0
58	COG_FUNCTION	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	7.3e-86
58	COG_CATEGORY	I	I	0
59	COG_FUNCTION	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	5.3e-183
59	COG_CATEGORY	J	J	0
60	COG_FUNCTION	COG0828	Ribosomal protein S21	9.5e-28
60	COG_CATEGORY	J	J	0
61	COG_FUNCTION	COG0358	DNA primase (bacterial type)	3.7e-287
61	COG_CATEGORY	L	L	0
62	COG_FUNCTION	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	2.3e-303
62	COG_CATEGORY	K	K	0
65	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	9.9e-216
65	COG_CATEGORY	I	I	0
67	COG_FUNCTION	COG0243	Anaerobic selenocysteine-containing dehydrogenase	0
67	COG_CATEGORY	C	C	0
69	COG_FUNCTION	COG1639!!!COG2606	HD-like signal output (HDOD) domain, no enzymatic activity!!!Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	7.2e-153
69	COG_CATEGORY	J!!!T	J!!!T	0
70	COG_FUNCTION	COG1200	RecG-like helicase	0
70	COG_CATEGORY	L	L	0
71	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	2.4e-155
71	COG_CATEGORY	K	K	0
72	COG_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase	6e-121
72	COG_CATEGORY	M	M	0
73	COG_FUNCTION	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	1.6e-62
73	COG_CATEGORY	V	V	0
74	COG_FUNCTION	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	0
74	COG_CATEGORY	K!!!T	K!!!T	0
75	COG_FUNCTION	COG1758	DNA-directed RNA polymerase, subunit K/omega	1.4e-28
75	COG_CATEGORY	K	K	0
76	COG_FUNCTION	COG0194	Guanylate kinase	8.3e-96
76	COG_CATEGORY	F	F	0
77	COG_FUNCTION	COG0474	Magnesium-transporting ATPase (P-type)	4.2e-261
77	COG_CATEGORY	P	P	0
78	COG_FUNCTION	COG1561	Uncharacterized conserved protein YicC, UPF0701 family	8e-134
78	COG_CATEGORY	S	S	0
79	COG_FUNCTION	COG0689	Ribonuclease PH	5.6e-125
79	COG_CATEGORY	J	J	0
80	COG_FUNCTION	COG0708	Exonuclease III	1.9e-153
80	COG_CATEGORY	L	L	0
81	COG_FUNCTION	COG0461	Orotate phosphoribosyltransferase	2.7e-110
81	COG_CATEGORY	F	F	0
82	COG_FUNCTION	COG2433	Possible nuclease of RNase H fold, RuvC/YqgF family	7.7e-57
82	COG_CATEGORY	R	R	0
85	COG_FUNCTION	COG0258!!!COG0749	5'-3' exonuclease!!!DNA polymerase I - 3'-5' exonuclease and polymerase domains	0
85	COG_CATEGORY	L	L	0
87	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	1.1e-140
87	COG_CATEGORY	I	I	0
88	COG_FUNCTION	COG5008	Tfp pilus assembly protein, ATPase PilU	3.4e-201
88	COG_CATEGORY	W!!!N	W!!!N	0
89	COG_FUNCTION	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	1.4e-188
89	COG_CATEGORY	W!!!N	W!!!N	0
90	COG_FUNCTION	COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	1.6e-92
90	COG_CATEGORY	R	R	0
91	COG_FUNCTION	COG0345	Pyrroline-5-carboxylate reductase	4.9e-130
91	COG_CATEGORY	E	E	0
92	COG_FUNCTION	COG0762!!!COG0762	Uncharacterized conserved protein YggT, Ycf19 family!!!Uncharacterized conserved protein YggT, Ycf19 family	1.7e-87
92	COG_CATEGORY	S	S	0
93	COG_FUNCTION	COG0699	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)	0
93	COG_CATEGORY	L	L	0
94	COG_FUNCTION	COG2021	Homoserine acetyltransferase	9.4e-215
94	COG_CATEGORY	E	E	0
95	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	1.6e-109
95	COG_CATEGORY	H	H	0
97	COG_FUNCTION	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	3e-95
97	COG_CATEGORY	F	F	0
98	COG_FUNCTION	COG0635	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase	6.6e-168
98	COG_CATEGORY	H	H	0
100	COG_FUNCTION	COG0220	tRNA G46 methylase TrmB	5.2e-126
100	COG_CATEGORY	J	J	0
101	COG_FUNCTION	COG0606	Predicted ATPase with chaperone activity	1.5e-236
101	COG_CATEGORY	O	O	0
102	COG_FUNCTION	COG2960	Uncharacterized conserved protein YqiC, BMFP domain	5.7e-32
102	COG_CATEGORY	S	S	0
103	COG_FUNCTION	COG0347	Nitrogen regulatory protein PII	8.4e-55
103	COG_CATEGORY	E!!!T	E!!!T	0
104	COG_FUNCTION	COG0004	Ammonia channel protein AmtB	4.4e-197
104	COG_CATEGORY	P	P	0
106	COG_FUNCTION	COG0421	Spermidine synthase	3.4e-164
106	COG_CATEGORY	E	E	0
107	COG_FUNCTION	COG1166	Arginine decarboxylase (spermidine biosynthesis)	0
107	COG_CATEGORY	E	E	0
108	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	3.1e-92
108	COG_CATEGORY	K	K	0
109	COG_FUNCTION	COG3806	Anti-sigma factor ChrR, cupin superfamily	6.2e-107
109	COG_CATEGORY	T	T	0
110	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	9.4e-83
110	COG_CATEGORY	R!!!Q!!!I	R!!!Q!!!I	0
111	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	0
111	COG_CATEGORY	I	I	0
112	COG_FUNCTION	COG1179	tRNA A37 threonylcarbamoyladenosine dehydratase	1e-135
112	COG_CATEGORY	J	J	0
113	COG_FUNCTION	COG0025!!!COG1226	NhaP-type Na+/H+ or K+/H+ antiporter!!!Voltage-gated potassium channel Kch	2.2e-306
113	COG_CATEGORY	P	P	0
114	COG_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	2.8e-159
114	COG_CATEGORY	C!!!R	C!!!R	0
115	COG_FUNCTION	COG0824	Acyl-CoA thioesterase FadM	1.3e-72
115	COG_CATEGORY	I	I	0
116	COG_FUNCTION	COG3386	Sugar lactone lactonase YvrE	1.3e-186
116	COG_CATEGORY	G	G	0
117	COG_FUNCTION	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	3.4e-131
117	COG_CATEGORY	H!!!R	H!!!R	0
119	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	2.4e-156
119	COG_CATEGORY	K	K	0
120	COG_FUNCTION	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	1.7e-234
120	COG_CATEGORY	I	I	0
121	COG_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family	1.8e-104
121	COG_CATEGORY	K	K	0
122	COG_FUNCTION	COG1752!!!COG4775	Predicted acylesterase/phospholipase RssA, containd patatin domain!!!Outer membrane protein assembly factor BamA	0
122	COG_CATEGORY	M!!!R	M!!!R	0
125	COG_FUNCTION	COG0834!!!COG0834!!!COG2205	ABC-type amino acid transport/signal transduction system, periplasmic component/domain!!!ABC-type amino acid transport/signal transduction system, periplasmic component/domain!!!K+-sensing histidine kinase KdpD	0
