gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG1398!!!COG3464	Fatty-acid desaturase!!!Transposase	3.5e-23
1	COG_CATEGORY	I!!!X	I!!!X	0
3	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	6.7e-125
3	COG_CATEGORY	I	I	0
4	COG_FUNCTION	COG0263	Glutamate 5-kinase	6.3e-182
4	COG_CATEGORY	E	E	0
5	COG_FUNCTION	COG0191	Fructose/tagatose bisphosphate aldolase	3.3e-198
5	COG_CATEGORY	G	G	0
6	COG_FUNCTION	COG0621	tRNA A37 methylthiotransferase MiaB	2.7e-231
6	COG_CATEGORY	J	J	0
7	COG_FUNCTION	COG3203	Outer membrane protein (porin)	5.1e-173
7	COG_CATEGORY	M	M	0
9	COG_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	2.7e-155
9	COG_CATEGORY	G	G	0
10	COG_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	1.3e-79
10	COG_CATEGORY	G	G	0
11	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	6.7e-215
11	COG_CATEGORY	O	O	0
12	COG_FUNCTION	COG2077	Peroxiredoxin	2e-68
12	COG_CATEGORY	O	O	0
13	COG_FUNCTION	COG2814	Predicted arabinose efflux permease, MFS family	3e-171
13	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG0824	Acyl-CoA thioesterase FadM	1.3e-68
14	COG_CATEGORY	I	I	0
15	COG_FUNCTION	COG0534	Na+-driven multidrug efflux pump	2.1e-178
15	COG_CATEGORY	V	V	0
16	COG_FUNCTION	COG4977	Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain	3.7e-51
16	COG_CATEGORY	K	K	0
17	COG_FUNCTION	COG1643	HrpA-like RNA helicase	0
17	COG_CATEGORY	J	J	0
18	COG_FUNCTION	COG2067	Long-chain fatty acid transport protein	1e-122
18	COG_CATEGORY	I	I	0
19	COG_FUNCTION	COG5008	Tfp pilus assembly protein, ATPase PilU	4.3e-204
19	COG_CATEGORY	N!!!W	N!!!W	0
20	COG_FUNCTION	COG0242	Peptide deformylase	1.6e-14
20	COG_CATEGORY	J	J	0
21	COG_FUNCTION	COG1024!!!COG1250!!!COG1250	Enoyl-CoA hydratase/carnithine racemase!!!3-hydroxyacyl-CoA dehydrogenase!!!3-hydroxyacyl-CoA dehydrogenase	0
21	COG_CATEGORY	I	I	0
22	COG_FUNCTION	COG1523	Pullulanase/glycogen debranching enzyme	6.1e-237
22	COG_CATEGORY	G	G	0
24	COG_FUNCTION	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	3.8e-40
24	COG_CATEGORY	J	J	0
25	COG_FUNCTION	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	4.3e-249
25	COG_CATEGORY	J	J	0
26	COG_FUNCTION	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	2.2e-261
26	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG3203	Outer membrane protein (porin)	5.5e-34
28	COG_CATEGORY	M	M	0
29	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.9e-213
29	COG_CATEGORY	I	I	0
30	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	3.6e-66
30	COG_CATEGORY	Q	Q	0
31	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	3e-79
31	COG_CATEGORY	I!!!R!!!Q	I!!!R!!!Q	0
