gene_callers_id	source	accession	function	e_value
4	COG_FUNCTION	COG0493!!!COG1144	NADPH-dependent glutamate synthase beta chain or related oxidoreductase!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit	2.6e-210
4	COG_CATEGORY	E!!!C!!!R	E!!!C!!!R	0
5	COG_FUNCTION	COG0674!!!COG1013!!!COG1014!!!COG1146	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit!!!NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	0
5	COG_CATEGORY	F!!!C	F!!!C	0
6	COG_FUNCTION	COG0167	Dihydroorotate dehydrogenase	3.1e-116
6	COG_CATEGORY	F	F	0
7	COG_FUNCTION	COG2217!!!COG2608	Cation transport ATPase!!!Copper chaperone CopZ	7.6e-307
7	COG_CATEGORY	P	P	0
8	COG_FUNCTION	COG3004	Na+/H+ antiporter NhaA	4.7e-09
8	COG_CATEGORY	P!!!C	P!!!C	0
9	COG_FUNCTION	COG3004	Na+/H+ antiporter NhaA	2.3e-81
9	COG_CATEGORY	P!!!C	P!!!C	0
10	COG_FUNCTION	COG0058	Glucan phosphorylase	0
10	COG_CATEGORY	G	G	0
12	COG_FUNCTION	COG3957	Phosphoketolase	6.2e-70
12	COG_CATEGORY	G	G	0
13	COG_FUNCTION	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	5.4e-99
13	COG_CATEGORY	I	I	0
14	COG_FUNCTION	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	2.9e-10
14	COG_CATEGORY	J	J	0
15	COG_FUNCTION	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	2.9e-18
15	COG_CATEGORY	J	J	0
17	COG_FUNCTION	COG0729	Outer membrane translocation and assembly module TamA	0
17	COG_CATEGORY	M	M	0
18	COG_FUNCTION	COG2911	Autotransporter translocation and assembly factor TamB	0
18	COG_CATEGORY	U	U	0
19	COG_FUNCTION	COG2968	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain	5.5e-125
