gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG0593	Chromosomal replication initiation ATPase DnaA	2e-230
0	COG_CATEGORY	L	L	0
1	COG_FUNCTION	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	2.7e-187
1	COG_CATEGORY	L	L	0
2	COG_FUNCTION	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	2.3e-209
2	COG_CATEGORY	H!!!T	H!!!T	0
3	COG_FUNCTION	COG1195	Recombinational DNA repair ATPase RecF	7.4e-149
3	COG_CATEGORY	L	L	0
4	COG_FUNCTION	COG0187!!!COG0187	DNA gyrase/topoisomerase IV, subunit B!!!DNA gyrase/topoisomerase IV, subunit B	0
4	COG_CATEGORY	L	L	0
6	COG_FUNCTION	COG0160	4-aminobutyrate aminotransferase or related aminotransferase	1.2e-218
6	COG_CATEGORY	E	E	0
7	COG_FUNCTION	COG1132	ABC-type multidrug transport system, ATPase and permease component	8.3e-239
7	COG_CATEGORY	V	V	0
8	COG_FUNCTION	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	8.3e-266
8	COG_CATEGORY	O	O	0
9	COG_FUNCTION	COG2010!!!COG2010	Cytochrome c, mono- and diheme variants!!!Cytochrome c, mono- and diheme variants	4.9e-71
9	COG_CATEGORY	C	C	0
11	COG_FUNCTION	COG0243	Anaerobic selenocysteine-containing dehydrogenase	5.5e-300
11	COG_CATEGORY	C	C	0
12	COG_FUNCTION	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	8.4e-175
12	COG_CATEGORY	L	L	0
13	COG_FUNCTION	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	8e-82
13	COG_CATEGORY	L	L	0
14	COG_FUNCTION	COG1074	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	0
14	COG_CATEGORY	L	L	0
15	COG_FUNCTION	COG1330	Exonuclease V gamma subunit	0
15	COG_CATEGORY	L	L	0
18	COG_FUNCTION	COG2176	DNA polymerase III, alpha subunit (gram-positive type)	1.6e-16
18	COG_CATEGORY	L	L	0
19	COG_FUNCTION	COG1199	Rad3-related DNA helicase	0
19	COG_CATEGORY	L	L	0
20	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	1.2e-49
20	COG_CATEGORY	Q	Q	0
21	COG_FUNCTION	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	1.9e-192
21	COG_CATEGORY	I	I	0
22	COG_FUNCTION	COG4117	Thiosulfate reductase cytochrome b subunit	5.2e-63
22	COG_CATEGORY	P	P	0
24	COG_FUNCTION	COG0607	Rhodanese-related sulfurtransferase	6.4e-68
24	COG_CATEGORY	P	P	0
25	COG_FUNCTION	COG1566	Multidrug resistance efflux pump	3.3e-75
25	COG_CATEGORY	V	V	0
26	COG_FUNCTION	COG0842!!!COG1131!!!COG1131	ABC-type multidrug transport system, permease component!!!ABC-type multidrug transport system, ATPase component!!!ABC-type multidrug transport system, ATPase component	0
26	COG_CATEGORY	V	V	0
27	COG_FUNCTION	COG0842!!!COG1511	ABC-type multidrug transport system, permease component!!!Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	4.4e-116
27	COG_CATEGORY	S!!!V	S!!!V	0
28	COG_FUNCTION	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	4e-48
28	COG_CATEGORY	V	V	0
29	COG_FUNCTION	COG3703	Cation transport regulator ChaC	2.3e-78
29	COG_CATEGORY	P	P	0
30	COG_FUNCTION	COG1058	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	1.1e-78
30	COG_CATEGORY	R	R	0
31	COG_FUNCTION	COG0241	Histidinol phosphatase or a related phosphatase	2.5e-69
31	COG_CATEGORY	E	E	0
32	COG_FUNCTION	COG0751	Glycyl-tRNA synthetase, beta subunit	0
32	COG_CATEGORY	J	J	0
33	COG_FUNCTION	COG0752	Glycyl-tRNA synthetase, alpha subunit	4.2e-169
33	COG_CATEGORY	J	J	0
34	COG_FUNCTION	COG0569!!!COG0569	Trk K+ transport system, NAD-binding component!!!Trk K+ transport system, NAD-binding component	1.3e-231
34	COG_CATEGORY	P	P	0
35	COG_FUNCTION	COG0144!!!COG0781	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family!!!Transcription termination factor NusB	9.6e-208
35	COG_CATEGORY	J!!!K	J!!!K	0
36	COG_FUNCTION	COG0223	Methionyl-tRNA formyltransferase	4e-126
36	COG_CATEGORY	J	J	0
37	COG_FUNCTION	COG0242	Peptide deformylase	1.1e-74
37	COG_CATEGORY	J	J	0
39	COG_FUNCTION	COG1652	Nucleoid-associated protein YgaU, contains BON and LysM domains	1.1e-155
39	COG_CATEGORY	S	S	0
40	COG_FUNCTION	COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	1.9e-133
40	COG_CATEGORY	L	L	0
41	COG_FUNCTION	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	1.2e-61
41	COG_CATEGORY	J	J	0
42	COG_FUNCTION	COG0408	Coproporphyrinogen III oxidase	3.1e-128
42	COG_CATEGORY	H	H	0
43	COG_FUNCTION	COG0169	Shikimate 5-dehydrogenase	3.4e-97
43	COG_CATEGORY	E	E	0
44	COG_FUNCTION	COG1291	Flagellar motor component MotA	2.9e-103
44	COG_CATEGORY	N	N	0
45	COG_FUNCTION	COG1360	Flagellar motor protein MotB	2.2e-86
45	COG_CATEGORY	N	N	0
46	COG_FUNCTION	COG0663	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	1.2e-58
46	COG_CATEGORY	R	R	0
47	COG_FUNCTION	COG0339	Zn-dependent oligopeptidase	0
47	COG_CATEGORY	E	E	0
48	COG_FUNCTION	COG3529	Predicted nucleic-acid-binding protein, contains Zn-ribbon domain	5.8e-21
48	COG_CATEGORY	R	R	0
49	COG_FUNCTION	COG2056	Predicted histidine transporter YuiF, NhaC family	2.6e-160
49	COG_CATEGORY	E	E	0
50	COG_FUNCTION	COG4728	Uncharacterized protein	5.7e-31
50	COG_CATEGORY	S	S	0
51	COG_FUNCTION	COG2199!!!COG2200	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	2e-288
51	COG_CATEGORY	T	T	0
52	COG_FUNCTION	COG3794	Plastocyanin	1.4e-12
52	COG_CATEGORY	C	C	0
53	COG_FUNCTION	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	6.3e-38
53	COG_CATEGORY	S	S	0
55	COG_FUNCTION	COG0534	Na+-driven multidrug efflux pump	1.2e-192
55	COG_CATEGORY	V	V	0
56	COG_FUNCTION	COG1622!!!COG2010	Heme/copper-type cytochrome/quinol oxidase, subunit 2!!!Cytochrome c, mono- and diheme variants	4.2e-175
56	COG_CATEGORY	C	C	0
57	COG_FUNCTION	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	1.1e-290
57	COG_CATEGORY	C	C	0
