gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	4.1e-24
1	COG_CATEGORY	X	X	0
2	COG_FUNCTION	COG1538	Outer membrane protein TolC	1.7e-214
2	COG_CATEGORY	M	M	0
3	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	4e-195
3	COG_CATEGORY	M!!!V	M!!!V	0
4	COG_FUNCTION	COG3696	Cu/Ag efflux pump CusA	0
4	COG_CATEGORY	P	P	0
5	COG_FUNCTION	COG2205	K+-sensing histidine kinase KdpD	1.2e-237
5	COG_CATEGORY	T	T	0
8	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	1.2e-116
8	COG_CATEGORY	K!!!T	K!!!T	0
9	COG_FUNCTION	COG0642	Signal transduction histidine kinase	7.4e-224
9	COG_CATEGORY	T	T	0
11	COG_FUNCTION	COG2081	Predicted flavoprotein YhiN	9.8e-199
11	COG_CATEGORY	R	R	0
12	COG_FUNCTION	COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily	2.3e-114
12	COG_CATEGORY	R	R	0
14	COG_FUNCTION	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	7.7e-227
14	COG_CATEGORY	E!!!K	E!!!K	0
15	COG_FUNCTION	COG4566	Two-component response regulator, FixJ family, consists of REC and HTH domains	2e-92
15	COG_CATEGORY	K!!!T	K!!!T	0
16	COG_FUNCTION	COG2202!!!COG4191	PAS domain!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	2e-185
16	COG_CATEGORY	T	T	0
17	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	7.1e-309
17	COG_CATEGORY	I!!!Q	I!!!Q	0
18	COG_FUNCTION	COG2252	Xanthine/uracil/vitamin C permease, AzgA family	1.1e-166
18	COG_CATEGORY	F	F	0
19	COG_FUNCTION	COG0642	Signal transduction histidine kinase	5.1e-143
19	COG_CATEGORY	T	T	0
20	COG_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	3.3e-103
20	COG_CATEGORY	K!!!T	K!!!T	0
21	COG_FUNCTION	COG4097	Predicted ferric reductase	3.6e-138
21	COG_CATEGORY	P	P	0
22	COG_FUNCTION	COG5591	Uncharacterized protein	4.7e-20
22	COG_CATEGORY	S	S	0
24	COG_FUNCTION	COG0369!!!COG3182	Sulfite reductase, alpha subunit (flavoprotein)!!!Uncharacterized iron-regulated membrane protein	9.6e-256
24	COG_CATEGORY	P!!!S	P!!!S	0
25	COG_FUNCTION	COG3687	Predicted metal-dependent hydrolase	7e-143
25	COG_CATEGORY	R	R	0
26	COG_FUNCTION	COG1307	Fatty acid-binding protein DegV (function unknown)	1.6e-151
26	COG_CATEGORY	I	I	0
28	COG_FUNCTION	COG1146	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	5.4e-59
28	COG_CATEGORY	F	F	0
29	COG_FUNCTION	COG0249	DNA mismatch repair ATPase MutS	0
29	COG_CATEGORY	L	L	0
