gene_callers_id	source	accession	function	e_value
3	COG_FUNCTION	COG1086!!!COG2148	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC!!!Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	5e-159
3	COG_CATEGORY	M!!!O	M!!!O	0
6	COG_FUNCTION	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	3.7e-91
6	COG_CATEGORY	M	M	0
7	COG_FUNCTION	COG1086!!!COG2148	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC!!!Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	1.2e-52
7	COG_CATEGORY	M!!!O	M!!!O	0
10	COG_FUNCTION	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	6.9e-78
10	COG_CATEGORY	M	M	0
11	COG_FUNCTION	COG1216	Glycosyltransferase, GT2 family	1.6e-39
11	COG_CATEGORY	G	G	0
12	COG_FUNCTION	COG2161	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family	2.2e-28
12	COG_CATEGORY	V	V	0
13	COG_FUNCTION	COG2755	Lysophospholipase L1 or related esterase	8.4e-72
13	COG_CATEGORY	E	E	0
14	COG_FUNCTION	COG2154	Pterin-4a-carbinolamine dehydratase	2e-23
14	COG_CATEGORY	H	H	0
19	COG_FUNCTION	COG1959	DNA-binding transcriptional regulator, IscR family	1.4e-20
19	COG_CATEGORY	K	K	0
20	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	2.1e-44
20	COG_CATEGORY	X	X	0
21	COG_FUNCTION	COG3385	IS4 transposase	1.6e-45
21	COG_CATEGORY	X	X	0
23	COG_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	2.1e-11
23	COG_CATEGORY	K	K	0
27	COG_FUNCTION	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	1.4e-31
27	COG_CATEGORY	J	J	0
28	COG_FUNCTION	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	4.5e-18
28	COG_CATEGORY	J	J	0
29	COG_FUNCTION	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	3.4e-30
29	COG_CATEGORY	J	J	0
30	COG_FUNCTION	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	2.3e-24
30	COG_CATEGORY	J	J	0
31	COG_FUNCTION	COG0172	Seryl-tRNA synthetase	3.1e-16
31	COG_CATEGORY	J	J	0
34	COG_FUNCTION	COG3609	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain	4.3e-26
34	COG_CATEGORY	K	K	0
35	COG_FUNCTION	COG2193	Bacterioferritin (cytochrome b1)	7.1e-78
35	COG_CATEGORY	P	P	0
36	COG_FUNCTION	COG0209	Ribonucleotide reductase alpha subunit	1.3e-178
36	COG_CATEGORY	F	F	0
37	COG_FUNCTION	COG0209	Ribonucleotide reductase alpha subunit	8.2e-62
37	COG_CATEGORY	F	F	0
38	COG_FUNCTION	COG2203!!!COG3706	GAF domain!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	7.4e-89
38	COG_CATEGORY	K!!!T	K!!!T	0
39	COG_FUNCTION	COG3547	Transposase	1.4e-133
39	COG_CATEGORY	X	X	0
41	COG_FUNCTION	COG3335!!!COG3415	Transposase!!!Transposase	1.1e-72
41	COG_CATEGORY	X	X	0
43	COG_FUNCTION	COG0520	Selenocysteine lyase/Cysteine desulfurase	7.9e-121
43	COG_CATEGORY	E	E	0
44	COG_FUNCTION	COG1875	Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	3.5e-173
44	COG_CATEGORY	R	R	0
45	COG_FUNCTION	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	4.1e-113
45	COG_CATEGORY	J	J	0
46	COG_FUNCTION	COG3216	Uncharacterized conserved protein, DUF2062 family	1.1e-20
46	COG_CATEGORY	S	S	0
47	COG_FUNCTION	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	1.9e-55
47	COG_CATEGORY	J	J	0
48	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	1.1e-34
48	COG_CATEGORY	O	O	0
49	COG_FUNCTION	COG2902	NAD-specific glutamate dehydrogenase	0
49	COG_CATEGORY	E	E	0
51	COG_FUNCTION	COG3039	Transposase and inactivated derivatives, IS5 family	6.2e-95
51	COG_CATEGORY	X	X	0
52	COG_FUNCTION	COG3039	Transposase and inactivated derivatives, IS5 family	5.9e-20
52	COG_CATEGORY	X	X	0
54	COG_FUNCTION	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	2.4e-24
54	COG_CATEGORY	C	C	0
55	COG_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase	2e-110
55	COG_CATEGORY	H	H	0
56	COG_FUNCTION	COG0559	Branched-chain amino acid ABC-type transport system, permease component	5.2e-33
56	COG_CATEGORY	E	E	0
57	COG_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component	8.1e-53
57	COG_CATEGORY	E	E	0
58	COG_FUNCTION	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	1.5e-70
58	COG_CATEGORY	E	E	0
59	COG_FUNCTION	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	3.2e-72
59	COG_CATEGORY	E	E	0
60	COG_FUNCTION	COG3677	Transposase	1.1e-99
60	COG_CATEGORY	X	X	0
62	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	7.4e-32
62	COG_CATEGORY	Q	Q	0
63	COG_FUNCTION	COG3917	2-hydroxychromene-2-carboxylate isomerase	3.5e-72
63	COG_CATEGORY	Q	Q	0
64	COG_FUNCTION	COG3173	Predicted  kinase, aminoglycoside phosphotransferase (APT) family	1.3e-143
64	COG_CATEGORY	R	R	0
65	COG_FUNCTION	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	6.7e-118
65	COG_CATEGORY	R	R	0
66	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	6.3e-79
66	COG_CATEGORY	I!!!Q	I!!!Q	0
67	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	1e-69
67	COG_CATEGORY	I!!!Q	I!!!Q	0
69	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	1e-144
69	COG_CATEGORY	I!!!Q	I!!!Q	0
70	COG_FUNCTION	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	8.7e-67
70	COG_CATEGORY	I!!!Q	I!!!Q	0
71	COG_FUNCTION	COG2030	Acyl dehydratase	5.5e-41
71	COG_CATEGORY	I	I	0
72	COG_FUNCTION	COG2030	Acyl dehydratase	2.9e-24
72	COG_CATEGORY	I	I	0
73	COG_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	1e-103
73	COG_CATEGORY	Q	Q	0
75	COG_FUNCTION	COG3119	Arylsulfatase A or related enzyme	1.1e-267
75	COG_CATEGORY	P	P	0
76	COG_FUNCTION	COG3344	Retron-type reverse transcriptase	7e-42
76	COG_CATEGORY	X	X	0
77	COG_FUNCTION	COG0225	Peptide methionine sulfoxide reductase MsrA	3.4e-73
77	COG_CATEGORY	O	O	0
78	COG_FUNCTION	COG3119	Arylsulfatase A or related enzyme	8.3e-249
78	COG_CATEGORY	P	P	0
79	COG_FUNCTION	COG3119	Arylsulfatase A or related enzyme	5.5e-140
79	COG_CATEGORY	P	P	0
81	COG_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	6.9e-29
81	COG_CATEGORY	Q	Q	0
82	COG_FUNCTION	COG5523	Uncharacterized membrane protein	4.2e-09
82	COG_CATEGORY	S	S	0
84	COG_FUNCTION	COG0031!!!COG3620	Cysteine synthase!!!Predicted transcriptional regulator with C-terminal CBS domains	3.5e-232
84	COG_CATEGORY	E!!!K	E!!!K	0
88	COG_FUNCTION	COG4974	Site-specific recombinase XerD	9.2e-31
88	COG_CATEGORY	L	L	0
89	COG_FUNCTION	COG4704	Uncharacterized conserved protein, DUF2141 family	4.5e-23
89	COG_CATEGORY	S	S	0
90	COG_FUNCTION	COG1450	Type II secretory pathway component GspD/PulD (secretin)	2e-40
90	COG_CATEGORY	U	U	0
91	COG_FUNCTION	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	1.9e-147
91	COG_CATEGORY	N!!!U!!!W	N!!!U!!!W	0
92	COG_FUNCTION	COG1459	Type II secretory pathway, component PulF	1.7e-30
92	COG_CATEGORY	N!!!U!!!W	N!!!U!!!W	0
93	COG_FUNCTION	COG1459	Type II secretory pathway, component PulF	6.1e-17
93	COG_CATEGORY	N!!!U!!!W	N!!!U!!!W	0
94	COG_FUNCTION	COG2165	Type II secretory pathway, pseudopilin PulG	2e-43
94	COG_CATEGORY	N!!!U!!!W	N!!!U!!!W	0
95	COG_FUNCTION	COG4970	Tfp pilus assembly protein FimT	3.8e-06
95	COG_CATEGORY	N!!!W	N!!!W	0
96	COG_FUNCTION	COG4967	Tfp pilus assembly protein PilV	1.7e-08
96	COG_CATEGORY	N!!!W	N!!!W	0
97	COG_FUNCTION	COG4795	Type II secretory pathway, component PulJ	2.3e-07
97	COG_CATEGORY	U	U	0
98	COG_FUNCTION	COG3156	Type II secretory pathway, component PulK	2.4e-27
98	COG_CATEGORY	U	U	0
102	COG_FUNCTION	COG0466	ATP-dependent Lon protease, bacterial type	2.2e-245
102	COG_CATEGORY	O	O	0
103	COG_FUNCTION	COG0180	Tryptophanyl-tRNA synthetase	1.2e-122
103	COG_CATEGORY	J	J	0
107	COG_FUNCTION	COG4147!!!COG4147	Na+(or H+)/acetate symporter ActP!!!Na+(or H+)/acetate symporter ActP	2.5e-39
107	COG_CATEGORY	C	C	0
109	COG_FUNCTION	COG0242	Peptide deformylase	3.2e-50
109	COG_CATEGORY	J	J	0
110	COG_FUNCTION	COG2716	Glycine cleavage system regulatory protein	6.2e-52
110	COG_CATEGORY	E	E	0
113	COG_FUNCTION	COG4108	Peptide chain release factor RF-3	2.4e-237
113	COG_CATEGORY	J	J	0
115	COG_FUNCTION	COG3391!!!COG3391	DNA-binding beta-propeller fold protein YncE!!!DNA-binding beta-propeller fold protein YncE	2.6e-51
115	COG_CATEGORY	R	R	0
118	COG_FUNCTION	COG1462	Curli biogenesis system outer membrane secretion channel CsgG	6.7e-34
118	COG_CATEGORY	M	M	0
121	COG_FUNCTION	COG0760	Parvulin-like peptidyl-prolyl isomerase	1.5e-58
121	COG_CATEGORY	O	O	0
125	COG_FUNCTION	COG3386	Sugar lactone lactonase YvrE	1.5e-47
125	COG_CATEGORY	G	G	0
130	COG_FUNCTION	COG1278	Cold shock protein, CspA family	2.9e-23
130	COG_CATEGORY	K	K	0
132	COG_FUNCTION	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	9.9e-109
132	COG_CATEGORY	H	H	0
134	COG_FUNCTION	COG0783!!!COG3039	DNA-binding ferritin-like protein (oxidative damage protectant)!!!Transposase and inactivated derivatives, IS5 family	2.5e-45
134	COG_CATEGORY	V!!!X!!!P	V!!!X!!!P	0
143	COG_FUNCTION	COG3547	Transposase	3.6e-69
143	COG_CATEGORY	X	X	0
144	COG_FUNCTION	COG5421	Transposase	7.5e-16
144	COG_CATEGORY	X	X	0
145	COG_FUNCTION	COG3361	Uncharacterized protein YqjF, DUF2071 family	2.2e-84
145	COG_CATEGORY	S	S	0
146	COG_FUNCTION	COG5499	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain	3.7e-39
146	COG_CATEGORY	V	V	0
147	COG_FUNCTION	COG4680	mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module	1.1e-50
147	COG_CATEGORY	J	J	0
148	COG_FUNCTION	COG3385	IS4 transposase	2e-35
148	COG_CATEGORY	X	X	0
149	COG_FUNCTION	COG3385	IS4 transposase	1e-08
149	COG_CATEGORY	X	X	0
151	COG_FUNCTION	COG1115	Na+/alanine symporter	1.1e-178
151	COG_CATEGORY	E	E	0
152	COG_FUNCTION	COG3666	Transposase	2.1e-46
152	COG_CATEGORY	X	X	0
154	COG_FUNCTION	COG1629	Outer membrane receptor proteins, mostly Fe transport	0
154	COG_CATEGORY	P	P	0
155	COG_FUNCTION	COG3537	Putative alpha-1,2-mannosidase	5.3e-48
155	COG_CATEGORY	G	G	0
156	COG_FUNCTION	COG3537	Putative alpha-1,2-mannosidase	2.1e-35
156	COG_CATEGORY	G	G	0
157	COG_FUNCTION	COG3537	Putative alpha-1,2-mannosidase	6.3e-238
157	COG_CATEGORY	G	G	0
158	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1.2e-48
158	COG_CATEGORY	M	M	0
159	COG_FUNCTION	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	1.5e-31
159	COG_CATEGORY	N	N	0
161	COG_FUNCTION	COG2520	tRNA G37 N-methylase Trm5	4.1e-13
161	COG_CATEGORY	J	J	0
162	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1.3e-30
162	COG_CATEGORY	M	M	0
163	COG_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis	2.1e-110
163	COG_CATEGORY	M	M	0
164	COG_FUNCTION	COG0457	Tetratricopeptide (TPR) repeat	2e-60
164	COG_CATEGORY	R	R	0
165	COG_FUNCTION	COG4969	Tfp pilus assembly protein, major pilin PilA	2.2e-31
165	COG_CATEGORY	N!!!W	N!!!W	0
166	COG_FUNCTION	COG0864!!!COG1598	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain!!!Predicted nuclease of the RNAse H fold, HicB family	7.5e-32
166	COG_CATEGORY	V!!!K	V!!!K	0
167	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	5.7e-29
167	COG_CATEGORY	X	X	0
168	COG_FUNCTION	COG3905	Predicted transcriptional regulator	3.5e-16
168	COG_CATEGORY	K	K	0
169	COG_FUNCTION	COG3668	Plasmid stabilization system protein ParE	5e-27
169	COG_CATEGORY	X	X	0
170	COG_FUNCTION	COG1396	Transcriptional regulator, contains XRE-family HTH domain	1.3e-22
170	COG_CATEGORY	K	K	0
171	COG_FUNCTION	COG3620	Predicted transcriptional regulator with C-terminal CBS domains	1.6e-22
171	COG_CATEGORY	K	K	0
173	COG_FUNCTION	COG3041	mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module	1.8e-31
173	COG_CATEGORY	J	J	0
174	COG_FUNCTION	COG3077	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module	2.4e-25
174	COG_CATEGORY	V	V	0
175	COG_FUNCTION	COG1285	Uncharacterized membrane protein YhiD, involved in acid resistance	4e-45
175	COG_CATEGORY	S	S	0
177	COG_FUNCTION	COG3620	Predicted transcriptional regulator with C-terminal CBS domains	2.3e-19
177	COG_CATEGORY	K	K	0
178	COG_FUNCTION	COG2161	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family	3.4e-21
178	COG_CATEGORY	V	V	0
179	COG_FUNCTION	COG3668	Plasmid stabilization system protein ParE	6.6e-40
179	COG_CATEGORY	X	X	0
180	COG_FUNCTION	COG3905	Predicted transcriptional regulator	4e-39
180	COG_CATEGORY	K	K	0
181	COG_FUNCTION	COG2062	Phosphohistidine phosphatase SixA	1.1e-65
