gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG1388	LysM repeat	5.8e-68
0	COG_CATEGORY	M	M	0
5	COG_FUNCTION	COG2771!!!COG4584	DNA-binding transcriptional regulator, CsgD family!!!Transposase	2e-24
5	COG_CATEGORY	X!!!K	X!!!K	0
6	COG_FUNCTION	COG2771!!!COG4584	DNA-binding transcriptional regulator, CsgD family!!!Transposase	1.2e-242
6	COG_CATEGORY	X!!!K	X!!!K	0
7	COG_FUNCTION	COG1484	DNA replication protein DnaC	1.6e-125
7	COG_CATEGORY	L	L	0
12	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	7.2e-253
12	COG_CATEGORY	X!!!U!!!R	X!!!U!!!R	0
13	COG_FUNCTION	COG0297	Glycogen synthase	6.8e-64
13	COG_CATEGORY	G	G	0
14	COG_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis	3.9e-27
14	COG_CATEGORY	M	M	0
15	COG_FUNCTION	COG3677	Transposase	7.4e-85
15	COG_CATEGORY	X	X	0
17	COG_FUNCTION	COG3039	Transposase and inactivated derivatives, IS5 family	2.8e-12
17	COG_CATEGORY	X	X	0
18	COG_FUNCTION	COG4930	Predicted ATP-dependent Lon-type protease	2.5e-41
18	COG_CATEGORY	O	O	0
19	COG_FUNCTION	COG4930	Predicted ATP-dependent Lon-type protease	8.2e-144
19	COG_CATEGORY	O	O	0
21	COG_FUNCTION	COG2826	Transposase and inactivated derivatives, IS30 family	4.4e-19
21	COG_CATEGORY	X	X	0
22	COG_FUNCTION	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	7.3e-164
22	COG_CATEGORY	K!!!E	K!!!E	0
23	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	3.6e-119
23	COG_CATEGORY	R!!!G!!!E	R!!!G!!!E	0
24	COG_FUNCTION	COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3.5e-45
24	COG_CATEGORY	O	O	0
25	COG_FUNCTION	COG0476!!!COG0607	Molybdopterin or thiamine biosynthesis adenylyltransferase!!!Rhodanese-related sulfurtransferase	3.4e-142
25	COG_CATEGORY	H!!!P	H!!!P	0
26	COG_FUNCTION	COG0031	Cysteine synthase	6.4e-113
26	COG_CATEGORY	E	E	0
27	COG_FUNCTION	COG1045	Serine acetyltransferase	2.7e-53
27	COG_CATEGORY	E	E	0
28	COG_FUNCTION	COG2872	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)	1.9e-56
28	COG_CATEGORY	J	J	0
29	COG_FUNCTION	COG3677	Transposase	6.2e-74
29	COG_CATEGORY	X	X	0
31	COG_FUNCTION	COG0635	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase	1.1e-85
31	COG_CATEGORY	H	H	0
32	COG_FUNCTION	COG0635	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase	4.4e-109
32	COG_CATEGORY	H	H	0
33	COG_FUNCTION	COG3046	Uncharacterized protein related to deoxyribodipyrimidine photolyase	2.1e-262
33	COG_CATEGORY	R	R	0
34	COG_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family	1.3e-56
34	COG_CATEGORY	K	K	0
35	COG_FUNCTION	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	1.4e-54
35	COG_CATEGORY	Q	Q	0
36	COG_FUNCTION	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	8.5e-22
36	COG_CATEGORY	Q	Q	0
37	COG_FUNCTION	COG0431	NAD(P)H-dependent FMN reductase	2.5e-40
37	COG_CATEGORY	C	C	0
38	COG_FUNCTION	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	9.5e-60
38	COG_CATEGORY	S	S	0
39	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1.4e-115
39	COG_CATEGORY	K	K	0
40	COG_FUNCTION	COG1230	Co/Zn/Cd efflux system component	7.9e-78
40	COG_CATEGORY	P	P	0
41	COG_FUNCTION	COG2010	Cytochrome c, mono- and diheme variants	7.5e-59
41	COG_CATEGORY	C	C	0
42	COG_FUNCTION	COG3256	Nitric oxide reductase large subunit	6.1e-216
42	COG_CATEGORY	P	P	0
43	COG_FUNCTION	COG0348	Polyferredoxin	1.1e-35
43	COG_CATEGORY	C	C	0
45	COG_FUNCTION	COG4548	Nitric oxide reductase activation protein	2.3e-64
45	COG_CATEGORY	P	P	0
46	COG_FUNCTION	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	1.9e-38
46	COG_CATEGORY	C	C	0
49	COG_FUNCTION	COG0714	MoxR-like ATPase	2.2e-106
49	COG_CATEGORY	R	R	0
50	COG_FUNCTION	COG3336	Cytochrome c oxidase assembly factor CtaG	1.5e-124
50	COG_CATEGORY	C!!!O	C!!!O	0
51	COG_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	2.2e-14
51	COG_CATEGORY	O	O	0
53	COG_FUNCTION	COG1292	Choline-glycine betaine transporter	1.2e-35
53	COG_CATEGORY	M	M	0
54	COG_FUNCTION	COG1292	Choline-glycine betaine transporter	1.3e-86
54	COG_CATEGORY	M	M	0
55	COG_FUNCTION	COG0679	Predicted permease	2e-102
55	COG_CATEGORY	R	R	0
56	COG_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	1.2e-31
56	COG_CATEGORY	T	T	0
57	COG_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	5.3e-27
57	COG_CATEGORY	T	T	0
59	COG_FUNCTION	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	3.8e-62
59	COG_CATEGORY	R!!!C!!!H	R!!!C!!!H	0
60	COG_FUNCTION	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	3.9e-40
60	COG_CATEGORY	R!!!C!!!H	R!!!C!!!H	0
61	COG_FUNCTION	COG3213	Uncharacterized protein involved in response to NO	1.3e-49
61	COG_CATEGORY	V	V	0
