gene_callers_id	source	accession	function	e_value
2	COG_FUNCTION	COG2801!!!COG2963	Transposase InsO and inactivated derivatives!!!Transposase and inactivated derivatives	3.2e-31
2	COG_CATEGORY	X	X	0
3	COG_FUNCTION	COG2801!!!COG2963	Transposase InsO and inactivated derivatives!!!Transposase and inactivated derivatives	1.5e-115
3	COG_CATEGORY	X	X	0
4	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	1.3e-144
4	COG_CATEGORY	X	X	0
5	COG_FUNCTION	COG2963	Transposase and inactivated derivatives	4.1e-24
5	COG_CATEGORY	X	X	0
9	COG_FUNCTION	COG2801	Transposase InsO and inactivated derivatives	4.9e-52
9	COG_CATEGORY	X	X	0
11	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	1.2e-68
11	COG_CATEGORY	X	X	0
12	COG_FUNCTION	COG2303	Choline dehydrogenase or related flavoprotein	2.4e-152
12	COG_CATEGORY	I!!!R	I!!!R	0
14	COG_FUNCTION	COG0300	Short-chain dehydrogenase	5.7e-36
14	COG_CATEGORY	R	R	0
16	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	1.5e-30
16	COG_CATEGORY	X	X	0
17	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	4.5e-16
17	COG_CATEGORY	X	X	0
18	COG_FUNCTION	COG3239	Fatty acid desaturase	1.7e-95
18	COG_CATEGORY	I	I	0
19	COG_FUNCTION	COG3239	Fatty acid desaturase	9.4e-78
19	COG_CATEGORY	I	I	0
20	COG_FUNCTION	COG3239	Fatty acid desaturase	8.3e-80
20	COG_CATEGORY	I	I	0
21	COG_FUNCTION	COG3327	DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)	6e-64
21	COG_CATEGORY	K	K	0
22	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	2e-114
22	COG_CATEGORY	I	I	0
28	COG_FUNCTION	COG1011	FMN phosphatase YigB, HAD superfamily	7.3e-50
28	COG_CATEGORY	H	H	0
31	COG_FUNCTION	COG0457!!!COG0457	Tetratricopeptide (TPR) repeat!!!Tetratricopeptide (TPR) repeat	8.7e-89
31	COG_CATEGORY	R	R	0
32	COG_FUNCTION	COG3431	Uncharacterized membrane protein, DUF373 family	3.6e-37
32	COG_CATEGORY	S	S	0
34	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	9.6e-93
34	COG_CATEGORY	K	K	0
35	COG_FUNCTION	COG2730	Aryl-phospho-beta-D-glucosidase BglC, GH1 family	5.4e-112
35	COG_CATEGORY	G	G	0
36	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1e-40
36	COG_CATEGORY	K	K	0
37	COG_FUNCTION	COG1061	Superfamily II DNA or RNA helicase	1.8e-310
37	COG_CATEGORY	K!!!L	K!!!L	0
38	COG_FUNCTION	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	1.1e-84
38	COG_CATEGORY	O	O	0
39	COG_FUNCTION	COG1610	Uncharacterized conserved protein YqeY	1.7e-55
39	COG_CATEGORY	S	S	0
42	COG_FUNCTION	COG2258	Uncharacterized conserved protein YiiM, contains MOSC domain	7.2e-58
42	COG_CATEGORY	S	S	0
43	COG_FUNCTION	COG3119	Arylsulfatase A or related enzyme	1.6e-148
43	COG_CATEGORY	P	P	0
44	COG_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	2e-131
44	COG_CATEGORY	I	I	0
45	COG_FUNCTION	COG0778	Nitroreductase	1.8e-59
45	COG_CATEGORY	C	C	0
46	COG_FUNCTION	COG0693	Putative intracellular protease/amidase	9.6e-83
46	COG_CATEGORY	R	R	0
47	COG_FUNCTION	COG4321	Predicted DNA-binding protein, contains Ribbon-helix-helix (RHH) domain	1.3e-38
47	COG_CATEGORY	R	R	0
49	COG_FUNCTION	COG3012	Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains	1.6e-45
49	COG_CATEGORY	S	S	0
51	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	9.2e-55
51	COG_CATEGORY	Q	Q	0
52	COG_FUNCTION	COG1073	Fermentation-respiration switch protein FrsA, has esterase activity, DUF1100 family	5.9e-23
52	COG_CATEGORY	T	T	0
53	COG_FUNCTION	COG3528	Uncharacterized protein	1.4e-105
53	COG_CATEGORY	S	S	0
55	COG_FUNCTION	COG3009	Uncharacterized lipoprotein YmbA	1.7e-30
55	COG_CATEGORY	S	S	0
56	COG_FUNCTION	COG1463!!!COG3008	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD!!!Paraquat-inducible protein B	1.7e-182
56	COG_CATEGORY	S!!!M	S!!!M	0
57	COG_FUNCTION	COG2995	Uncharacterized paraquat-inducible protein A	6.5e-180
57	COG_CATEGORY	S	S	0
59	COG_FUNCTION	COG0300	Short-chain dehydrogenase	2e-41
59	COG_CATEGORY	R	R	0
60	COG_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase	6.2e-77
60	COG_CATEGORY	M	M	0
61	COG_FUNCTION	COG1917	Cupin domain protein related to quercetin dioxygenase	6.2e-41
61	COG_CATEGORY	R	R	0
62	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	5.3e-44
62	COG_CATEGORY	K	K	0
63	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	4.6e-83
63	COG_CATEGORY	K	K	0
64	COG_FUNCTION	COG5434	Polygalacturonase	7.9e-204
64	COG_CATEGORY	G	G	0
65	COG_FUNCTION	COG5434	Polygalacturonase	4.1e-54
65	COG_CATEGORY	G	G	0
66	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	2.3e-110
66	COG_CATEGORY	E!!!R!!!G	E!!!R!!!G	0
68	COG_FUNCTION	COG0744	Membrane carboxypeptidase (penicillin-binding protein)	3.5e-87
68	COG_CATEGORY	M	M	0
70	COG_FUNCTION	COG5008	Tfp pilus assembly protein, ATPase PilU	3.5e-110
70	COG_CATEGORY	N!!!W	N!!!W	0
71	COG_FUNCTION	COG3687	Predicted metal-dependent hydrolase	8e-29
71	COG_CATEGORY	R	R	0
73	COG_FUNCTION	COG4753	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	6.8e-26
73	COG_CATEGORY	T!!!K	T!!!K	0
77	COG_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	1.1e-81
77	COG_CATEGORY	T!!!E	T!!!E	0
78	COG_FUNCTION	COG0388	Predicted amidohydrolase	1.3e-108
78	COG_CATEGORY	R	R	0
79	COG_FUNCTION	COG3791	Uncharacterized conserved protein	9e-54
79	COG_CATEGORY	S	S	0
80	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	1.9e-103
80	COG_CATEGORY	H	H	0
81	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	1.8e-129
81	COG_CATEGORY	I	I	0
82	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	2.3e-311
82	COG_CATEGORY	I	I	0
83	COG_FUNCTION	COG4977	Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain	4e-140
83	COG_CATEGORY	K	K	0
84	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	1.2e-32
84	COG_CATEGORY	Q	Q	0
85	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	3.3e-39
85	COG_CATEGORY	K	K	0
86	COG_FUNCTION	COG1278	Cold shock protein, CspA family	5.1e-31
86	COG_CATEGORY	K	K	0
87	COG_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin	4.3e-19
87	COG_CATEGORY	O	O	0
91	COG_FUNCTION	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	2.1e-24
91	COG_CATEGORY	M	M	0
93	COG_FUNCTION	COG1801	Uncharacterized conserved protein YecE, DUF72 family	6.3e-67
93	COG_CATEGORY	S	S	0
95	COG_FUNCTION	COG3427	Carbon monoxide dehydrogenase subunit G	1.3e-24
95	COG_CATEGORY	C	C	0
97	COG_FUNCTION	COG3662	Uncharacterized conserved protein, DUF2236 family	1e-58
97	COG_CATEGORY	S	S	0
98	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	2e-41
98	COG_CATEGORY	I!!!R!!!Q	I!!!R!!!Q	0
99	COG_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	2.8e-47
99	COG_CATEGORY	I	I	0
101	COG_FUNCTION	COG2072	Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD	3e-176
101	COG_CATEGORY	P	P	0
102	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	5.1e-34
102	COG_CATEGORY	K	K	0
103	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	3.6e-47
103	COG_CATEGORY	K	K	0
104	COG_FUNCTION	COG0693	Putative intracellular protease/amidase	6.2e-56
104	COG_CATEGORY	R	R	0
105	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1.8e-105
105	COG_CATEGORY	K	K	0
106	COG_FUNCTION	COG3239	Fatty acid desaturase	4.5e-124
106	COG_CATEGORY	I	I	0
108	COG_FUNCTION	COG5001	Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	2.1e-307
108	COG_CATEGORY	T	T	0
110	COG_FUNCTION	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	5.8e-115
110	COG_CATEGORY	C	C	0
111	COG_FUNCTION	COG2366	Acyl-homoserine lactone (AHL) acylase PvdQ	2e-161
111	COG_CATEGORY	Q	Q	0
112	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	2.2e-78
112	COG_CATEGORY	I	I	0
113	COG_FUNCTION	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	2.1e-122
113	COG_CATEGORY	R	R	0
115	COG_FUNCTION	COG2818	3-methyladenine DNA glycosylase Tag	5.1e-96
115	COG_CATEGORY	L	L	0
116	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	3.7e-48
116	COG_CATEGORY	K	K	0
117	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1.2e-18
117	COG_CATEGORY	K	K	0
120	COG_FUNCTION	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	3.6e-229
120	COG_CATEGORY	O	O	0
122	COG_FUNCTION	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	5.9e-233
122	COG_CATEGORY	T!!!H	T!!!H	0
123	COG_FUNCTION	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	1.2e-39
123	COG_CATEGORY	R!!!J	R!!!J	0
125	COG_FUNCTION	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	1.6e-82
125	COG_CATEGORY	J	J	0
126	COG_FUNCTION	COG1687	Branched-chain amino acid transport protein AzlD	1.7e-39
126	COG_CATEGORY	E	E	0
127	COG_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	6.7e-89
127	COG_CATEGORY	E	E	0
128	COG_FUNCTION	COG2312!!!COG2518	Erythromycin esterase homolog!!!Protein-L-isoaspartate O-methyltransferase	6.9e-221
128	COG_CATEGORY	O!!!Q	O!!!Q	0
129	COG_FUNCTION	COG0840	Methyl-accepting chemotaxis protein	2.7e-29
129	COG_CATEGORY	T!!!N	T!!!N	0
130	COG_FUNCTION	COG3540	Phosphodiesterase/alkaline phosphatase D	6.8e-148
130	COG_CATEGORY	P	P	0
131	COG_FUNCTION	COG3211	Secreted phosphatase, PhoX family	3e-80
131	COG_CATEGORY	R	R	0
133	COG_FUNCTION	COG0390	ABC-type iron transport system FetAB, permease component	8.1e-64
133	COG_CATEGORY	P	P	0
134	COG_FUNCTION	COG4619	ABC-type iron transport system FetAB, ATPase component	4.1e-36
134	COG_CATEGORY	P	P	0
135	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	2.4e-66
135	COG_CATEGORY	K	K	0
136	COG_FUNCTION	COG0506!!!COG4230	Proline dehydrogenase!!!Delta 1-pyrroline-5-carboxylate dehydrogenase	0
136	COG_CATEGORY	E	E	0
139	COG_FUNCTION	COG0232	dGTP triphosphohydrolase	6e-148
139	COG_CATEGORY	F	F	0
141	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1.8e-58
141	COG_CATEGORY	K	K	0
142	COG_FUNCTION	COG0741	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	6.8e-83
142	COG_CATEGORY	M	M	0
145	COG_FUNCTION	COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain	6.5e-124
145	COG_CATEGORY	O	O	0
146	COG_FUNCTION	COG4301	Uncharacterized conserved protein, contains predicted SAM-dependent methyltransferase domain	2e-80
146	COG_CATEGORY	R	R	0
147	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	2.5e-57
147	COG_CATEGORY	K	K	0
148	COG_FUNCTION	COG2015	Alkyl sulfatase BDS1 and related hydrolases, metallo-beta-lactamase superfamily	1.5e-292
148	COG_CATEGORY	Q	Q	0
149	COG_FUNCTION	COG2113	ABC-type proline/glycine betaine transport system, periplasmic component	5.4e-118
149	COG_CATEGORY	E	E	0
150	COG_FUNCTION	COG4176	ABC-type proline/glycine betaine transport system, permease component	6.6e-112
150	COG_CATEGORY	E	E	0
151	COG_FUNCTION	COG2239!!!COG4175	Mg/Co/Ni transporter MgtE (contains CBS domain)!!!ABC-type proline/glycine betaine transport system, ATPase component	3.2e-149
151	COG_CATEGORY	E!!!P	E!!!P	0
152	COG_FUNCTION	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family	9.5e-59
152	COG_CATEGORY	F	F	0
155	COG_FUNCTION	COG0778	Nitroreductase	3.1e-110
155	COG_CATEGORY	C	C	0
156	COG_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	3e-21
156	COG_CATEGORY	H	H	0
157	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	3.6e-76
157	COG_CATEGORY	K	K	0
158	COG_FUNCTION	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	3.8e-31
158	COG_CATEGORY	S	S	0
159	COG_FUNCTION	COG1301	Na+/H+-dicarboxylate symporter	2e-168
159	COG_CATEGORY	C	C	0
160	COG_FUNCTION	COG0446!!!COG1902	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	0
160	COG_CATEGORY	I!!!C	I!!!C	0
161	COG_FUNCTION	COG1309	DNA-binding transcriptional regulator, AcrR family	8.7e-73
161	COG_CATEGORY	K	K	0
163	COG_FUNCTION	COG1695	DNA-binding transcriptional regulator, PadR family	2.5e-32
163	COG_CATEGORY	K	K	0
164	COG_FUNCTION	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	1.3e-143
164	COG_CATEGORY	R	R	0
165	COG_FUNCTION	COG0446!!!COG1902	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	2.9e-39
165	COG_CATEGORY	I!!!C	I!!!C	0
167	COG_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family	1e-129
167	COG_CATEGORY	K	K	0
168	COG_FUNCTION	COG0439	Biotin carboxylase	3.5e-251
168	COG_CATEGORY	I	I	0
169	COG_FUNCTION	COG0511!!!COG5016	Biotin carboxyl carrier protein!!!Pyruvate/oxaloacetate carboxyltransferase	2.6e-304
169	COG_CATEGORY	I!!!C!!!H	I!!!C!!!H	0
170	COG_FUNCTION	COG0288	Carbonic anhydrase	6.3e-102
170	COG_CATEGORY	P	P	0
171	COG_FUNCTION	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	3.3e-50
171	COG_CATEGORY	R!!!H	R!!!H	0
172	COG_FUNCTION	COG2186	DNA-binding transcriptional regulator, FadR family	7.4e-91
172	COG_CATEGORY	K	K	0
173	COG_FUNCTION	COG0247	Fe-S oxidoreductase	1.7e-114
173	COG_CATEGORY	C	C	0
174	COG_FUNCTION	COG1139	L-lactate utilization protein LutB, contains a ferredoxin-type domain	5.1e-210
174	COG_CATEGORY	C	C	0
175	COG_FUNCTION	COG1556	L-lactate utilization protein LutC, contains LUD domain	8.7e-64
175	COG_CATEGORY	C	C	0
176	COG_FUNCTION	COG1620	L-lactate permease	2.5e-240
176	COG_CATEGORY	C	C	0
178	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	3.2e-101
178	COG_CATEGORY	E!!!R!!!G	E!!!R!!!G	0
179	COG_FUNCTION	COG5488	Uncharacterized membrane protein	9.1e-45
179	COG_CATEGORY	S	S	0
180	COG_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase	5.2e-71
