gene_callers_id	source	accession	function	e_value
1	COG_FUNCTION	COG3217	Uncharacterized conserved protein YcbX, contains MOSC and Fe-S domains	4.9e-61
1	COG_CATEGORY	R	R	0
2	COG_FUNCTION	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	7.9e-275
2	COG_CATEGORY	R	R	0
4	COG_FUNCTION	COG0589	Nucleotide-binding universal stress protein,  UspA family	6.5e-60
4	COG_CATEGORY	T	T	0
6	COG_FUNCTION	COG1024!!!COG1250!!!COG1250	Enoyl-CoA hydratase/carnithine racemase!!!3-hydroxyacyl-CoA dehydrogenase!!!3-hydroxyacyl-CoA dehydrogenase	0
6	COG_CATEGORY	I	I	0
7	COG_FUNCTION	COG0183	Acetyl-CoA acetyltransferase	9.7e-199
7	COG_CATEGORY	I	I	0
8	COG_FUNCTION	COG0550!!!COG0551!!!COG0551	DNA topoisomerase IA!!!ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1!!!ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	0
8	COG_CATEGORY	L	L	0
9	COG_FUNCTION	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	4.8e-110
9	COG_CATEGORY	I	I	0
10	COG_FUNCTION	COG0372	Citrate synthase	1.4e-230
10	COG_CATEGORY	C	C	0
12	COG_FUNCTION	COG2009	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	1.4e-50
12	COG_CATEGORY	C	C	0
13	COG_FUNCTION	COG2142	Succinate dehydrogenase, hydrophobic anchor subunit	4.1e-41
13	COG_CATEGORY	C	C	0
14	COG_FUNCTION	COG1053	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	0
14	COG_CATEGORY	C	C	0
15	COG_FUNCTION	COG0479	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	4.7e-124
15	COG_CATEGORY	C	C	0
16	COG_FUNCTION	COG0567	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	0
16	COG_CATEGORY	C	C	0
17	COG_FUNCTION	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	3.5e-154
17	COG_CATEGORY	C	C	0
18	COG_FUNCTION	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	4.5e-230
18	COG_CATEGORY	C	C	0
19	COG_FUNCTION	COG0045	Succinyl-CoA synthetase, beta subunit	1.4e-194
19	COG_CATEGORY	C	C	0
20	COG_FUNCTION	COG0074	Succinyl-CoA synthetase, alpha subunit	5.6e-151
20	COG_CATEGORY	C	C	0
21	COG_FUNCTION	COG0180	Tryptophanyl-tRNA synthetase	1e-211
21	COG_CATEGORY	J	J	0
22	COG_FUNCTION	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	3.3e-116
22	COG_CATEGORY	L	L	0
23	COG_FUNCTION	COG1386	Chromosome segregation and condensation protein ScpB	4.9e-89
23	COG_CATEGORY	K	K	0
24	COG_FUNCTION	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	2.5e-123
24	COG_CATEGORY	J	J	0
25	COG_FUNCTION	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	4.6e-98
25	COG_CATEGORY	T!!!K	T!!!K	0
26	COG_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family	1.2e-81
26	COG_CATEGORY	K	K	0
27	COG_FUNCTION	COG1196	Chromosome segregation ATPase	1.1e-229
27	COG_CATEGORY	D	D	0
28	COG_FUNCTION	COG3115	Cell division protein ZipA, interacts with FtsZ	3e-109
28	COG_CATEGORY	D	D	0
29	COG_FUNCTION	COG0272	NAD-dependent DNA ligase	8.6e-296
29	COG_CATEGORY	L	L	0
30	COG_FUNCTION	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	4.9e-10
30	COG_CATEGORY	M	M	0
31	COG_FUNCTION	COG0517	CBS domain	3.3e-60
31	COG_CATEGORY	T	T	0
32	COG_FUNCTION	COG0665!!!COG4121	Glycine/D-amino acid oxidase (deaminating)!!!tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC	1.4e-151
32	COG_CATEGORY	J!!!E	J!!!E	0
33	COG_FUNCTION	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	3.8e-61
33	COG_CATEGORY	O	O	0
36	COG_FUNCTION	COG2747	Negative regulator of flagellin synthesis (anti-sigma28 factor)	1.4e-22
36	COG_CATEGORY	N!!!K	N!!!K	0
37	COG_FUNCTION	COG1261	Flagella basal body P-ring formation protein FlgA	7.8e-63
37	COG_CATEGORY	N	N	0
38	COG_FUNCTION	COG0784!!!COG0835	CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!Chemotaxis signal transduction protein	1.3e-134
38	COG_CATEGORY	T!!!N	T!!!N	0
39	COG_FUNCTION	COG1352	Methylase of chemotaxis methyl-accepting proteins	7.2e-132
39	COG_CATEGORY	T!!!N	T!!!N	0
40	COG_FUNCTION	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	1.3e-74
40	COG_CATEGORY	C	C	0
41	COG_FUNCTION	COG2094	3-methyladenine DNA glycosylase Mpg	7.9e-40
41	COG_CATEGORY	L	L	0
42	COG_FUNCTION	COG2126	Ribosomal protein L37E	3.8e-51
42	COG_CATEGORY	J	J	0
43	COG_FUNCTION	COG3247	Uncharacterized membrane protein HdeD, DUF308 family	4e-25
43	COG_CATEGORY	S	S	0
44	COG_FUNCTION	COG1814	Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family	2.2e-33
44	COG_CATEGORY	P	P	0
45	COG_FUNCTION	COG1254	Acylphosphatase	1.9e-23
45	COG_CATEGORY	C	C	0
46	COG_FUNCTION	COG1687	Branched-chain amino acid transport protein AzlD	4e-30
46	COG_CATEGORY	E	E	0
47	COG_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	8.6e-86
47	COG_CATEGORY	E	E	0
48	COG_FUNCTION	COG5654	Uncharacterized conserved protein, contains RES domain	1.2e-42
48	COG_CATEGORY	S	S	0
49	COG_FUNCTION	COG5642	Uncharacterized conserved protein, DUF2384 family	6.3e-20
49	COG_CATEGORY	S	S	0
51	COG_FUNCTION	COG0439!!!COG0511!!!COG4799	Biotin carboxylase!!!Biotin carboxyl carrier protein!!!Acetyl-CoA carboxylase, carboxyltransferase component	0
51	COG_CATEGORY	H!!!I	H!!!I	0
52	COG_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	2.6e-106
52	COG_CATEGORY	I!!!R!!!Q	I!!!R!!!Q	0
53	COG_FUNCTION	COG1793!!!COG1793!!!COG3285	ATP-dependent DNA ligase!!!ATP-dependent DNA ligase!!!Eukaryotic-type DNA primase	3.2e-194
53	COG_CATEGORY	L	L	0
55	COG_FUNCTION	COG1273	Non-homologous end joining protein Ku, dsDNA break repair	6.8e-42
55	COG_CATEGORY	L	L	0
56	COG_FUNCTION	COG1273	Non-homologous end joining protein Ku, dsDNA break repair	2.4e-39
56	COG_CATEGORY	L	L	0
57	COG_FUNCTION	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	2.9e-104
57	COG_CATEGORY	T!!!K	T!!!K	0
58	COG_FUNCTION	COG0322	Excinuclease UvrABC, nuclease subunit	3.6e-309
58	COG_CATEGORY	L	L	0
59	COG_FUNCTION	COG0558	Phosphatidylglycerophosphate synthase	1.7e-76
59	COG_CATEGORY	I	I	0
61	COG_FUNCTION	COG1943	REP element-mobilizing transposase RayT	1.5e-72
61	COG_CATEGORY	X	X	0
65	COG_FUNCTION	COG0551	ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	9.6e-76
65	COG_CATEGORY	L	L	0
66	COG_FUNCTION	COG2370	Hydrogenase/urease accessory protein HupE	6.3e-66
66	COG_CATEGORY	O	O	0
67	COG_FUNCTION	COG0378	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	1.3e-109
67	COG_CATEGORY	O	O	0
68	COG_FUNCTION	COG0830	Urease accessory protein UreF	3.9e-99
68	COG_CATEGORY	O	O	0
69	COG_FUNCTION	COG2371	Urease accessory protein UreE	1.4e-51
69	COG_CATEGORY	O	O	0
70	COG_FUNCTION	COG0804	Urease alpha subunit	0
70	COG_CATEGORY	E	E	0
71	COG_FUNCTION	COG0832	Urease beta subunit	3.1e-48
71	COG_CATEGORY	E	E	0
72	COG_FUNCTION	COG0831	Urease gamma subunit	1.3e-43
72	COG_CATEGORY	E	E	0
73	COG_FUNCTION	COG0829	Urease accessory protein UreH	1.1e-126
73	COG_CATEGORY	O	O	0
74	COG_FUNCTION	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	1.7e-113
74	COG_CATEGORY	E	E	0
75	COG_FUNCTION	COG4674	ABC-type uncharacterized transport system, ATPase component	1.8e-130
75	COG_CATEGORY	R	R	0
76	COG_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component	1.9e-167
76	COG_CATEGORY	E	E	0
77	COG_FUNCTION	COG0559!!!COG1413	Branched-chain amino acid ABC-type transport system, permease component!!!HEAT repeat	1.8e-181
77	COG_CATEGORY	E!!!R	E!!!R	0
78	COG_FUNCTION	COG0559!!!COG1413	Branched-chain amino acid ABC-type transport system, permease component!!!HEAT repeat	2.8e-21
78	COG_CATEGORY	E!!!R	E!!!R	0
79	COG_FUNCTION	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	5.3e-238
79	COG_CATEGORY	E	E	0
80	COG_FUNCTION	COG1893	Ketopantoate reductase	5.2e-95
80	COG_CATEGORY	H	H	0
81	COG_FUNCTION	COG1555	DNA uptake protein ComE and related DNA-binding proteins	3.7e-24
81	COG_CATEGORY	L	L	0
82	COG_FUNCTION	COG0247	Fe-S oxidoreductase	5.4e-121
82	COG_CATEGORY	C	C	0
83	COG_FUNCTION	COG1139	L-lactate utilization protein LutB, contains a ferredoxin-type domain	6.5e-221
83	COG_CATEGORY	C	C	0
84	COG_FUNCTION	COG1556	L-lactate utilization protein LutC, contains LUD domain	3.5e-81
84	COG_CATEGORY	C	C	0
85	COG_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	9.7e-96
85	COG_CATEGORY	G!!!E!!!R	G!!!E!!!R	0
86	COG_FUNCTION	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	1e-89
86	COG_CATEGORY	Q	Q	0
87	COG_FUNCTION	COG3239	Fatty acid desaturase	7.7e-177
87	COG_CATEGORY	I	I	0
88	COG_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family	2.9e-78
88	COG_CATEGORY	K	K	0
90	COG_FUNCTION	COG0392	Uncharacterized membrane protein YbhN, UPF0104 family	1e-122
90	COG_CATEGORY	S	S	0
91	COG_FUNCTION	COG0438!!!COG1409	Glycosyltransferase involved in cell wall bisynthesis!!!3',5'-cyclic AMP phosphodiesterase CpdA	2.8e-311
91	COG_CATEGORY	T!!!M	T!!!M	0
92	COG_FUNCTION	COG3137	Putative salt-induced outer membrane protein YdiY	5.8e-85
92	COG_CATEGORY	M	M	0
93	COG_FUNCTION	COG1054	Predicted sulfurtransferase	5.7e-134
93	COG_CATEGORY	R	R	0
94	COG_FUNCTION	COG2996	Predicted RNA-binding protein, contains S1 domains,  virulence factor B family	2.3e-77
94	COG_CATEGORY	R	R	0
95	COG_FUNCTION	COG0513	Superfamily II DNA and RNA helicase	2.5e-132
95	COG_CATEGORY	L	L	0
96	COG_FUNCTION	COG1651	Protein-disulfide isomerase	2.5e-80
96	COG_CATEGORY	O	O	0
97	COG_FUNCTION	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	1.2e-146
97	COG_CATEGORY	R	R	0
99	COG_FUNCTION	COG5281	Phage-related minor tail protein	3.4e-28
99	COG_CATEGORY	X	X	0
102	COG_FUNCTION	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	8.1e-135
102	COG_CATEGORY	O	O	0
103	COG_FUNCTION	COG0191	Fructose/tagatose bisphosphate aldolase	7.9e-192
103	COG_CATEGORY	G	G	0
104	COG_FUNCTION	COG0126	3-phosphoglycerate kinase	2.5e-183
104	COG_CATEGORY	G	G	0
105	COG_FUNCTION	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	2.2e-154
105	COG_CATEGORY	G	G	0
106	COG_FUNCTION	COG0021	Transketolase	0
106	COG_CATEGORY	G	G	0
107	COG_FUNCTION	COG0640!!!COG4976	DNA-binding transcriptional regulator, ArsR family!!!Predicted methyltransferase, contains TPR repeat	3.8e-151
107	COG_CATEGORY	R!!!K	R!!!K	0
108	COG_FUNCTION	COG0192	S-adenosylmethionine synthetase	9.5e-202
108	COG_CATEGORY	H	H	0
