gene_callers_id	source	accession	function	e_value
0	COG_FUNCTION	COG3039	Transposase and inactivated derivatives, IS5 family	6.1e-95
0	COG_CATEGORY	X	X	0
2	COG_FUNCTION	COG1067	Predicted ATP-dependent protease	0
2	COG_CATEGORY	O	O	0
3	COG_FUNCTION	COG4566	Two-component response regulator, FixJ family, consists of REC and HTH domains	4.3e-105
3	COG_CATEGORY	T!!!K	T!!!K	0
4	COG_FUNCTION	COG3437!!!COG4191	Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	6.3e-254
4	COG_CATEGORY	T	T	0
5	COG_FUNCTION	COG2030	Acyl dehydratase	1.8e-53
5	COG_CATEGORY	I	I	0
6	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	1.8e-180
6	COG_CATEGORY	K	K	0
7	COG_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	6.1e-120
7	COG_CATEGORY	K	K	0
8	COG_FUNCTION	COG0446!!!COG1902	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	0
8	COG_CATEGORY	C!!!I	C!!!I	0
9	COG_FUNCTION	COG4372	Uncharacterized conserved protein, contains DUF3084 domain	2.1e-74
9	COG_CATEGORY	S	S	0
10	COG_FUNCTION	COG0061	NAD kinase	1.3e-160
10	COG_CATEGORY	F	F	0
11	COG_FUNCTION	COG0639	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family	7.6e-176
11	COG_CATEGORY	T	T	0
12	COG_FUNCTION	COG0705	Membrane associated serine protease, rhomboid family	1.8e-93
12	COG_CATEGORY	O	O	0
13	COG_FUNCTION	COG3139	Uncharacterized conserved protein YeaC, DUF1315 family	3.4e-36
13	COG_CATEGORY	S	S	0
15	COG_FUNCTION	COG0308	Aminopeptidase N	0
15	COG_CATEGORY	E	E	0
17	COG_FUNCTION	COG4447	Uncharacterized protein related to plant photosystem II stability/assembly factor	3.8e-147
17	COG_CATEGORY	R	R	0
18	COG_FUNCTION	COG1033!!!COG1033	Predicted exporter protein, RND superfamily!!!Predicted exporter protein, RND superfamily	0
18	COG_CATEGORY	R	R	0
19	COG_FUNCTION	COG2358	TRAP-type uncharacterized transport system, periplasmic component	6.9e-158
19	COG_CATEGORY	R	R	0
20	COG_FUNCTION	COG4666	TRAP-type uncharacterized transport system, fused permease components	0
20	COG_CATEGORY	R	R	0
21	COG_FUNCTION	COG0441	Threonyl-tRNA synthetase	0
21	COG_CATEGORY	J	J	0
22	COG_FUNCTION	COG0290	Translation initiation factor IF-3	8.6e-60
22	COG_CATEGORY	J	J	0
23	COG_FUNCTION	COG0291	Ribosomal protein L35	9.6e-24
23	COG_CATEGORY	J	J	0
24	COG_FUNCTION	COG0292	Ribosomal protein L20	4.4e-54
24	COG_CATEGORY	J	J	0
25	COG_FUNCTION	COG0016	Phenylalanyl-tRNA synthetase alpha subunit	4.8e-183
25	COG_CATEGORY	J	J	0
26	COG_FUNCTION	COG0072!!!COG0073	Phenylalanyl-tRNA synthetase beta subunit!!!tRNA-binding EMAP/Myf domain	0
26	COG_CATEGORY	J	J	0
27	COG_FUNCTION	COG0776	Bacterial nucleoid DNA-binding protein	1e-48
27	COG_CATEGORY	L	L	0
28	COG_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family	1.4e-60
28	COG_CATEGORY	K	K	0
30	COG_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	7.1e-79
30	COG_CATEGORY	T	T	0
31	COG_FUNCTION	COG1929	Glycerate kinase	1e-96
31	COG_CATEGORY	G	G	0
32	COG_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family	5.4e-65
32	COG_CATEGORY	K	K	0
33	COG_FUNCTION	COG0506!!!COG4230	Proline dehydrogenase!!!Delta 1-pyrroline-5-carboxylate dehydrogenase	0
33	COG_CATEGORY	E	E	0
34	COG_FUNCTION	COG2304!!!COG2931	Secreted protein containing bacterial Ig-like domain and vWFA domain!!!Ca2+-binding protein, RTX toxin-related	2.5e-78
34	COG_CATEGORY	R!!!Q	R!!!Q	0
35	COG_FUNCTION	COG3666	Transposase	1.8e-157
35	COG_CATEGORY	X	X	0
45	COG_FUNCTION	COG2755	Lysophospholipase L1 or related esterase	4.7e-95
45	COG_CATEGORY	E	E	0
46	COG_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component	2.2e-143
46	COG_CATEGORY	E	E	0
47	COG_FUNCTION	COG0559	Branched-chain amino acid ABC-type transport system, permease component	8e-129
47	COG_CATEGORY	E	E	0
48	COG_FUNCTION	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	1.4e-200
48	COG_CATEGORY	E	E	0
49	COG_FUNCTION	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	1.8e-126
49	COG_CATEGORY	E	E	0
50	COG_FUNCTION	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	4.7e-128
50	COG_CATEGORY	E	E	0
51	COG_FUNCTION	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	1.6e-58
51	COG_CATEGORY	Q	Q	0
52	COG_FUNCTION	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	4.3e-277
52	COG_CATEGORY	I	I	0
53	COG_FUNCTION	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	1.6e-137
53	COG_CATEGORY	I	I	0
54	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	3e-146
54	COG_CATEGORY	I	I	0
55	COG_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase	2.2e-122
55	COG_CATEGORY	I	I	0
56	COG_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1.1e-205
56	COG_CATEGORY	I	I	0
57	COG_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	9.9e-257
57	COG_CATEGORY	C	C	0
58	COG_FUNCTION	COG1917!!!COG4977	Cupin domain protein related to quercetin dioxygenase!!!Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain	3.5e-140
58	COG_CATEGORY	R!!!K	R!!!K	0
60	COG_FUNCTION	COG0841	Multidrug efflux pump subunit AcrB	0
60	COG_CATEGORY	V	V	0
61	COG_FUNCTION	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	3.9e-131
61	COG_CATEGORY	V!!!M	V!!!M	0
62	COG_FUNCTION	COG3938	Proline racemase	3.7e-162
62	COG_CATEGORY	E	E	0
63	COG_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	2e-177
63	COG_CATEGORY	R!!!C	R!!!C	0
64	COG_FUNCTION	COG0628	Predicted PurR-regulated permease PerM	8.4e-128
64	COG_CATEGORY	R	R	0
70	COG_FUNCTION	COG3501	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	7.3e-120
70	COG_CATEGORY	U!!!R!!!X	U!!!R!!!X	0
71	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	1e-10
71	COG_CATEGORY	J	J	0
72	COG_FUNCTION	COG0480	Translation elongation factor EF-G, a GTPase	0
72	COG_CATEGORY	J	J	0
73	COG_FUNCTION	COG0049	Ribosomal protein S7	8.3e-77
73	COG_CATEGORY	J	J	0
74	COG_FUNCTION	COG0048	Ribosomal protein S12	3e-61
74	COG_CATEGORY	J	J	0
75	COG_FUNCTION	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	0
75	COG_CATEGORY	K	K	0
76	COG_FUNCTION	COG0085!!!COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit!!!DNA-directed RNA polymerase, beta subunit/140 kD subunit	0
76	COG_CATEGORY	K	K	0
77	COG_FUNCTION	COG0222	Ribosomal protein L7/L12	4.8e-27
77	COG_CATEGORY	J	J	0
78	COG_FUNCTION	COG0244	Ribosomal protein L10	5.3e-80
78	COG_CATEGORY	J	J	0
79	COG_FUNCTION	COG0081	Ribosomal protein L1	1.3e-113
79	COG_CATEGORY	J	J	0
80	COG_FUNCTION	COG0080	Ribosomal protein L11	2.6e-69
80	COG_CATEGORY	J	J	0
81	COG_FUNCTION	COG0250	Transcription antitermination factor NusG	4.5e-87
81	COG_CATEGORY	K	K	0
82	COG_FUNCTION	COG0690	Preprotein translocase subunit SecE	2.8e-51
82	COG_CATEGORY	U	U	0
84	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	9.3e-09
84	COG_CATEGORY	J	J	0
85	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	2.5e-14
85	COG_CATEGORY	J	J	0
87	COG_FUNCTION	COG1521	Pantothenate kinase type III	1.2e-58
87	COG_CATEGORY	H	H	0
88	COG_FUNCTION	COG0340!!!COG1654	Biotin-(acetyl-CoA carboxylase) ligase!!!Biotin operon repressor	3.5e-106
88	COG_CATEGORY	K!!!H	K!!!H	0
92	COG_FUNCTION	COG0050	Translation elongation factor EF-Tu, a GTPase	2.5e-187
92	COG_CATEGORY	J	J	0
93	COG_FUNCTION	COG1020	Non-ribosomal peptide synthetase component F	9.2e-196
93	COG_CATEGORY	Q	Q	0
94	COG_FUNCTION	COG0691	tmRNA-binding protein	6.5e-77
94	COG_CATEGORY	O	O	0
95	COG_FUNCTION	COG0733	Na+-dependent transporter, SNF family	9.5e-181
95	COG_CATEGORY	R	R	0
96	COG_FUNCTION	COG2867	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	1.4e-68
96	COG_CATEGORY	J	J	0
97	COG_FUNCTION	COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily	7.9e-35
97	COG_CATEGORY	V	V	0
98	COG_FUNCTION	COG2913	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex	1.9e-43
98	COG_CATEGORY	M	M	0
99	COG_FUNCTION	COG0735	Fe2+ or Zn2+ uptake regulation protein	2.6e-69
99	COG_CATEGORY	P	P	0
100	COG_FUNCTION	COG0497	DNA repair ATPase RecN	7.2e-248
100	COG_CATEGORY	L	L	0
101	COG_FUNCTION	COG0576	Molecular chaperone GrpE (heat shock protein)	6.9e-68
101	COG_CATEGORY	O	O	0
102	COG_FUNCTION	COG0443	Molecular chaperone DnaK (HSP70)	0
102	COG_CATEGORY	O	O	0
103	COG_FUNCTION	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	9e-178
103	COG_CATEGORY	O	O	0
104	COG_FUNCTION	COG0289	Dihydrodipicolinate reductase	1.7e-133
104	COG_CATEGORY	E	E	0
105	COG_FUNCTION	COG0505	Carbamoylphosphate synthase small subunit	4.3e-204
105	COG_CATEGORY	F!!!E	F!!!E	0
106	COG_FUNCTION	COG0458	Carbamoylphosphate synthase large subunit	0
106	COG_CATEGORY	F!!!E	F!!!E	0
107	COG_FUNCTION	COG0782	Transcription elongation factor, GreA/GreB family	1.7e-69
107	COG_CATEGORY	K	K	0
108	COG_FUNCTION	COG1534	RNA-binding protein YhbY	7.9e-44
108	COG_CATEGORY	J	J	0
109	COG_FUNCTION	COG0465	ATP-dependent Zn proteases	0
109	COG_CATEGORY	O	O	0
110	COG_FUNCTION	COG0294	Dihydropteroate synthase	9.7e-121
110	COG_CATEGORY	H	H	0
111	COG_FUNCTION	COG1109	Phosphomannomutase	1.9e-222
111	COG_CATEGORY	G	G	0
112	COG_FUNCTION	COG0149	Triosephosphate isomerase	2e-96
112	COG_CATEGORY	G	G	0
113	COG_FUNCTION	COG1314	Preprotein translocase subunit SecG	3.5e-41
113	COG_CATEGORY	U	U	0
114	COG_FUNCTION	COG0779	Ribosome maturation factor RimP	3.1e-76
114	COG_CATEGORY	J	J	0
115	COG_FUNCTION	COG0195!!!COG2251	Transcription antitermination factor NusA, contains S1 and KH domains!!!Predicted nuclease, RecB family	3.4e-257
